Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771457557253034095,Attack_Hot,80.592,1.2563,180986,7049591,0,117577,0
1771457557269743283,Attack_Hot,79.516,1.2563,39879,8122715,116,1132176,0
1771457557283112540,Attack_Hot,80.054,1.2563,56476,6240659,163,1231236,0
1771457557348166077,Attack_Hot,79.516,1.2563,93155,10237456,313,193320,0
1771457557437471500,Attack_Hot,80.054,1.2563,50200,8439047,56,361750,0
1771457557547107230,Attack_Hot,79.516,1.2563,22818,5493619,18,100712,0
1771457557651330499,Attack_Hot,79.516,1.2563,123468,5484603,120,39082,0
1771457557755924692,Attack_Hot,79.516,1.2563,684509,10983664,74,42378,0
1771457557847713045,Attack_Hot,80.054,1.2563,46965,5519468,1112,101666,0
1771457557955510821,Attack_Hot,80.054,1.2563,16613,5115956,22,14212,0
1771457558059812528,Attack_Hot,80.054,1.2563,184260,7012364,21,118982,0
1771457558155563191,Attack_Hot,79.516,1.2563,26513,5142656,72,47596,0
1771457558261515831,Attack_Hot,80.054,1.2563,99545,5896852,56,81834,0
1771457558356707556,Attack_Hot,80.054,1.2563,12830,4404210,49,22990,0
1771457558459580619,Attack_Hot,80.054,1.2563,152747,6004361,56,111634,0
1771457558559355096,Attack_Hot,79.516,1.2563,12548,4759577,47,22979,0
1771457558671368506,Attack_Hot,79.516,1.2563,13451,4742703,50,24037,0
1771457558759026493,Attack_Hot,79.516,1.2563,26364,5644569,75,108813,0
1771457558863591995,Attack_Hot,79.516,1.2563,3691,4739538,2,15903,0
1771457558963034452,Attack_Hot,79.516,1.2563,6216,7375224,14,317443,0
1771457559067591208,Attack_Hot,79.516,1.2563,65476,14133802,19,233554,0
1771457559163336408,Attack_Hot,80.054,1.2563,5765,8202354,28,17716,0
1771457559261053516,Attack_Hot,80.054,1.2563,2076,4477848,0,4476,0
1771457559375402994,Attack_Hot,79.516,1.2563,13338,6694220,51,24848,0
1771457559472235811,Attack_Hot,79.516,1.2563,2478,14277581,1,5254,0
1771457559575275020,Attack_Hot,80.054,1.2563,2801,3768183,0,951744,0
1771457559671068655,Attack_Hot,79.516,1.2563,7590,7028050,3,779506,0
1771457559771841070,Attack_Hot,80.054,1.2563,28039,10653891,76,109194,0
1771457559871109894,Attack_Hot,79.516,1.2563,13407,6314277,48,23550,0
1771457559976016847,Attack_Hot,79.516,1.2563,14409,5541343,47,109933,0
1771457560075672223,Attack_Hot,80.054,1.2563,583385,10209820,194,178991,0
1771457560171288943,Attack_Hot,80.054,1.2563,13054,4760400,47,23459,0
1771457560280652929,Attack_Hot,79.516,1.2563,3028,10697218,2,55329,0
1771457560379153921,Attack_Hot,80.054,1.2563,3276,6250922,2,128995,0
1771457560487035044,Attack_Hot,79.516,1.2563,1719,4603065,0,4379,0
1771457560587425915,Attack_Hot,80.054,1.2563,3337,11031426,1,55722,0
1771457560684151971,Attack_Hot,80.054,1.2563,5220,7309097,0,215954,0
1771457560781012604,Attack_Hot,79.516,1.2563,23396,6598945,68,178515,0
1771457560881873980,Attack_Hot,79.516,1.2563,41478,8873968,70,80916,0
1771457560984719242,Attack_Hot,79.516,1.2563,73646,8601426,177,145361,0
1771457561083896828,Attack_Hot,80.054,1.2563,26669,4714575,9,41189,0
1771457561191079805,Attack_Hot,80.054,1.2563,63643,10108532,115,117827,0
1771457561291068769,Attack_Hot,80.592,1.2563,18927,6017863,4,24636,0
1771457561391318245,Attack_Hot,79.516,1.2563,14239,4694749,0,20195,0
1771457561495084678,Attack_Hot,79.516,1.2563,69550,17433725,2,158215,0
1771457561599127246,Attack_Hot,80.054,1.2563,14561,5937088,3,33060,0
1771457561700105394,Attack_Hot,80.054,1.2563,14674,4589689,2,19854,0
1771457561796083200,Attack_Hot,80.054,1.2563,155482,6488308,68,118708,0
1771457561895861494,Attack_Hot,80.054,1.2563,183543,6881865,0,127713,0
1771457562001265733,Attack_Hot,79.516,1.2563,14290,4719333,3,21764,0
1771457562103091251,Attack_Hot,79.516,1.2563,21368,5867407,0,911814,0
1771457562203080429,Attack_Hot,79.516,1.2563,16483,5734251,4,95298,0
1771457562307338048,Attack_Hot,79.516,1.2563,14046,4692476,0,19670,0
1771457562411120423,Attack_Hot,79.516,1.2563,151848,5719217,4,40095,0
1771457562511033197,Attack_Hot,79.516,1.2563,673952,9618380,1,20341,0
1771457562615108791,Attack_Hot,80.054,1.2563,14739,5640339,3,20370,0
1771457562709308541,Attack_Hot,80.054,1.2563,45393,15067577,2,39411,0
1771457562811806066,Attack_Hot,80.592,1.2563,204878,10128815,71,147533,0
1771457562919017902,Attack_Hot,80.054,1.2563,19305,15028680,3,22508,0
1771457563019024163,Attack_Hot,79.516,1.2563,14277,14915290,4,38045,0
1771457563123122782,Attack_Hot,80.054,1.2563,17707,4728050,0,24330,0
1771457563218996279,Attack_Hot,80.054,1.2563,15591,4937362,1,38696,0
1771457563327125744,Attack_Hot,79.516,1.2563,13244,4699393,0,18644,0
1771457563423124132,Attack_Hot,80.592,1.2563,16627,7486821,2,167172,0
1771457563524196350,Attack_Hot,80.054,1.2563,16082,6879707,0,194624,0
1771457563631246843,Attack_Hot,80.054,1.2563,19600,5566860,0,132657,0
1771457563735334369,Attack_Hot,80.054,1.2563,19658,4785914,2,24661,0
1771457563835822336,Attack_Hot,80.054,1.2563,34432,6285472,70,141682,0
1771457563935086128,Attack_Hot,80.592,1.2563,14858,9329730,2,193937,0
1771457564039134751,Attack_Hot,80.054,1.2563,18837,13956284,3,28701,0
1771457564140179892,Attack_Hot,80.054,1.2563,15576,4855682,0,25397,0
1771457564237548236,Attack_Hot,79.516,1.2563,14022,4650996,1,19571,0
1771457564347096770,Attack_Hot,80.054,1.2563,13177,4696236,0,18473,0
1771457564451101284,Attack_Hot,80.054,1.2563,17463,4909067,0,21952,0
1771457564551198021,Attack_Hot,80.054,1.2563,15912,7692998,0,155343,0
