Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771612041199194210,Attack_LowVolt,49.926,1.1063,196033,32761270,1213,562587,0
1771612041207200852,Attack_LowVolt,50.464,1.1063,184768,37048910,971,732773,0
1771612041214848559,Attack_LowVolt,50.464,1.1063,185319,35945107,1115,551287,0
1771612041222125819,Attack_LowVolt,50.464,1.1063,201917,39703146,1173,749859,0
1771612041271875483,Attack_LowVolt,50.464,1.1063,278429,47822750,1170,849447,0
1771612041375410927,Attack_LowVolt,50.464,1.1063,253293,43559962,1396,737958,0
1771612041479121097,Attack_LowVolt,50.464,1.1063,149292,37030344,1027,625097,0
1771612041583258551,Attack_LowVolt,50.464,1.1063,164147,30910131,850,643269,0
1771612041687458519,Attack_LowVolt,50.464,1.1063,157341,46242867,866,677822,0
1771612041797269591,Attack_LowVolt,50.464,1.1063,85045,14641289,533,146566,8
1771612041907437774,Attack_LowVolt,50.464,1.1063,197228,44338151,1141,742407,0
1771612042007509834,Attack_LowVolt,50.464,1.1063,156353,37454087,742,674570,0
1771612042115332539,Attack_LowVolt,50.464,1.1063,126484,39779006,840,626436,0
1771612042218985096,Attack_LowVolt,49.926,1.1063,151138,39518893,1020,574572,0
1771612042323065764,Attack_LowVolt,49.926,1.1063,153500,36217062,1019,575803,0
1771612042424030358,Attack_LowVolt,50.464,1.1063,151458,31430191,1022,629810,0
1771612042531032579,Attack_LowVolt,50.464,1.1063,157538,39657920,786,661257,0
1771612042631572813,Attack_LowVolt,50.464,1.1063,135798,38100196,866,497328,0
1771612042742995131,Attack_LowVolt,50.464,1.1063,152459,34810390,1022,601970,0
1771612042842944825,Attack_LowVolt,50.464,1.1063,153281,33400588,1026,654319,0
1771612042942782151,Attack_LowVolt,50.464,1.1063,132509,39233661,656,630707,0
1771612043055029123,Attack_LowVolt,50.464,1.1063,142803,38338567,911,516585,0
1771612043155242553,Attack_LowVolt,50.464,1.1063,152130,37529054,1019,628191,0
1771612043257273374,Attack_LowVolt,50.464,1.1063,152654,34921537,1022,635020,8
1771612043368602280,Attack_LowVolt,50.464,1.1063,143077,35416965,756,641729,0
1771612043468951102,Attack_LowVolt,50.464,1.1063,124239,39909473,803,619974,0
1771612043570947644,Attack_LowVolt,50.464,1.1063,173193,40029912,1090,614078,0
1771612043678872910,Attack_LowVolt,49.926,1.1063,147990,36791228,1021,557894,0
1771612043783392399,Attack_LowVolt,50.464,1.1063,150197,32966643,1025,621484,0
1771612043887541346,Attack_LowVolt,51.002,1.1063,145101,37133295,722,652537,0
1771612043991463685,Attack_LowVolt,50.464,1.1063,125763,39748095,836,620344,8
1771612044102989527,Attack_LowVolt,50.464,1.1063,156614,39900183,1019,609110,0
1771612044207041286,Attack_LowVolt,50.464,1.1063,151887,38640045,1023,574805,0
1771612044306748022,Attack_LowVolt,50.464,1.1063,147985,33900091,1021,606192,0
1771612044411009559,Attack_LowVolt,50.464,1.1063,143453,34250394,756,640335,0
1771612044514930408,Attack_LowVolt,51.002,1.1063,147725,40081962,873,649016,0
1771612044618955547,Attack_LowVolt,50.464,1.1063,163557,36567271,1052,513914,0
1771612044719629910,Attack_LowVolt,51.002,1.1063,147436,33965567,1023,615699,0
1771612044824060957,Attack_LowVolt,51.54,1.1063,137382,35441404,723,634799,0
1771612044931488706,Attack_LowVolt,51.002,1.1063,137857,40090915,837,642961,0
1771612045034964110,Attack_LowVolt,50.464,1.1063,152146,39503124,1031,585352,0
1771612045139030710,Attack_LowVolt,50.464,1.1063,153577,36320819,1017,567314,0
1771612045244770620,Attack_LowVolt,50.464,1.1063,152404,30851210,1026,625992,0
1771612045343459308,Attack_LowVolt,50.464,1.1063,125285,39222320,649,619938,0
1771612045448940892,Attack_LowVolt,50.464,1.1063,138619,39391570,904,586444,0
1771612045549986134,Attack_LowVolt,50.464,1.1063,170699,32257991,1092,531711,0
1771612045654151396,Attack_LowVolt,51.54,1.1063,145760,34168823,836,641757,0
1771612045763755884,Attack_LowVolt,50.464,1.1063,120458,39589936,727,611862,0
1771612045866973378,Attack_LowVolt,51.002,1.1063,167084,46642107,1023,686247,0
1771612045970971163,Attack_LowVolt,51.002,1.1063,151526,38993219,1020,543336,0
1771612046071493808,Attack_LowVolt,50.464,1.1063,156739,30647968,1037,585616,0
1771612046176726188,Attack_LowVolt,50.464,1.1063,138771,36082115,719,633456,0
1771612046283228253,Attack_LowVolt,50.464,1.1063,130204,39968452,839,627334,0
1771612046388286750,Attack_LowVolt,50.464,1.1063,147002,39145263,1020,556574,0
1771612046489967405,Attack_LowVolt,50.464,1.1063,171585,35580921,1072,596432,0
1771612046600531017,Attack_LowVolt,51.54,1.1063,233759,34091767,859,783368,0
1771612046705115114,Attack_LowVolt,51.002,1.1063,193137,41460539,902,708690,0
1771612046808990241,Attack_LowVolt,51.54,1.1063,276927,42506020,1539,763967,0
1771612046915803242,Attack_LowVolt,51.54,1.1063,230654,33671095,1704,758641,8
1771612047024190041,Attack_LowVolt,50.464,1.1063,269102,61252391,3575,1141832,0
1771612047127970348,Attack_LowVolt,51.54,1.1063,340636,53900445,1924,848067,0
1771612047235400118,Attack_LowVolt,50.464,1.1063,361817,52629652,3442,679998,0
1771612047344356318,Attack_LowVolt,51.54,1.1063,373552,62737665,4716,659210,0
1771612047448895647,Attack_LowVolt,51.54,1.1063,363869,52668171,3152,656599,0
1771612047552127433,Attack_LowVolt,51.54,1.1063,402776,56263191,1943,951962,0
1771612047649794203,Attack_LowVolt,51.54,1.1063,289743,39084799,2145,678276,0
1771612047755079427,Attack_LowVolt,51.002,1.1063,148504,38595020,1021,525077,0
1771612047859211090,Attack_LowVolt,51.54,1.1063,153713,35617223,1019,602446,0
1771612047963254353,Attack_LowVolt,51.54,1.1063,158795,46926455,1028,676872,0
1771612048066333227,Attack_LowVolt,51.54,1.1063,149786,31594417,926,637415,0
1771612048171873161,Attack_LowVolt,51.54,1.1063,130217,39793561,754,628112,0
1771612048275056300,Attack_LowVolt,50.464,1.1063,136655,39521066,905,596880,0
1771612048378993192,Attack_LowVolt,50.464,1.1063,154461,39890641,1020,600460,0
1771612048483511782,Attack_LowVolt,51.54,1.1063,151513,35607895,1023,584341,8
1771612048586080302,Attack_LowVolt,51.002,1.1063,166867,31461834,866,649399,8
1771612048693088206,Attack_LowVolt,51.54,1.1063,144814,45242544,946,651531,0
1771612048795506756,Attack_LowVolt,51.54,1.1063,151029,48060204,993,655639,0
1771612048898988375,Attack_LowVolt,51.54,1.1063,144032,40293207,870,649673,0
1771612049003206193,Attack_LowVolt,51.54,1.1063,148820,38601888,1022,516793,0
1771612049107104187,Attack_LowVolt,51.54,1.1063,152315,38602839,1024,641465,0
1771612049211593923,Attack_LowVolt,51.54,1.1063,148986,33915964,1020,614710,0
1771612049317624855,Attack_LowVolt,51.54,1.1063,153398,35753259,986,656245,0
1771612049419774381,Attack_LowVolt,51.54,1.1063,135119,39889642,734,635122,0
1771612049523253929,Attack_LowVolt,51.54,1.1063,159982,40267889,928,649792,0
1771612049627160722,Attack_LowVolt,51.002,1.1063,152445,39107087,1021,543605,0
1771612049731382921,Attack_LowVolt,51.002,1.1063,148713,37142456,1021,614502,0
1771612049832986385,Attack_LowVolt,51.54,1.1063,150156,35812168,1020,631189,0
1771612049940638419,Attack_LowVolt,51.54,1.1063,151038,34605390,806,654263,0
1771612050045173074,Attack_LowVolt,51.54,1.1063,124541,39845839,753,618911,0
1771612050147121302,Attack_LowVolt,51.54,1.1063,149524,39557958,1019,592509,0
1771612050251243971,Attack_LowVolt,51.002,1.1063,153777,39920496,1024,599307,0
1771612050355274388,Attack_LowVolt,51.54,1.1063,148386,34922998,1025,591734,0
1771612050461057421,Attack_LowVolt,50.464,1.1063,152856,35695503,1021,652234,0
1771612050564010151,Attack_LowVolt,51.54,1.1063,156774,36994451,779,653164,8
1771612050667155196,Attack_LowVolt,51.002,1.1063,130151,39586896,852,604133,0
1771612050771454033,Attack_LowVolt,51.54,1.1063,152868,39786452,1019,592045,0
1771612050875119091,Attack_LowVolt,51.54,1.1063,157404,35994014,1021,582616,0
1771612050979369536,Attack_LowVolt,51.54,1.1063,156299,31604090,1022,641517,0
1771612051083993616,Attack_LowVolt,51.54,1.1063,141911,39609149,721,650601,0
1771612051187059926,Attack_LowVolt,51.54,1.1063,124587,39313388,841,588985,0
1771612051291265588,Attack_LowVolt,51.54,1.1063,154819,39004062,1016,547784,0
