Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771561830135355775,Attack_Normal,52.616,1.2563,413492,34240263,11240,416142,0
1771561830162194239,Attack_Normal,53.692,1.2563,521183,43210582,11855,534610,0
1771561830166282645,Attack_Normal,53.692,1.2563,1204328,53155997,8923,1254179,0
1771561830170634978,Attack_Normal,54.23,1.2563,1975436,74482324,1325,1838378,0
1771561830174538646,Attack_Normal,53.692,1.2563,2852120,103159477,268,2688852,0
1771561830178681547,Attack_Normal,53.692,1.2563,3455494,119362232,125,2895665,0
1771561830182561303,Attack_Normal,54.23,1.2563,3036357,111883596,145,2647579,0
1771561830186646323,Attack_Normal,53.692,1.2563,3162887,112477766,121,2575074,0
1771561830191134630,Attack_Normal,54.23,1.2563,3027949,110430479,130,2867681,0
1771561830206117778,Attack_Normal,54.23,1.2563,3160701,107100987,47,2692483,0
1771561830210350286,Attack_Normal,54.23,1.2563,2601356,97576050,791,2362668,0
1771561830215750665,Attack_Normal,54.23,1.2563,747594,45583061,5014,759413,0
1771561830220048712,Attack_Normal,54.23,1.2563,854256,50366936,5888,906740,0
1771561830317274233,Attack_Normal,54.23,1.2563,804823,53286677,1621,1230377,0
1771561830423782753,Attack_Normal,53.692,1.2563,493125,50666314,389,979048,0
1771561830528050246,Attack_Normal,53.692,1.2563,131877,31365907,18288,506060,0
1771561830632394531,Attack_Normal,53.692,1.2563,64997,18059500,15023,245538,0
1771561830736298592,Attack_Normal,53.692,1.2563,47706,5981419,49,103876,0
1771561830852181075,Attack_Normal,52.616,1.2563,52785,6066896,52,117322,0
1771561830967384727,Attack_Normal,53.692,1.2563,57947,6117187,70,119236,0
1771561831052210554,Attack_Normal,53.692,1.2563,268883,18615435,335,240828,0
1771561831155957311,Attack_Normal,53.692,1.2563,248469,17757949,443,199084,0
1771561831257342537,Attack_Normal,53.154,1.2563,29109,5420112,47,47863,0
1771561831361459604,Attack_Normal,53.692,1.2563,28770,11026180,51,47048,0
1771561831465436737,Attack_Normal,53.692,1.2563,29668,23855429,55,49091,8
1771561831571955867,Attack_Normal,53.692,1.2563,30266,17221360,52,49471,8
1771561831676065692,Attack_Normal,53.154,1.2563,30135,19573520,56,49246,0
1771561831779926856,Attack_Normal,53.692,1.2563,32474,5467409,51,53600,0
1771561831884332439,Attack_Normal,53.154,1.2563,29175,5414091,51,47935,0
1771561831988146559,Attack_Normal,53.154,1.2563,41021,5642817,55,70853,0
1771561832089386345,Attack_Normal,52.616,1.2563,53306,5962726,122,76920,0
1771561832195890189,Attack_Normal,53.154,1.2563,28598,9382030,49,46917,0
1771561832299879229,Attack_Normal,53.692,1.2563,28623,13069579,51,46769,0
1771561832403872176,Attack_Normal,52.616,1.2563,29052,5450237,51,47781,0
1771561832507878825,Attack_Normal,53.692,1.2563,28284,5404395,49,47077,8
1771561832611855153,Attack_Normal,53.692,1.2563,29463,5423761,47,48039,0
1771561832713331942,Attack_Normal,53.154,1.2563,28549,5418023,50,47100,0
1771561832819951182,Attack_Normal,53.154,1.2563,28517,8326980,51,47382,0
1771561832924113082,Attack_Normal,53.154,1.2563,28776,20997181,54,47185,0
1771561833028866259,Attack_Normal,52.616,1.2563,35149,5531199,47,60845,0
1771561833132929304,Attack_Normal,53.692,1.2563,66641,6801409,172,104922,0
1771561833236666165,Attack_Normal,53.154,1.2563,93437,8369865,215,190992,0
1771561833340165357,Attack_Normal,53.692,1.2563,152686,14000952,574,308553,0
1771561833443989221,Attack_Normal,53.154,1.2563,71087,7742050,173,133529,0
1771561833547773335,Attack_Normal,53.154,1.2563,30153,11088344,51,49253,0
1771561833651932813,Attack_Normal,53.692,1.2563,28367,5398841,47,45744,0
1771561833755859154,Attack_Normal,53.692,1.2563,29084,11871486,54,47321,0
1771561833860174351,Attack_Normal,53.692,1.2563,28140,5404305,48,45718,0
1771561833964243856,Attack_Normal,53.692,1.2563,33883,5483562,50,54530,0
1771561834070910741,Attack_Normal,53.692,1.2563,54947,5974746,118,82257,0
1771561834172150532,Attack_Normal,53.154,1.2563,39855,5867464,80,75835,0
1771561834276613711,Attack_Normal,53.692,1.2563,47271,6104149,109,80984,0
1771561834379802059,Attack_Normal,53.692,1.2563,31353,5478021,48,51436,0
1771561834483926082,Attack_Normal,53.692,1.2563,30444,5481425,55,49891,0
1771561834587955340,Attack_Normal,53.692,1.2563,36671,5585901,51,65545,0
1771561834691895041,Attack_Normal,53.154,1.2563,30706,5459604,50,49993,0
1771561834795800098,Attack_Normal,53.692,1.2563,28849,5433014,49,47429,0
1771561834900123342,Attack_Normal,53.154,1.2563,28764,5436510,48,47174,0
1771561835004355260,Attack_Normal,53.692,1.2563,35961,5569185,48,63420,0
1771561835107932642,Attack_Normal,52.616,1.2563,53436,5982893,116,77855,0
1771561835211940718,Attack_Normal,53.692,1.2563,28382,5408502,50,46897,0
1771561835315988127,Attack_Normal,53.692,1.2563,29265,5432398,50,47725,0
1771561835419963536,Attack_Normal,53.692,1.2563,28360,5428866,47,46962,0
1771561835523914929,Attack_Normal,53.692,1.2563,28938,5411865,50,46863,0
1771561835627894611,Attack_Normal,53.692,1.2563,29288,5440422,47,47988,8
1771561835731804742,Attack_Normal,53.692,1.2563,28870,5435103,50,46971,0
1771561835836200008,Attack_Normal,53.154,1.2563,29455,5443312,51,48000,0
1771561835937567301,Attack_Normal,53.692,1.2563,34857,5543542,50,61195,0
1771561836041475999,Attack_Normal,53.692,1.2563,47415,9804177,121,67608,0
1771561836147828701,Attack_Normal,53.692,1.2563,33936,17079071,53,55565,0
1771561836251800744,Attack_Normal,53.692,1.2563,28358,7383860,50,46742,0
1771561836355842076,Attack_Normal,53.692,1.2563,28505,5421755,50,46945,0
1771561836460034232,Attack_Normal,53.692,1.2563,27992,5432875,47,46757,0
1771561836563938860,Attack_Normal,53.154,1.2563,29787,5432164,49,49052,0
1771561836667777637,Attack_Normal,53.692,1.2563,28892,5430678,47,47191,0
