Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771556424440560561,Benign_LowVolt,45.622,1.1563,577754,2379691,0,6586,0
1771556424445203436,Benign_LowVolt,45.084,1.1563,657337,3366645,39,41455,0
1771556424457525483,Benign_LowVolt,45.084,1.1563,589251,2441460,0,7378,0
1771556424558073544,Benign_LowVolt,45.084,1.1563,575645,2410073,0,9022,0
1771556424658556784,Benign_LowVolt,44.546,1.1563,629568,2587616,0,5143,0
1771556424758933887,Benign_LowVolt,45.084,1.1563,631520,2593298,0,4736,0
1771556424859711251,Benign_LowVolt,45.084,1.1563,633279,2604569,0,5476,0
1771556424963489654,Benign_LowVolt,45.084,1.1563,633284,2605172,0,5698,0
1771556425063977299,Benign_LowVolt,45.084,1.1563,655012,2689658,0,5183,0
1771556425168390543,Benign_LowVolt,45.084,1.1563,633299,2600907,0,4865,0
1771556425265167144,Benign_LowVolt,45.084,1.1563,576954,2409575,0,8496,0
1771556425365356468,Benign_LowVolt,45.084,1.1563,611873,2582629,0,12134,0
1771556425465686257,Benign_LowVolt,45.084,1.1563,626808,2575513,0,5254,0
1771556425566138704,Benign_LowVolt,45.084,1.1563,632930,2598994,0,4751,0
1771556425666599663,Benign_LowVolt,45.084,1.1563,631772,2594835,0,4593,0
1771556425767046001,Benign_LowVolt,45.084,1.1563,630392,2589077,0,4722,0
1771556425867515158,Benign_LowVolt,45.084,1.1563,634285,2607663,0,5162,0
1771556425968027760,Benign_LowVolt,45.084,1.1563,635060,2610193,0,5054,0
1771556426071486934,Benign_LowVolt,45.084,1.1563,629709,2592235,0,5549,0
1771556426171991913,Benign_LowVolt,45.084,1.1563,649847,2665097,0,4377,0
1771556426272510412,Benign_LowVolt,45.622,1.1563,608764,2506867,0,5285,0
1771556426379959191,Benign_LowVolt,45.084,1.1563,581204,2438446,0,11635,0
1771556426473243270,Benign_LowVolt,45.084,1.1563,577872,2411118,0,8614,0
1771556426573789489,Benign_LowVolt,45.622,1.1563,576135,2396966,0,7774,0
1771556426674046917,Benign_LowVolt,45.084,1.1563,630258,2585579,0,4553,0
1771556426774516762,Benign_LowVolt,45.084,1.1563,632692,2596498,0,4592,0
1771556426874912895,Benign_LowVolt,45.084,1.1563,631828,2601112,0,5562,0
1771556426975458644,Benign_LowVolt,45.084,1.1563,633888,2608655,0,5450,0
1771556427079461621,Benign_LowVolt,45.084,1.1563,632086,2599618,0,5239,0
1771556427180121194,Benign_LowVolt,45.084,1.1563,657899,2696102,0,4536,0
1771556427280595120,Benign_LowVolt,45.622,1.1563,608908,2507425,0,5367,0
1771556427381194725,Benign_LowVolt,45.084,1.1563,613992,2541235,0,7052,0
1771556427481300906,Benign_LowVolt,45.084,1.1563,574875,2386565,0,7158,0
1771556427581651919,Benign_LowVolt,45.084,1.1563,620653,2555341,0,5637,0
1771556427682107474,Benign_LowVolt,45.084,1.1563,634310,2603593,0,4611,0
1771556427782539542,Benign_LowVolt,45.622,1.1563,632082,2594195,0,4682,0
1771556427882998019,Benign_LowVolt,45.084,1.1563,633245,2603783,0,5157,0
1771556427983476068,Benign_LowVolt,45.084,1.1563,632628,2596565,0,4592,0
1771556428084011400,Benign_LowVolt,45.084,1.1563,630405,2597504,0,5543,0
1771556428187514294,Benign_LowVolt,45.084,1.1563,633373,2599051,0,4689,0
1771556428287974000,Benign_LowVolt,45.084,1.1563,634758,2607552,0,5252,0
1771556428388404432,Benign_LowVolt,45.084,1.1563,622630,2579804,0,8058,0
1771556428488857929,Benign_LowVolt,45.084,1.1563,630310,2590693,0,5238,0
1771556428589269575,Benign_LowVolt,45.084,1.1563,629867,2588922,0,4842,0
1771556428689743005,Benign_LowVolt,45.084,1.1563,630925,2591729,0,4733,0
1771556428790128613,Benign_LowVolt,45.084,1.1563,629221,2585795,0,4789,0
1771556428890608409,Benign_LowVolt,45.622,1.1563,631698,2596847,0,5089,0
1771556428991068742,Benign_LowVolt,45.084,1.1563,633507,2610036,0,5909,0
1771556429091506775,Benign_LowVolt,45.084,1.1563,631935,2598510,0,5413,0
1771556429195509848,Benign_LowVolt,45.084,1.1563,632946,2600392,0,4986,0
1771556429295965594,Benign_LowVolt,45.084,1.1563,637418,2619880,0,5269,0
1771556429396400002,Benign_LowVolt,45.084,1.1563,624293,2568940,0,5183,0
1771556429496812184,Benign_LowVolt,45.084,1.1563,631093,2594521,0,4722,0
1771556429597282174,Benign_LowVolt,45.622,1.1563,630442,2593131,0,4888,0
1771556429697737085,Benign_LowVolt,45.622,1.1563,629805,2588821,0,4778,0
1771556429798135128,Benign_LowVolt,45.084,1.1563,629539,2588552,0,4931,0
1771556429898581744,Benign_LowVolt,45.084,1.1563,634293,2603286,0,4445,0
1771556429999127802,Benign_LowVolt,45.084,1.1563,633368,2605439,0,5302,0
1771556430099675397,Benign_LowVolt,45.084,1.1563,633244,2603828,0,5204,0
