Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771609292516940273,Benign_Normal,62.3,1.2563,734963,40145435,1219,730342,0
1771609292615697677,Benign_Normal,62.3,1.2563,749410,45308952,1194,669656,0
1771609292719804887,Benign_Normal,61.762,1.2563,736471,46861390,1024,752430,0
1771609292824617836,Benign_Normal,61.762,1.2563,722861,40899947,1019,777038,0
1771609292927836816,Benign_Normal,62.3,1.2563,729123,40079865,1040,727396,0
1771609293031627036,Benign_Normal,62.3,1.2563,749703,42080388,1487,724950,0
1771609293135548686,Benign_Normal,62.3,1.2563,722347,46038806,1019,690728,0
1771609293239511346,Benign_Normal,61.762,1.2563,723781,41711023,1018,700138,0
1771609293344580127,Benign_Normal,62.3,1.2563,727485,42403163,1022,738205,0
1771609293444746531,Benign_Normal,62.3,1.2563,741398,41341922,1094,817457,0
1771609293547718075,Benign_Normal,61.762,1.2563,725085,39736439,1193,711029,0
1771609293651801264,Benign_Normal,62.3,1.2563,733759,39733392,1170,703013,0
1771609293755547045,Benign_Normal,62.3,1.2563,724528,47588860,1181,690725,0
1771609293859541596,Benign_Normal,62.3,1.2563,723105,41799719,1021,697377,0
1771609293963502745,Benign_Normal,62.3,1.2563,726292,42563928,1017,734210,0
1771609294067785284,Benign_Normal,62.3,1.2563,720079,40876705,1028,794673,0
1771609294171556876,Benign_Normal,62.3,1.2563,744101,39813861,1209,701969,0
1771609294274009627,Benign_Normal,62.3,1.2563,740023,44575517,1317,703544,0
1771609294383350318,Benign_Normal,62.3,1.2563,728279,44779548,1092,720638,0
1771609294484883058,Benign_Normal,62.3,1.2563,732986,42730537,1019,710618,0
1771609294588038375,Benign_Normal,62.838,1.2563,732961,41433026,1022,821682,0
1771609294691613209,Benign_Normal,62.3,1.2563,728524,39811379,1098,706857,0
1771609294795660295,Benign_Normal,62.3,1.2563,746985,42808717,1421,720639,0
1771609294899557206,Benign_Normal,62.3,1.2563,723435,45609371,1028,688642,0
1771609295003512530,Benign_Normal,62.3,1.2563,723267,41486722,1016,699636,0
1771609295107295599,Benign_Normal,62.3,1.2563,724823,42332979,1020,741992,0
1771609295211828678,Benign_Normal,62.3,1.2563,717698,40777581,1018,788319,0
1771609295315802868,Benign_Normal,62.838,1.2563,746063,39816119,1200,703132,0
1771609295419499177,Benign_Normal,62.838,1.2563,754845,44300224,1400,731932,0
1771609295523500149,Benign_Normal,62.838,1.2563,727690,44821671,1020,702274,0
1771609295628218935,Benign_Normal,62.3,1.2563,726455,42949844,1017,719108,0
1771609295733007386,Benign_Normal,62.3,1.2563,727383,41598172,1027,813022,0
1771609295835575599,Benign_Normal,62.3,1.2563,732028,39791977,1130,701262,0
1771609295939629459,Benign_Normal,62.3,1.2563,746442,41002075,1391,715693,0
1771609296043566759,Benign_Normal,62.3,1.2563,724219,48164484,1017,703958,0
1771609296147723663,Benign_Normal,62.838,1.2563,728006,43052655,1024,723119,0
1771609296254470271,Benign_Normal,62.3,1.2563,724992,40266492,1017,736300,0
1771609296355679930,Benign_Normal,62.838,1.2563,724861,40574344,1034,767381,0
1771609296460101318,Benign_Normal,62.3,1.2563,767593,40588130,1300,754206,0
1771609296563656362,Benign_Normal,62.838,1.2563,733869,44340623,1286,698853,0
1771609296667569469,Benign_Normal,62.3,1.2563,730507,46182646,1021,726755,0
1771609296772307496,Benign_Normal,62.3,1.2563,726493,42076379,1016,741869,0
1771609296874088795,Benign_Normal,62.838,1.2563,720765,40038721,1017,740566,0
1771609296979607349,Benign_Normal,62.3,1.2563,735043,40453729,1205,737896,0
1771609297083598906,Benign_Normal,62.3,1.2563,741071,39726255,1239,688277,0
1771609297187622009,Benign_Normal,62.3,1.2563,726898,47218027,1108,695581,0
1771609297291517093,Benign_Normal,62.3,1.2563,726648,44807277,1022,733872,0
1771609297381607675,Benign_Normal,62.3,1.2563,741805,40617290,1089,751971,0
1771609357884232730,Benign_Normal,49.388,1.2563,731859,40473516,1163,739801,0
