Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771557942553049843,Idle_LowVolt,52.078,1.1563,2302,69650,0,6291,0
1771557942652878975,Idle_LowVolt,52.078,1.1563,3356,101544,1,9043,0
1771557942753073993,Idle_LowVolt,52.616,1.1563,4397,178678,0,15333,0
1771557942853500627,Idle_LowVolt,52.616,1.1563,13830,421336,47,27918,0
1771557942954032626,Idle_LowVolt,52.078,1.1563,5753,186627,0,16375,0
1771557943054269475,Idle_LowVolt,52.078,1.1563,3928,160623,0,13454,0
1771557943154676333,Idle_LowVolt,52.616,1.1563,3404,128441,0,10720,0
1771557943254989648,Idle_LowVolt,52.078,1.1563,24981,644450,68,36971,0
1771557943355410516,Idle_LowVolt,52.078,1.1563,1691,53680,0,4172,0
1771557943455890343,Idle_LowVolt,52.078,1.1563,2042,57275,0,3879,0
1771557943556256523,Idle_LowVolt,52.616,1.1563,1461,51147,0,3570,0
1771557943656655099,Idle_LowVolt,52.078,1.1563,1226,49257,0,3371,0
1771557943757026279,Idle_LowVolt,52.078,1.1563,11824,368305,47,22700,0
1771557943857448866,Idle_LowVolt,51.54,1.1563,1297,47311,0,3406,0
1771557943957898015,Idle_LowVolt,52.078,1.1563,3041,82512,0,6669,0
1771557944058181963,Idle_LowVolt,52.078,1.1563,10078,633332,0,28194,0
1771557944158676909,Idle_LowVolt,52.078,1.1563,1290,46018,0,3146,0
1771557944259103834,Idle_LowVolt,52.078,1.1563,22892,564931,68,29218,0
1771557944359439613,Idle_LowVolt,51.54,1.1563,6819,162657,0,13776,0
1771557944459946590,Idle_LowVolt,52.078,1.1563,2607,64212,0,4469,0
1771557944560264869,Idle_LowVolt,52.078,1.1563,7181,229545,0,12700,0
1771557944660633929,Idle_LowVolt,52.078,1.1563,1336,47680,0,3555,0
1771557944761000593,Idle_LowVolt,52.616,1.1563,1027,44876,0,2742,0
1771557944861408247,Idle_LowVolt,52.078,1.1563,12025,370049,47,22137,0
1771557944961807256,Idle_LowVolt,52.078,1.1563,2265,59694,0,4330,0
1771557945062200327,Idle_LowVolt,52.078,1.1563,3741,102946,0,7051,0
1771557945162844820,Idle_LowVolt,52.078,1.1563,1261,45958,0,3111,0
1771557945262979988,Idle_LowVolt,52.078,1.1563,22923,572545,68,29696,0
1771557945363402293,Idle_LowVolt,52.616,1.1563,1145,43124,0,3031,0
1771557945463881994,Idle_LowVolt,52.078,1.1563,2483,63916,0,4246,0
1771557945564256330,Idle_LowVolt,52.616,1.1563,1230,47956,0,3409,0
1771557945666076036,Idle_LowVolt,52.078,1.1563,1678,66750,0,5330,0
1771557945766570737,Idle_LowVolt,52.078,1.1563,1024,42459,0,2666,0
1771557945867173251,Idle_LowVolt,52.078,1.1563,1186,46409,0,2995,0
1771557945967792484,Idle_LowVolt,52.078,1.1563,2256,60438,0,4177,0
1771557946068350319,Idle_LowVolt,52.078,1.1563,1488,47692,0,3259,0
1771557946169076442,Idle_LowVolt,52.078,1.1563,12015,378223,47,22881,0
1771557946269383293,Idle_LowVolt,52.078,1.1563,34590,895519,115,49543,0
1771557946370005405,Idle_LowVolt,51.54,1.1563,2447,85546,0,5920,0
1771557946470738143,Idle_LowVolt,51.54,1.1563,3184,94844,0,6408,0
1771557946571068275,Idle_LowVolt,52.078,1.1563,3154,108375,0,8004,0
1771557946671726950,Idle_LowVolt,52.078,1.1563,11606,352843,48,21842,0
1771557946772203697,Idle_LowVolt,52.078,1.1563,1857,69528,0,4758,0
1771557946872842372,Idle_LowVolt,52.078,1.1563,2250,85332,0,5382,0
1771557946973338547,Idle_LowVolt,52.078,1.1563,3309,93748,0,6780,0
1771557947073925982,Idle_LowVolt,52.616,1.1563,2249,81825,0,5267,0
1771557947174571182,Idle_LowVolt,51.54,1.1563,2137,83123,0,5237,0
1771557947275020079,Idle_LowVolt,51.54,1.1563,25078,624283,68,34224,0
1771557947375623665,Idle_LowVolt,51.54,1.1563,2025,72175,0,5029,0
1771557947476311887,Idle_LowVolt,51.54,1.1563,2889,84876,0,6023,0
1771557947576782399,Idle_LowVolt,52.078,1.1563,2596,94954,0,7243,0
1771557947677263328,Idle_LowVolt,51.54,1.1563,2276,87107,0,6064,0
1771557947777792746,Idle_LowVolt,52.078,1.1563,1924,80572,0,4970,0
1771557947878368155,Idle_LowVolt,52.078,1.1563,2038,83361,0,5119,0
1771557947978930282,Idle_LowVolt,52.078,1.1563,2896,93718,0,6171,0
1771557948079648514,Idle_LowVolt,51.54,1.1563,1760,71158,0,4736,0
1771557948180360188,Idle_LowVolt,52.078,1.1563,1789,71758,0,4583,0
1771557948280911809,Idle_LowVolt,51.54,1.1563,34741,720793,68,43867,0
1771557948381611087,Idle_LowVolt,51.54,1.1563,1832,49837,0,3961,0
1771557948482197657,Idle_LowVolt,52.078,1.1563,14142,252517,1,20505,0
1771557948582551100,Idle_LowVolt,52.078,1.1563,15475,272473,2,24088,0
1771557948683186471,Idle_LowVolt,51.54,1.1563,13712,248405,1,20515,0
1771557948783897103,Idle_LowVolt,51.54,1.1563,14134,244935,0,20389,0
1771557948884612632,Idle_LowVolt,51.54,1.1563,13588,222628,0,18562,0
1771557948985137065,Idle_LowVolt,52.078,1.1563,14566,247650,0,21048,0
1771557949085628020,Idle_LowVolt,52.616,1.1563,13704,246289,0,20266,0
1771557949186275021,Idle_LowVolt,51.54,1.1563,13676,245421,0,19976,0
1771557949286808011,Idle_LowVolt,52.078,1.1563,34547,736877,68,44475,0
1771557949387527200,Idle_LowVolt,52.078,1.1563,13262,231532,0,19336,0
1771557949488304618,Idle_LowVolt,52.078,1.1563,14024,243713,0,20019,0
1771557949588768598,Idle_LowVolt,51.54,1.1563,15193,259054,0,22114,0
1771557949689320702,Idle_LowVolt,52.078,1.1563,13856,247039,0,20440,0
1771557949789995516,Idle_LowVolt,52.078,1.1563,13302,233585,0,19430,0
1771557949890695017,Idle_LowVolt,52.078,1.1563,12996,236641,0,19298,0
1771557949991455873,Idle_LowVolt,52.078,1.1563,14132,252449,0,20490,0
1771557950092149449,Idle_LowVolt,51.54,1.1563,13153,230535,0,19451,0
1771557950192783443,Idle_LowVolt,52.078,1.1563,14031,230813,0,19653,0
1771557950293447907,Idle_LowVolt,52.078,1.1563,44279,1032712,68,67733,0
1771557950394145392,Idle_LowVolt,52.078,1.1563,2730,85404,0,5963,0
1771557950495007252,Idle_LowVolt,52.078,1.1563,15284,263306,1,21933,0
1771557950594874993,Idle_LowVolt,52.616,1.1563,15528,271757,0,23537,0
1771557950695569196,Idle_LowVolt,52.078,1.1563,10142,166195,0,14112,0
1771557950796331785,Idle_LowVolt,52.616,1.1563,9773,158626,1,13475,0
1771557950896993176,Idle_LowVolt,52.078,1.1563,9960,155515,0,13256,0
1771557950997582796,Idle_LowVolt,52.078,1.1563,13091,203947,0,17352,0
1771557951098192116,Idle_LowVolt,52.078,1.1563,10059,163513,0,13807,0
1771557951198752062,Idle_LowVolt,52.078,1.1563,9898,162115,0,13686,0
1771557951299445030,Idle_LowVolt,52.078,1.1563,31843,684657,68,40194,0
1771557951399887736,Idle_LowVolt,52.078,1.1563,10126,165663,0,14071,0
1771557951500354036,Idle_LowVolt,51.54,1.1563,10854,169457,0,14303,0
1771557951600884243,Idle_LowVolt,51.54,1.1563,15442,263620,0,22705,0
1771557951701468564,Idle_LowVolt,52.616,1.1563,1836,51862,0,4237,0
1771557951801980125,Idle_LowVolt,52.078,1.1563,1340,47443,0,3213,0
1771557951902545071,Idle_LowVolt,52.078,1.1563,1325,47669,0,3099,0
1771557952003103559,Idle_LowVolt,51.54,1.1563,2349,60755,0,4222,0
1771557952104178470,Idle_LowVolt,52.078,1.1563,1482,47877,0,3262,0
1771557952204497232,Idle_LowVolt,52.078,1.1563,11682,373584,47,22263,0
1771557952304909952,Idle_LowVolt,52.078,1.1563,23094,560907,68,29194,0
1771557952405426788,Idle_LowVolt,51.54,1.1563,2908,67133,0,5195,0
1771557952506132791,Idle_LowVolt,51.54,1.1563,1460,46979,0,3391,0
1771557952606526709,Idle_LowVolt,52.078,1.1563,1561,55085,0,4106,0
1771557952707097399,Idle_LowVolt,51.54,1.1563,12660,392360,47,24627,0
1771557952807740329,Idle_LowVolt,51.54,1.1563,2012,72591,0,5009,0
1771557952908293155,Idle_LowVolt,51.54,1.1563,2986,89227,0,6044,0
1771557953008908325,Idle_LowVolt,51.54,1.1563,2259,83430,0,5319,0
1771557953110420961,Idle_LowVolt,51.54,1.1563,2403,87556,0,5868,0
1771557953210927030,Idle_LowVolt,52.078,1.1563,19260,482056,68,23693,0
1771557953311623829,Idle_LowVolt,52.078,1.1563,7432,195667,0,13559,0
1771557953412282606,Idle_LowVolt,51.54,1.1563,15373,256471,1,21737,0
1771557953513013364,Idle_LowVolt,52.616,1.1563,13896,235660,0,20014,0
1771557953613525838,Idle_LowVolt,52.078,1.1563,3136,94943,0,7117,0
1771557953714086907,Idle_LowVolt,51.54,1.1563,13571,245288,0,20844,0
1771557953814616830,Idle_LowVolt,52.078,1.1563,13932,248297,0,20975,0
1771557953915218107,Idle_LowVolt,52.078,1.1563,14998,261299,0,22122,0
1771557954016076731,Idle_LowVolt,52.078,1.1563,13446,231378,0,19718,0
1771557954116635314,Idle_LowVolt,52.078,1.1563,14585,243084,0,21254,0
1771557954217189990,Idle_LowVolt,52.078,1.1563,34888,742643,68,45515,0
1771557954317699667,Idle_LowVolt,51.54,1.1563,16157,273263,0,22869,0
1771557954418262469,Idle_LowVolt,52.616,1.1563,14975,266700,1,22296,0
1771557954518941782,Idle_LowVolt,52.078,1.1563,13299,238164,0,19998,0
1771557954619527188,Idle_LowVolt,52.078,1.1563,14924,269725,0,22641,0
1771557954720238220,Idle_LowVolt,51.54,1.1563,13860,241057,0,20417,0
1771557954820769875,Idle_LowVolt,52.616,1.1563,14189,249545,0,21214,0
1771557954921284396,Idle_LowVolt,52.078,1.1563,14950,258926,0,21893,0
1771557955022039439,Idle_LowVolt,52.078,1.1563,13704,240892,0,20416,0
1771557955122534702,Idle_LowVolt,52.078,1.1563,13947,251188,0,21572,0
1771557955222978663,Idle_LowVolt,52.078,1.1563,35352,759261,68,46643,0
1771557955323818772,Idle_LowVolt,52.078,1.1563,14444,243727,0,20842,0
