Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771932240670869020,272049.44828,4846.843861,Attack_CRC32,CRC32,1,79.516,1.1563,44909,51802593,114,31761,92918
1771932240678816952,272057.396212,4854.791793,Attack_CRC32,CRC32,1,79.516,1.1563,102485,58554863,257,131712,92918
1771932240738587275,272117.166535,4914.562116,Attack_CRC32,CRC32,1,79.516,1.1563,181535,57797340,676,283445,92918
1771932240841791905,272220.371165,5017.766746,Attack_CRC32,CRC32,1,80.054,1.1563,148411,56747943,521,216611,92918
1771932240946333760,272324.91302,5122.308601,Attack_CRC32,CRC32,1,79.516,1.1563,70119,51249344,177,73554,92918
1771932241050337704,272428.916964,5226.312545,Attack_CRC32,CRC32,1,79.516,1.1563,108565,49076969,546,137814,92918
1771932241154051287,272532.630547,5330.026128,Attack_CRC32,CRC32,1,80.054,1.1563,76394,51694897,160,70594,92918
1771932241258048669,272636.627929,5434.02351,Attack_CRC32,CRC32,1,80.054,1.1563,99380,52389947,239,114940,92918
1771932241362319224,272740.898484,5538.294065,Attack_CRC32,CRC32,1,80.054,1.1563,78413,51622314,168,72356,92918
1771932241466192181,272844.771441,5642.167022,Attack_CRC32,CRC32,1,79.516,1.1563,77245,51544414,173,69276,92918
1771932241570289561,272948.868821,5746.264402,Attack_CRC32,CRC32,1,79.516,1.1563,93897,49564119,193,101981,92918
1771932241674064706,273052.643966,5850.039547,Attack_CRC32,CRC32,1,79.516,1.1563,101045,53527160,280,98376,92918
1771932241778088754,273156.668014,5954.063595,Attack_CRC32,CRC32,1,79.516,1.1563,80762,51987841,164,75391,92918
1771932241879145648,273257.724908,6055.120489,Attack_CRC32,CRC32,1,80.054,1.1563,76818,51582129,160,69133,92918
1771932241982234394,273360.813654,6158.209235,Attack_CRC32,CRC32,1,79.516,1.1563,85065,50640524,184,82961,92918
1771932242081530474,273460.109734,6257.505315,Attack_CRC32,CRC32,1,79.516,1.1563,98906,45542488,495,120257,92918
1771932242182601586,273561.180846,6358.576427,Attack_CRC32,CRC32,1,79.516,1.1563,71638,50332511,163,70538,92918
1771932242286355325,273664.934585,6462.330166,Attack_CRC32,CRC32,1,79.516,1.1563,73718,50340157,156,72004,92918
1771932242390402394,273768.981654,6566.377235,Attack_CRC32,CRC32,1,79.516,1.1563,74611,51768934,164,72127,92918
1771932242494425192,273873.004452,6670.400033,Attack_CRC32,CRC32,1,79.516,1.1563,75818,53919576,225,73979,92918
1771932242598428719,273977.007979,6774.40356,Attack_CRC32,CRC32,1,79.516,1.1563,74683,51791367,163,73022,92918
1771932242702273707,274080.852967,6878.248548,Attack_CRC32,CRC32,1,79.516,1.1563,94461,52244731,226,97551,92918
1771932242806341348,274184.920608,6982.316189,Attack_CRC32,CRC32,1,79.516,1.1563,74024,51940117,163,73370,92918
1771932242910318887,274288.898147,7086.293728,Attack_CRC32,CRC32,1,80.054,1.1563,74264,51718183,171,72133,92918
1771932243014421059,274393.000319,7190.3959,Attack_CRC32,CRC32,1,79.516,1.1563,109034,49979000,555,138041,92918
1771932243118306411,274496.885671,7294.281252,Attack_CRC32,CRC32,1,79.516,1.1563,68486,51979361,161,71270,92918
1771932243222308324,274600.887584,7398.283165,Attack_CRC32,CRC32,1,79.516,1.1563,70666,51864896,164,73012,92918
1771932243326188207,274704.767467,7502.163048,Attack_CRC32,CRC32,1,79.516,1.1563,69877,51860365,164,71422,92918
1771932243430463554,274809.042814,7606.438395,Attack_CRC32,CRC32,1,79.516,1.1563,70318,51791908,171,70957,92918
