Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771927086725418927,382332.392421,2914.022855,Attack_qsort_large,qsort_large,1,79.516,1.1563,86165,69276631,1002,341977,88329
1771927086730718473,382337.691967,2919.322401,Attack_qsort_large,qsort_large,1,79.516,1.1563,191707,70574610,1507,1034359,88329
1771927086799263184,382406.236678,2987.867112,Attack_qsort_large,qsort_large,1,78.978,1.1563,239481,79288330,2017,712057,88329
1771927086906146124,382513.119618,3094.750052,Attack_qsort_large,qsort_large,1,79.516,1.1563,179168,80294772,1571,511128,88329
1771927087010218945,382617.192439,3198.822873,Attack_qsort_large,qsort_large,1,79.516,1.1563,152910,64934957,1317,1011003,88329
1771927087115022810,382721.996304,3303.626738,Attack_qsort_large,qsort_large,1,79.516,1.1563,100729,36255890,601,392478,88329
1771927087218043456,382825.01695,3406.647384,Attack_qsort_large,qsort_large,1,79.516,1.1563,67961,43145648,381,308104,88329
1771927087319675587,382926.649081,3508.279515,Attack_qsort_large,qsort_large,1,79.516,1.1563,107625,34099754,458,973094,88329
1771927087424733869,383031.707363,3613.337797,Attack_qsort_large,qsort_large,1,78.44,1.1563,130038,56573613,1167,436942,88329
1771927087527167958,383134.141452,3715.771886,Attack_qsort_large,qsort_large,1,79.516,1.1563,137178,79740607,1471,609719,88329
1771927087631413968,383238.387462,3820.017896,Attack_qsort_large,qsort_large,1,79.516,1.1563,135917,69762457,1362,843497,88329
1771927087739109259,383346.082753,3927.713187,Attack_qsort_large,qsort_large,1,79.516,1.1563,179424,69679947,1641,471735,88329
1771927087841236890,383448.210384,4029.840818,Attack_qsort_large,qsort_large,1,79.516,1.1563,117520,48533473,703,806668,88329
1771927087945965325,383552.938819,4134.569253,Attack_qsort_large,qsort_large,1,79.516,1.1563,95439,32858469,483,562467,88329
1771927088049271768,383656.245262,4237.875696,Attack_qsort_large,qsort_large,1,79.516,1.1563,83818,40096257,520,318613,88329
1771927088153963454,383760.936948,4342.567382,Attack_qsort_large,qsort_large,1,79.516,1.1563,119113,38300696,460,874903,88329
1771927088267935974,383874.909468,4456.539902,Attack_qsort_large,qsort_large,1,78.978,1.1563,105944,31636347,622,481248,88329
1771927088361494276,383968.46777,4550.098204,Attack_qsort_large,qsort_large,1,79.516,1.1563,197152,43780716,379,348895,88329
1771927088461371819,384068.345313,4649.975747,Attack_qsort_large,qsort_large,1,79.516,1.1563,185154,49722850,687,912914,88329
1771927088566118619,384173.092113,4754.722547,Attack_qsort_large,qsort_large,1,79.516,1.1563,107363,32226885,665,487157,88329
1771927088670504421,384277.477915,4859.108349,Attack_qsort_large,qsort_large,1,79.516,1.1563,110968,43165261,1063,366478,88329
1771927088771453185,384378.426679,4960.057113,Attack_qsort_large,qsort_large,1,78.978,1.1563,118869,36970574,561,879661,88329
1771927088878524960,384485.498454,5067.128888,Attack_qsort_large,qsort_large,1,79.516,1.1563,119110,51847992,974,501519,88329
1771927088982062859,384589.036353,5170.666787,Attack_qsort_large,qsort_large,1,78.978,1.1563,88473,53959761,690,334639,88329
1771927089086196214,384693.169708,5274.800142,Attack_qsort_large,qsort_large,1,78.978,1.1563,120029,35765599,509,890331,88329
1771927089190217453,384797.190947,5378.821381,Attack_qsort_large,qsort_large,1,78.978,1.1563,100510,34976874,558,445623,88329
1771927089291734417,384898.707911,5480.338345,Attack_qsort_large,qsort_large,1,78.44,1.1563,71444,42801767,372,307386,88329
1771927089398296707,385005.270201,5586.900635,Attack_qsort_large,qsort_large,1,78.44,1.1563,153855,64671195,1286,996940,88329
1771927089505952981,385112.926475,5694.556909,Attack_qsort_large,qsort_large,1,79.516,1.1563,116302,47691007,908,426101,88329
