Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771930255895869088,316060.700807,2599.216057,Attack_sha,sha,1,80.592,1.1563,384911,29910010,1299,497207,41814
1771930255903100574,316067.932293,2606.447543,Attack_sha,sha,1,80.592,1.1563,319043,28989397,1378,486267,41814
1771930255910125135,316074.956854,2613.472104,Attack_sha,sha,1,80.592,1.1563,282064,20647465,1773,535357,41814
1771930255917710732,316082.542451,2621.057701,Attack_sha,sha,1,79.516,1.1563,304552,22544518,1829,569938,41814
1771930255958456080,316123.287799,2661.803049,Attack_sha,sha,1,80.592,1.1563,348306,23777290,2022,635828,41814
1771930256058549028,316223.380747,2761.895997,Attack_sha,sha,1,80.592,1.1563,348927,25755683,1978,649982,41814
1771930256163093595,316327.925314,2866.440564,Attack_sha,sha,1,80.054,1.1563,247555,19083012,1733,457627,41814
1771930256267991544,316432.823263,2971.338513,Attack_sha,sha,1,79.516,1.1563,242596,20338355,1699,468012,41814
1771930256370357749,316535.189468,3073.704718,Attack_sha,sha,1,79.516,1.1563,248061,18959844,1723,460006,41814
1771930256471903911,316636.73563,3175.25088,Attack_sha,sha,1,80.054,1.1563,236052,19063230,1699,448659,41814
1771930256578451842,316743.283561,3281.798811,Attack_sha,sha,1,80.054,1.1563,251240,20466673,1729,477935,41814
1771930256682443238,316847.274957,3385.790207,Attack_sha,sha,1,79.516,1.1563,262890,19854793,1787,474683,41814
1771930256786549060,316951.380779,3489.896029,Attack_sha,sha,1,79.516,1.1563,250728,21010168,1753,481428,41814
1771930256889191564,317054.023283,3592.538533,Attack_sha,sha,1,79.516,1.1563,244405,20539072,1700,471301,41814
1771930256994014253,317158.845972,3697.361222,Attack_sha,sha,1,80.054,1.1563,247666,19854526,1753,460835,41814
1771930257102452373,317267.284092,3805.799342,Attack_sha,sha,1,80.054,1.1563,243965,21448603,1743,466529,41814
1771930257202526936,317367.358655,3905.873905,Attack_sha,sha,1,79.516,1.1563,263903,19793639,1887,485790,41814
1771930257306157710,317470.989429,4009.504679,Attack_sha,sha,1,80.054,1.1563,227466,19961386,1574,447335,41814
1771930257414024221,317578.85594,4117.37119,Attack_sha,sha,1,80.054,1.1563,251233,19381214,1822,464900,41814
1771930257515395697,317680.227416,4218.742666,Attack_sha,sha,1,79.516,1.1563,249249,20645410,1730,477962,41814
1771930257623593455,317788.425174,4326.940424,Attack_sha,sha,1,80.054,1.1563,255222,22575519,1828,482872,41814
1771930257733725879,317898.557598,4437.072848,Attack_sha,sha,1,79.516,1.1563,314060,27750872,2179,572701,41814
