Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771664486095533334,1363.968755,360.628621,Benign_FFT,FFT,1,52.616,1.1063,162182,28324107,1104,550357,0
1771664486199068612,1467.504033,464.163899,Benign_FFT,FFT,1,52.616,1.1063,120563,31801874,748,519462,0
1771664486302997884,1571.433305,568.093171,Benign_FFT,FFT,1,52.616,1.1063,182650,29667324,1154,579840,0
1771664486404151958,1672.587379,669.247245,Benign_FFT,FFT,1,52.616,1.1063,165400,30499697,869,550260,0
1771664486507084239,1775.51966,772.179526,Benign_FFT,FFT,1,52.616,1.1063,150262,30493305,909,543150,0
1771664486611386621,1879.822042,876.481908,Benign_FFT,FFT,1,52.616,1.1063,175566,28839685,1042,582409,0
1771664486714798518,1983.233939,979.893805,Benign_FFT,FFT,1,52.616,1.1063,135741,32293754,791,554268,0
1771664486818858358,2087.293779,1083.953645,Benign_FFT,FFT,1,52.616,1.1063,188283,28551857,1164,583671,0
1771664486922870179,2191.3056,1187.965466,Benign_FFT,FFT,1,52.616,1.1063,135906,32361792,790,535415,0
1771664487026857209,2295.29263,1291.952496,Benign_FFT,FFT,1,52.616,1.1063,178077,29503819,1144,579457,0
1771664487127756657,2396.192078,1392.851944,Benign_FFT,FFT,1,52.616,1.1063,148334,31582362,800,540035,0
1771664487230733364,2499.168785,1495.828651,Benign_FFT,FFT,1,52.616,1.1063,173540,29470939,1089,551952,0
1771664487333548776,2601.984197,1598.644063,Benign_FFT,FFT,1,52.616,1.1063,151005,29898594,864,548797,0
1771664487434221984,2702.657405,1699.317271,Benign_FFT,FFT,1,52.616,1.1063,165233,31927323,876,558656,0
1771664487534970397,2803.405818,1800.065684,Benign_FFT,FFT,1,52.616,1.1063,180034,27773743,1148,565481,0
1771664487635851721,2904.287142,1900.947008,Benign_FFT,FFT,1,53.154,1.1063,136934,31014345,791,543754,0
1771664487738903321,3007.338742,2003.998608,Benign_FFT,FFT,1,53.154,1.1063,172555,29567365,1083,563477,0
1771664487840890381,3109.325802,2105.985668,Benign_FFT,FFT,1,52.616,1.1063,159356,29881450,866,568786,0
1771664487941176365,3209.611786,2206.271652,Benign_FFT,FFT,1,53.154,1.1063,136424,31303358,794,533418,0
1771664488041906654,3310.342075,2307.001941,Benign_FFT,FFT,1,52.616,1.1063,183078,27706937,1151,564736,0
1771664488143504720,3411.940141,2408.600007,Benign_FFT,FFT,1,52.616,1.1063,136404,30967992,793,533665,0
1771664488246744697,3515.180118,2511.839984,Benign_FFT,FFT,1,53.154,1.1063,170511,29719542,1091,552767,0
1771664488350313411,3618.748832,2615.408698,Benign_FFT,FFT,1,52.616,1.1063,153889,29956880,864,565315,0
1771664488454843440,3723.278861,2719.938727,Benign_FFT,FFT,1,52.616,1.1063,164222,31900908,877,573503,0
1771664488559350605,3827.786026,2824.445892,Benign_FFT,FFT,1,53.154,1.1063,176071,29190805,1145,577076,0
1771664488663007075,3931.442496,2928.102362,Benign_FFT,FFT,1,52.616,1.1063,135056,32404082,788,549227,0
1771664488766945930,4035.381351,3032.041217,Benign_FFT,FFT,1,52.616,1.1063,188993,28385997,1166,577739,0
1771664488871004207,4139.439628,3136.099494,Benign_FFT,FFT,1,53.154,1.1063,133785,32181152,787,551574,0
1771664488978685929,4247.12135,3243.781216,Benign_FFT,FFT,1,52.616,1.1063,177275,29525327,1146,591366,0
1771664489079529495,4347.964916,3344.624782,Benign_FFT,FFT,1,52.616,1.1063,141777,32798790,800,566272,0
1771664489183493245,4451.928666,3448.588532,Benign_FFT,FFT,1,52.616,1.1063,175987,28485746,1093,543671,0
1771664489284294989,4552.73041,3549.390276,Benign_FFT,FFT,1,52.616,1.1063,149546,30121425,856,556361,0
1771664489385011997,4653.447418,3650.107284,Benign_FFT,FFT,1,53.154,1.1063,164147,31514988,859,560844,0
1771664489485790618,4754.226039,3750.885905,Benign_FFT,FFT,1,52.616,1.1063,180920,27655186,1153,570725,0
1771664489586894329,4855.32975,3851.989616,Benign_FFT,FFT,1,52.616,1.1063,142320,30655835,796,528820,0
1771664489687576234,4956.011655,3952.671521,Benign_FFT,FFT,1,52.616,1.1063,135717,28257030,791,507374,0
1771664489790846679,5059.2821,4055.941966,Benign_FFT,FFT,1,53.154,1.1063,149936,26270414,905,494820,0
1771664489895190830,5163.626251,4160.286117,Benign_FFT,FFT,1,53.154,1.1063,178348,29101470,1049,572775,0
1771664489998899903,5267.335324,4263.99519,Benign_FFT,FFT,1,52.616,1.1063,136141,32317528,787,552794,0
1771664490102728710,5371.164131,4367.823997,Benign_FFT,FFT,1,52.616,1.1063,186802,28428707,1161,581193,0
1771664490206865734,5475.301155,4471.961021,Benign_FFT,FFT,1,52.616,1.1063,138659,32385517,788,557876,0
1771664490310739383,5579.174804,4575.83467,Benign_FFT,FFT,1,52.616,1.1063,180869,29557865,1149,595345,0
1771664490412258755,5680.694176,4677.354042,Benign_FFT,FFT,1,52.616,1.1063,164145,31974245,865,573589,0
1771664490514876466,5783.311887,4779.971753,Benign_FFT,FFT,1,52.616,1.1063,184554,29926345,1083,602502,0
1771664490617717658,5886.153079,4882.812945,Benign_FFT,FFT,1,52.078,1.1063,152002,29627671,867,555661,0
1771664490718137959,5986.57338,4983.233246,Benign_FFT,FFT,1,52.616,1.1063,142228,31643385,791,542159,0
1771664490818871269,6087.30669,5083.966556,Benign_FFT,FFT,1,52.616,1.1063,182373,27663052,1157,578148,0
1771664490919815820,6188.251241,5184.911107,Benign_FFT,FFT,1,52.616,1.1063,139134,30897629,796,520824,0
1771664491022807214,6291.242635,5287.902501,Benign_FFT,FFT,1,52.616,1.1063,168378,29759972,1049,553327,0
1771664491125612626,6394.048047,5390.707913,Benign_FFT,FFT,1,53.154,1.1063,159698,29601115,895,564949,0
1771664491226108966,6494.544387,5491.204253,Benign_FFT,FFT,1,53.692,1.1063,146189,31731827,792,549816,0
1771664491326918471,6595.353892,5592.013758,Benign_FFT,FFT,1,53.692,1.1063,180469,27699761,1155,569586,0
1771664491430832639,6699.26806,5695.927926,Benign_FFT,FFT,1,52.616,1.1063,161650,31249979,865,549630,0
1771664491535005183,6803.440604,5800.10047,Benign_FFT,FFT,1,52.616,1.1063,186868,30312313,1141,573138,0
1771664491640976610,6909.412031,5906.071897,Benign_FFT,FFT,1,52.616,1.1063,142332,29923503,807,549284,0
1771664491741484513,7009.919934,6006.5798,Benign_FFT,FFT,1,52.616,1.1063,166056,31782798,975,586922,0
1771664491842248498,7110.683919,6107.343785,Benign_FFT,FFT,1,53.154,1.1063,160511,27965936,979,541490,0
1771664491943022848,7211.458269,6208.118135,Benign_FFT,FFT,1,52.616,1.1063,136033,31145319,789,525585,0
1771664492046877071,7315.312492,6311.972358,Benign_FFT,FFT,1,52.616,1.1063,179096,28951592,1143,564977,0
1771664492147886723,7416.322144,6412.98201,Benign_FFT,FFT,1,52.078,1.1063,141032,30688536,807,547778,0
1771664492250958583,7519.394004,6516.05387,Benign_FFT,FFT,1,53.154,1.1063,153198,30446572,905,539990,0
1771664492355199978,7623.635399,6620.295265,Benign_FFT,FFT,1,52.616,1.1063,171167,28702447,1047,575464,0
1771664492458898165,7727.333586,6723.993452,Benign_FFT,FFT,1,53.154,1.1063,158813,32665185,857,566991,0
1771664492562832802,7831.268223,6827.928089,Benign_FFT,FFT,1,52.616,1.1063,180201,28821298,1150,587404,0
1771664492666881132,7935.316553,6931.976419,Benign_FFT,FFT,1,52.616,1.1063,135080,32021785,797,539297,0
1771664492770965658,8039.401079,7036.060945,Benign_FFT,FFT,1,53.692,1.1063,179340,29639617,1150,589135,0
1771664492872799860,8141.235281,7137.895147,Benign_FFT,FFT,1,52.616,1.1063,142760,31181835,808,549010,0
1771664492974876135,8243.311556,7239.971422,Benign_FFT,FFT,1,53.154,1.1063,159352,29895308,974,552356,0
1771664493079239140,8347.674561,7344.334427,Benign_FFT,FFT,1,52.616,1.1063,156862,29315074,974,559836,0
1771664493182955452,8451.390873,7448.050739,Benign_FFT,FFT,1,53.154,1.1063,138187,32159649,790,546619,0
1771664493286804050,8555.239471,7551.899337,Benign_FFT,FFT,1,52.616,1.1063,184965,28622118,1158,581880,0
1771664493390853994,8659.289415,7655.949281,Benign_FFT,FFT,1,52.616,1.1063,158950,32734803,857,556376,0
