Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771663651639789350,2415.41265,1403.89646,Benign_susan,susan,1,55.844,1.1063,148883,42783537,1039,671438,0
1771663651743245658,2518.868958,1507.352768,Benign_susan,susan,1,55.844,1.1063,154199,40351425,1039,706316,0
1771663651844933135,2620.556435,1609.040245,Benign_susan,susan,1,55.844,1.1063,174121,38793549,1083,787109,0
1771663651945730078,2721.353378,1709.837188,Benign_susan,susan,1,55.844,1.1063,174671,37679725,1089,755785,0
1771663652050837409,2826.460709,1814.944519,Benign_susan,susan,1,55.844,1.1063,192917,37415527,1259,722417,0
1771663652155021708,2930.645008,1919.128818,Benign_susan,susan,1,55.306,1.1063,193921,40398434,1423,731873,0
1771663652259000494,3034.623794,2023.107604,Benign_susan,susan,1,55.844,1.1063,172994,42762174,1085,710099,0
1771663652363104848,3138.728148,2127.211958,Benign_susan,susan,1,55.844,1.1063,173637,40542326,1085,735571,0
1771663652466539179,3242.162479,2230.646289,Benign_susan,susan,1,55.844,1.1063,195383,39310331,1146,798357,0
1771663652567513511,3343.136811,2331.620621,Benign_susan,susan,1,55.844,1.1063,174765,37888142,1091,772050,0
1771663652671059711,3446.683011,2435.166821,Benign_susan,susan,1,55.844,1.1063,189574,37347141,1256,717418,0
1771663652774717730,3550.34103,2538.82484,Benign_susan,susan,1,55.844,1.1063,193102,39361367,1431,730407,0
1771663652878919684,3654.542984,2643.026794,Benign_susan,susan,1,55.306,1.1063,170935,43272634,1079,705403,0
1771663652982701031,3758.324331,2746.808141,Benign_susan,susan,1,55.844,1.1063,174831,40621226,1084,734777,0
1771663653087243701,3862.867001,2851.350811,Benign_susan,susan,1,55.844,1.1063,174760,39058694,1086,768318,0
1771663653191133012,3966.756312,2955.240122,Benign_susan,susan,1,55.844,1.1063,178968,38061121,1090,787104,0
1771663653291770796,4067.394096,3055.877906,Benign_susan,susan,1,55.844,1.1063,162899,35760787,1081,629999,0
1771663653398709405,4174.332705,3162.816515,Benign_susan,susan,1,55.844,1.1063,187836,37798039,1153,758166,0
1771663653500824782,4276.448082,3264.931892,Benign_susan,susan,1,55.844,1.1063,159863,32212110,1086,508859,0
1771663653601707348,4377.330648,3365.814458,Benign_susan,susan,1,55.844,1.1063,125089,23631335,682,568368,0
1771663653702048842,4477.672142,3466.155952,Benign_susan,susan,1,55.844,1.1063,194494,37425679,1266,722786,0
1771663653802656107,4578.279407,3566.763217,Benign_susan,susan,1,56.382,1.1063,118798,31113120,783,451670,0
1771663653907074250,4682.69755,3671.18136,Benign_susan,susan,1,55.844,1.1063,170852,38862149,1081,720481,0
1771663654008371798,4783.995098,3772.478908,Benign_susan,susan,1,55.844,1.1063,159899,24326202,1081,594394,0
