Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771656584486822428,229160.52555,357.02767,Benign_bitcount,bitcount,1,79.516,1.2563,156039,11206186,1192,595824,0
1771656584589374749,229263.077871,459.579991,Benign_bitcount,bitcount,1,79.516,1.2563,150786,12192449,1165,506093,0
1771656584692247328,229365.95045,562.45257,Benign_bitcount,bitcount,1,79.516,1.2563,189816,11417697,1349,637587,0
1771656584795308655,229469.011777,665.513897,Benign_bitcount,bitcount,1,79.516,1.2563,162960,12376447,1111,565018,0
1771656584895788493,229569.491615,765.993735,Benign_bitcount,bitcount,1,79.516,1.2563,221682,12208118,1432,650571,0
1771656584998089514,229671.792636,868.294756,Benign_bitcount,bitcount,1,79.516,1.2563,183417,12743340,1092,595782,0
1771656585098712479,229772.415601,968.917721,Benign_bitcount,bitcount,1,78.978,1.2563,194635,11644716,1401,608277,0
1771656585200240230,229873.943352,1070.445472,Benign_bitcount,bitcount,1,79.516,1.2563,152252,12069696,1058,566546,0
1771656585304025619,229977.728741,1174.230861,Benign_bitcount,bitcount,1,78.44,1.2563,193115,11844253,1398,589215,0
1771656585404502441,230078.205563,1274.707683,Benign_bitcount,bitcount,1,78.44,1.2563,158132,11892170,1054,597538,0
1771656585505867172,230179.570294,1376.072414,Benign_bitcount,bitcount,1,78.978,1.2563,193883,12301149,1396,564876,0
1771656585607119300,230280.822422,1477.324542,Benign_bitcount,bitcount,1,78.978,1.2563,157971,11498818,1060,598622,0
1771656585711321926,230385.025048,1581.527168,Benign_bitcount,bitcount,1,78.978,1.2563,191057,12748327,1397,562130,0
1771656585812272545,230485.975667,1682.477787,Benign_bitcount,bitcount,1,78.978,1.2563,179923,11705540,1243,630772,0
1771656585916475848,230590.17897,1786.68109,Benign_bitcount,bitcount,1,78.978,1.2563,191227,12627948,1280,554127,0
1771656586016970430,230690.673552,1887.175672,Benign_bitcount,bitcount,1,78.44,1.2563,178943,11590523,1241,631063,0
1771656586118573133,230792.276255,1988.778375,Benign_bitcount,bitcount,1,78.978,1.2563,172333,12664104,1225,543017,0
1771656586219239854,230892.942976,2089.445096,Benign_bitcount,bitcount,1,78.978,1.2563,181902,11258415,1321,625451,0
1771656586322748271,230996.451393,2192.953513,Benign_bitcount,bitcount,1,78.44,1.2563,161644,12405984,1140,541732,0
1771656586421263238,231094.96636,2291.46848,Benign_bitcount,bitcount,1,79.516,1.2563,189267,11424168,1350,621724,0
1771656586523763069,231197.466191,2393.968311,Benign_bitcount,bitcount,1,78.44,1.2563,159364,12296271,1111,525167,0
1771656586624428853,231298.131975,2494.634095,Benign_bitcount,bitcount,1,78.978,1.2563,190478,11418601,1349,635257,0
1771656586729663663,231403.366785,2599.868905,Benign_bitcount,bitcount,1,78.44,1.2563,164186,12372956,1113,542571,0
1771656586832876093,231506.579215,2703.081335,Benign_bitcount,bitcount,1,78.44,1.2563,210473,12017159,1465,646686,0
1771656586933214431,231606.917553,2803.419673,Benign_bitcount,bitcount,1,78.44,1.2563,161499,12250983,1055,596016,0
1771656587036309624,231710.012746,2906.514866,Benign_bitcount,bitcount,1,78.44,1.2563,190637,12073123,1398,569135,0
1771656587136769320,231810.472442,3006.974562,Benign_bitcount,bitcount,1,78.44,1.2563,161637,11909177,1059,596913,0
1771656587238660932,231912.364054,3108.866174,Benign_bitcount,bitcount,1,78.44,1.2563,193008,12085984,1399,563476,0
1771656587339460416,232013.163538,3209.665658,Benign_bitcount,bitcount,1,78.44,1.2563,152192,11601287,1062,591160,0
1771656587441282081,232114.985203,3311.487323,Benign_bitcount,bitcount,1,77.902,1.2563,191950,12798960,1399,560459,0
1771656587544158581,232217.861703,3414.363823,Benign_bitcount,bitcount,1,77.902,1.2563,165540,11231518,1176,609411,0
