Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771644479197164398,3853.111964,2844.914197,Attack_dijkstra,dijkstra,1,59.072,1.2563,286454,34955407,1055,435354,50327
1771644479207916244,3863.86381,2855.666043,Attack_dijkstra,dijkstra,1,59.072,1.2563,295165,35646480,1017,452000,50327
1771644479215841403,3871.788969,2863.591202,Attack_dijkstra,dijkstra,1,58.534,1.2563,291308,36953952,1040,445509,50327
1771644479321204226,3977.151792,2968.954025,Attack_dijkstra,dijkstra,1,58.534,1.2563,409622,43623738,1550,652168,50327
1771644479423735525,4079.683091,3071.485324,Attack_dijkstra,dijkstra,1,58.534,1.2563,221505,35510610,652,319586,50327
1771644479531517895,4187.465461,3179.267694,Attack_dijkstra,dijkstra,1,58.534,1.2563,228211,34747979,721,329115,50327
1771644479631429821,4287.377387,3279.17962,Attack_dijkstra,dijkstra,1,58.534,1.2563,252620,35188910,831,344662,50327
1771644479741541498,4397.489064,3389.291297,Attack_dijkstra,dijkstra,1,59.072,1.2563,224748,31705192,837,328809,50327
1771644479843279059,4499.226625,3491.028858,Attack_dijkstra,dijkstra,1,57.996,1.2563,257145,34765962,889,357971,50327
1771644479947346135,4603.293701,3595.095934,Attack_dijkstra,dijkstra,1,58.534,1.2563,263965,43091271,1139,361471,50327
1771644480049023764,4704.97133,3696.773563,Attack_dijkstra,dijkstra,1,58.534,1.2563,247371,34339510,845,338928,50327
1771644480151762520,4807.710086,3799.512319,Attack_dijkstra,dijkstra,1,58.534,1.2563,230656,35683871,744,332266,50327
1771644480256740130,4912.687696,3904.489929,Attack_dijkstra,dijkstra,1,58.534,1.2563,228617,35553410,691,324996,50327
1771644480358045559,5013.993125,4005.795358,Attack_dijkstra,dijkstra,1,58.534,1.2563,240219,36240948,914,349654,50327
1771644480464454468,5120.402034,4112.204267,Attack_dijkstra,dijkstra,1,58.534,1.2563,295994,69644219,1795,432253,50327
1771644480567819150,5223.766716,4215.568949,Attack_dijkstra,dijkstra,1,58.534,1.2563,261998,45692379,1059,373036,50327
1771644480671714886,5327.662452,4319.464685,Attack_dijkstra,dijkstra,1,59.072,1.2563,238345,33348620,762,337422,50327
1771644480783563333,5439.510899,4431.313132,Attack_dijkstra,dijkstra,1,58.534,1.2563,252954,33858734,759,342358,50327
1771644480881703084,5537.65065,4529.452883,Attack_dijkstra,dijkstra,1,59.072,1.2563,270866,32813684,919,364389,50327
1771644480983606664,5639.55423,4631.356463,Attack_dijkstra,dijkstra,1,58.534,1.2563,266138,32175385,749,312546,50327
1771644481088438053,5744.385619,4736.187852,Attack_dijkstra,dijkstra,1,59.072,1.2563,241259,35678370,760,324553,50327
1771644481191488797,5847.436363,4839.238596,Attack_dijkstra,dijkstra,1,58.534,1.2563,263515,34771845,769,335255,50327
