Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771523993320781179,Benign_Hot,80.592,1.2563,329487,6933467,1325,313613,0
1771523993333637472,Benign_Hot,80.054,1.2563,826544,8353876,658,271701,0
1771523993340914401,Benign_Hot,80.592,1.2563,543388,3095679,35,57289,0
1771523993352997095,Benign_Hot,80.054,1.2563,545907,4021755,118,86109,0
1771523993364385044,Benign_Hot,80.054,1.2563,561277,3060982,29,49369,0
1771523993373368704,Benign_Hot,80.054,1.2563,533737,5356261,88,70929,0
1771523993380630216,Benign_Hot,80.592,1.2563,337569,18703620,1,147186,0
1771523993421054526,Benign_Hot,80.592,1.2563,294418,5641935,162,164734,0
1771523993528317196,Benign_Hot,80.592,1.2563,421245,6334249,162,172980,0
1771523993621789816,Benign_Hot,79.516,1.2563,481210,6606970,313,180151,0
1771523993722164779,Benign_Hot,80.054,1.2563,482055,4447059,0,77251,0
1771523993826862430,Benign_Hot,79.516,1.2563,553841,2590453,47,28197,0
1771523993928556465,Benign_Hot,79.516,1.2563,512500,4484585,47,88885,0
1771523994024907856,Benign_Hot,79.516,1.2563,571687,2682803,0,16641,0
1771523994125833238,Benign_Hot,80.054,1.2563,582269,2677944,47,24466,0
1771523994232392412,Benign_Hot,80.054,1.2563,515548,4281325,47,78512,0
1771523994328328539,Benign_Hot,79.516,1.2563,483300,4707833,0,84412,0
1771523994428348550,Benign_Hot,79.516,1.2563,570624,2381438,0,7460,0
1771523994528575854,Benign_Hot,80.054,1.2563,584823,2496769,0,18055,0
1771523994626510798,Benign_Hot,80.054,1.2563,582189,2671649,6,29262,0
1771523994728534417,Benign_Hot,80.054,1.2563,573483,2992301,47,43563,0
1771523994828881358,Benign_Hot,80.054,1.2563,440834,4455853,0,135622,0
1771523994932575302,Benign_Hot,80.054,1.2563,618553,2812812,47,23498,0
1771523995032259321,Benign_Hot,79.516,1.2563,696850,3146594,0,14927,0
1771523995140333401,Benign_Hot,80.054,1.2563,1138239,8365939,0,8088,0
1771523995234433888,Benign_Hot,80.054,1.2563,606912,2490570,0,4748,0
1771523995336564694,Benign_Hot,80.054,1.2563,600838,2861072,0,35095,0
1771523995436939447,Benign_Hot,80.054,1.2563,489897,4587092,0,87344,0
1771523995537884151,Benign_Hot,79.516,1.2563,578999,2389295,0,6500,0
1771523995640408398,Benign_Hot,79.516,1.2563,576848,2645788,47,25518,0
1771523995739184336,Benign_Hot,80.054,1.2563,580724,2419543,0,9341,0
1771523995844422874,Benign_Hot,79.516,1.2563,572728,2353639,0,4765,0
1771523995944499551,Benign_Hot,79.516,1.2563,416677,5086722,0,201935,0
1771523996042579078,Benign_Hot,79.516,1.2563,581082,2385741,0,4681,0
1771523996144607851,Benign_Hot,80.054,1.2563,491751,5262034,0,96414,0
1771523996248386690,Benign_Hot,79.516,1.2563,467585,5274740,0,100397,0
1771523996345416468,Benign_Hot,79.516,1.2563,580889,2395067,0,5629,0
1771523996444874181,Benign_Hot,79.516,1.2563,328117,2049290,47,1753927,0
