Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771525328039727004,Idle_Normal,60.148,1.2563,2525,79457,0,6932,0
1771525328139351754,Idle_Normal,60.686,1.2563,4735,118644,1,9974,0
1771525328239612434,Idle_Normal,60.148,1.2563,21060,410681,1,37656,0
1771525328340061706,Idle_Normal,59.61,1.2563,15395,273140,0,24109,0
1771525328440428844,Idle_Normal,60.148,1.2563,11976,383228,47,24029,0
1771525328541053844,Idle_Normal,60.148,1.2563,11354,359355,49,21472,0
1771525328641371503,Idle_Normal,60.148,1.2563,38210,1304746,303,69658,0
1771525328741677860,Idle_Normal,60.148,1.2563,1874,72967,0,5859,0
1771525328841938436,Idle_Normal,60.148,1.2563,2016,86787,0,7288,0
1771525328942422291,Idle_Normal,60.148,1.2563,1067,44686,0,2955,0
1771525329042824064,Idle_Normal,59.61,1.2563,1308,50786,0,3424,0
1771525329143193444,Idle_Normal,60.148,1.2563,12479,386715,47,24832,0
1771525329243506054,Idle_Normal,60.148,1.2563,2471,71088,0,5963,0
1771525329343908038,Idle_Normal,60.148,1.2563,1024,42622,0,2785,0
1771525329444427208,Idle_Normal,60.148,1.2563,1404,50487,0,3536,0
1771525329544879243,Idle_Normal,60.148,1.2563,2802,109994,0,8179,0
1771525329645154145,Idle_Normal,60.148,1.2563,29118,1000384,256,44085,0
1771525329745516129,Idle_Normal,59.61,1.2563,2036,78087,0,5263,0
1771525329845911342,Idle_Normal,60.148,1.2563,2199,84689,0,5261,0
1771525329946349315,Idle_Normal,60.148,1.2563,2165,83111,0,4815,0
1771525330046648019,Idle_Normal,60.148,1.2563,3001,98673,0,7374,0
1771525330147060370,Idle_Normal,59.61,1.2563,2019,72080,0,4812,0
1771525330247427565,Idle_Normal,59.61,1.2563,2034,76652,0,4909,0
1771525330347813666,Idle_Normal,60.148,1.2563,1813,71323,0,4261,0
1771525330448440181,Idle_Normal,59.072,1.2563,2226,77356,0,5144,0
1771525330548816699,Idle_Normal,59.61,1.2563,3510,131683,0,10453,0
1771525330649125041,Idle_Normal,60.148,1.2563,38051,1257044,302,58367,0
1771525330749537392,Idle_Normal,59.61,1.2563,1857,64463,0,4383,0
1771525330849939014,Idle_Normal,60.148,1.2563,2222,60047,0,4109,0
1771525330950345740,Idle_Normal,60.148,1.2563,1255,45312,0,2862,0
1771525331050706685,Idle_Normal,59.61,1.2563,1537,54191,0,3868,0
1771525331151106018,Idle_Normal,59.072,1.2563,11700,361688,49,21419,0
1771525331251477903,Idle_Normal,59.61,1.2563,2185,70686,0,6102,0
1771525331352571500,Idle_Normal,60.148,1.2563,999,42555,0,2795,0
1771525331452339433,Idle_Normal,59.072,1.2563,1484,50892,0,3540,0
1771525331541042532,Idle_Normal,59.61,1.2563,1143,45684,0,2736,0
1771525441613777570,Idle_Normal,52.078,1.2563,8609,298053,0,27731,0
1771525441713532069,Idle_Normal,52.078,1.2563,15442,388665,1,39396,0
1771525441813802762,Idle_Normal,52.078,1.2563,18601,491996,0,50628,0
1771525441914329547,Idle_Normal,52.616,1.2563,15552,422536,0,42536,0
1771525442014625865,Idle_Normal,52.078,1.2563,13742,381145,0,38251,0
1771525442115003486,Idle_Normal,51.54,1.2563,16266,450816,0,45200,0
1771525442215534908,Idle_Normal,52.616,1.2563,14025,364983,0,37167,0
1771525442316010237,Idle_Normal,52.078,1.2563,19361,510423,0,51664,0
1771525442416470774,Idle_Normal,52.616,1.2563,8128,203890,0,20572,0
1771525442516835583,Idle_Normal,52.078,1.2563,2425,83431,0,7426,0
1771525442617159663,Idle_Normal,52.078,1.2563,5985,177246,0,16102,0
1771525442717558013,Idle_Normal,52.078,1.2563,2698,90792,0,8229,0
1771525442817885843,Idle_Normal,51.54,1.2563,2585,93120,0,8154,0
1771525442918314610,Idle_Normal,51.54,1.2563,1003,43571,0,2945,0
1771525443018641295,Idle_Normal,51.54,1.2563,2382,90748,0,7859,0
1771525443119103293,Idle_Normal,51.54,1.2563,1674,57694,0,4225,0
1771525443219413729,Idle_Normal,51.54,1.2563,5898,160244,0,15551,0
1771525443319829633,Idle_Normal,51.54,1.2563,2867,73754,0,5383,0
1771525443420392620,Idle_Normal,51.54,1.2563,3246,103480,0,8637,0
1771525443520828160,Idle_Normal,51.54,1.2563,7253,307380,0,21455,0
1771525443621088701,Idle_Normal,52.078,1.2563,5374,179331,0,15211,0
1771525443721480543,Idle_Normal,51.54,1.2563,1184,43807,0,3068,0
1771525443821846448,Idle_Normal,52.078,1.2563,1103,45578,0,2779,0
1771525443922234592,Idle_Normal,51.54,1.2563,911,43583,0,2501,0
1771525444022599403,Idle_Normal,51.54,1.2563,1221,49922,0,3112,0
1771525444123092653,Idle_Normal,51.54,1.2563,1075,45502,0,2677,0
1771525444223362102,Idle_Normal,52.078,1.2563,9139,361875,0,24051,0
1771525444323768165,Idle_Normal,51.54,1.2563,1318,47031,0,3301,0
1771525444424337247,Idle_Normal,51.54,1.2563,1294,47227,0,3175,0
1771525444524772581,Idle_Normal,51.54,1.2563,5938,253515,0,20573,0
1771525444625064165,Idle_Normal,51.54,1.2563,5209,166841,0,14113,0
1771525444725410958,Idle_Normal,52.078,1.2563,1114,43051,0,3036,0
1771525444825823010,Idle_Normal,51.54,1.2563,1202,47076,0,2989,0
1771525444926175167,Idle_Normal,51.54,1.2563,3363,102916,0,6071,0
1771525445026526074,Idle_Normal,51.54,1.2563,1273,46037,0,2914,0
1771525445126946514,Idle_Normal,52.078,1.2563,1148,46566,0,2764,0
1771525445227287528,Idle_Normal,51.54,1.2563,1369,52336,0,3336,0
1771525445327633333,Idle_Normal,52.078,1.2563,1014,44674,0,2661,0
1771525445428228928,Idle_Normal,51.54,1.2563,1031,45410,0,2544,0
1771525445528612389,Idle_Normal,51.54,1.2563,1061,46013,0,2612,0
1771525445628918194,Idle_Normal,52.078,1.2563,6456,198160,0,16820,0
1771525445729261187,Idle_Normal,52.078,1.2563,1101,42931,0,2963,0
1771525445829629127,Idle_Normal,52.078,1.2563,1007,44471,0,2752,0
1771525445930410606,Idle_Normal,51.54,1.2563,893,43990,0,2584,0
1771525446030341519,Idle_Normal,51.54,1.2563,946,44871,0,2596,0
1771525446130772377,Idle_Normal,51.54,1.2563,1108,46806,0,2711,0
1771525446233052076,Idle_Normal,51.54,1.2563,952,44569,0,2598,0
1771525446333642361,Idle_Normal,51.54,1.2563,1152,48513,0,3026,0
1771525446434349519,Idle_Normal,51.54,1.2563,954,45031,0,2639,0
1771525446535026157,Idle_Normal,51.54,1.2563,1015,45064,0,2553,0
1771525446634717803,Idle_Normal,52.078,1.2563,5538,186519,0,15110,0
1771525446735239494,Idle_Normal,51.54,1.2563,1426,52101,0,3727,0
1771525446835743113,Idle_Normal,51.54,1.2563,927,43831,0,2718,0
1771525446936332355,Idle_Normal,51.54,1.2563,995,46318,0,2762,0
1771525447036861756,Idle_Normal,51.54,1.2563,949,45008,0,2650,0
1771525447137308658,Idle_Normal,51.54,1.2563,957,44872,0,2541,0
1771525447238143370,Idle_Normal,51.54,1.2563,1175,47166,0,2968,0
1771525447338591210,Idle_Normal,51.54,1.2563,7810,181794,0,17945,0
1771525447439121341,Idle_Normal,51.54,1.2563,16098,287162,1,23580,0
1771525447539835949,Idle_Normal,51.54,1.2563,13032,230507,1,19017,0
1771525447640372382,Idle_Normal,51.54,1.2563,19067,368070,2,32783,0
