Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771565806875211331,Attack_Hot_LowVolt,80.054,1.1563,548580,53150754,10500,1498713,0
1771565807096072217,Attack_Hot_LowVolt,80.592,1.1563,1548578,89732163,6956,2602034,0
1771565807139948522,Attack_Hot_LowVolt,80.054,1.1563,1349140,62806027,3059,1471974,0
1771565807156776487,Attack_Hot_LowVolt,80.592,1.1563,1117318,51486655,5395,1416331,0
1771565807173966991,Attack_Hot_LowVolt,80.592,1.1563,1029601,53002231,6350,1924975,0
1771565807239758791,Attack_Hot_LowVolt,80.592,1.1563,1557784,57746806,2347,2717814,0
1771565807260108230,Attack_Hot_LowVolt,80.592,1.1563,1921434,57733064,1335,2463780,0
1771565807273028116,Attack_Hot_LowVolt,80.592,1.1563,1461016,54733767,26,1554357,0
1771565807356004794,Attack_Hot_LowVolt,80.054,1.1563,1884320,67531804,68,1521310,0
1771565807387967364,Attack_Hot_LowVolt,80.592,1.1563,2599178,88675983,84,1959198,0
1771565807405928159,Attack_Hot_LowVolt,80.592,1.1563,1966865,70120793,398,3530361,0
1771565807415093942,Attack_Hot_LowVolt,80.592,1.1563,1367204,71642406,1917,1417754,0
1771565807427954290,Attack_Hot_LowVolt,80.592,1.1563,826703,62089749,1586,1576126,0
1771565807439875058,Attack_Hot_LowVolt,80.054,1.1563,929572,61255325,2294,1481064,0
1771565807451932507,Attack_Hot_LowVolt,81.13,1.1563,1091583,61206784,862,1511504,0
1771565807531827914,Attack_Hot_LowVolt,80.592,1.1563,1108342,56249899,1432,1483312,0
1771565807633983749,Attack_Hot_LowVolt,79.516,1.1563,242963,46883043,535,3757210,0
1771565807738073021,Attack_Hot_LowVolt,80.054,1.1563,83622,47856989,2215,2014276,0
1771565807844155791,Attack_Hot_LowVolt,80.592,1.1563,102068,56148868,18607,1802745,0
1771565807949558591,Attack_Hot_LowVolt,81.13,1.1563,814914,45838780,12515,1481549,0
1771565808052145260,Attack_Hot_LowVolt,80.592,1.1563,445493,36087183,279,1069607,0
1771565808152799854,Attack_Hot_LowVolt,80.054,1.1563,381039,35000593,102,1426639,0
1771565808256222456,Attack_Hot_LowVolt,80.592,1.1563,428950,37444626,172,1606627,0
1771565808345763086,Attack_Hot_LowVolt,81.13,1.1563,225051,33635482,138,1461502,0
1771565808514022133,Attack_Hot_LowVolt,80.592,1.1563,341288,32991082,245,1288908,0
1771565808612092437,Attack_Hot_LowVolt,80.592,1.1563,796914,35118736,260,1077248,0
1771565808688655673,Attack_Hot_LowVolt,80.592,1.1563,665114,32596911,73,630155,0
1771565808789322091,Attack_Hot_LowVolt,80.054,1.1563,756686,39807468,90,844555,0
1771565808912778528,Attack_Hot_LowVolt,81.13,1.1563,543744,28322414,66,2864228,0
1771565808989471934,Attack_Hot_LowVolt,80.592,1.1563,498892,30440914,92,922889,0
1771565809096387740,Attack_Hot_LowVolt,80.592,1.1563,635728,34383975,187,881131,0
1771565809208255283,Attack_Hot_LowVolt,80.592,1.1563,929117,29785482,248,858168,0
1771565809300991378,Attack_Hot_LowVolt,80.592,1.1563,1300984,32417584,51,565041,0
1771565809412349230,Attack_Hot_LowVolt,80.592,1.1563,665805,28347436,47,712967,0
1771565809516010727,Attack_Hot_LowVolt,80.592,1.1563,684825,30044762,50,933240,0
1771565809604397496,Attack_Hot_LowVolt,80.054,1.1563,475399,30012849,48,2177017,0
1771565809713241013,Attack_Hot_LowVolt,80.054,1.1563,359105,29980707,62,3006280,0
1771565809813258157,Attack_Hot_LowVolt,80.592,1.1563,379901,33833906,60,2035054,0
1771565809913823694,Attack_Hot_LowVolt,80.592,1.1563,453708,42298520,65,1357781,0
1771565810016749853,Attack_Hot_LowVolt,80.054,1.1563,407273,37110622,139,2922728,0
1771565810119792392,Attack_Hot_LowVolt,80.592,1.1563,1114788,37419991,94,1515151,0
1771565810223807849,Attack_Hot_LowVolt,80.592,1.1563,600089,33934392,53,1098004,8
1771565810328846647,Attack_Hot_LowVolt,81.13,1.1563,241002,38026807,51,1246831,0
1771565810428795777,Attack_Hot_LowVolt,80.054,1.1563,333054,31950697,48,1159675,0
1771565810535779682,Attack_Hot_LowVolt,80.592,1.1563,1095562,36677604,50,948080,0
