Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771565092262639165,Attack_LowVolt,56.382,1.1563,281212,17817146,589,161270,0
1771565092270864526,Attack_LowVolt,56.92,1.1563,233497,19620689,118,195036,0
1771565092277907371,Attack_LowVolt,56.382,1.1563,124761,13629151,410,217678,0
1771565092374295009,Attack_LowVolt,56.382,1.1563,170342,13650182,613,322496,0
1771565092478516163,Attack_LowVolt,56.382,1.1563,43896,5666110,98,71962,0
1771565092582502898,Attack_LowVolt,56.382,1.1563,30234,5466280,48,48820,0
1771565092686629763,Attack_LowVolt,55.844,1.1563,28463,5419474,50,46339,0
1771565092790505956,Attack_LowVolt,55.844,1.1563,30271,5514950,56,49925,0
1771565092895888372,Attack_LowVolt,55.844,1.1563,28660,5437334,51,47213,0
1771565093002787637,Attack_LowVolt,55.844,1.1563,47169,5913468,127,68327,0
1771565093106719469,Attack_LowVolt,55.844,1.1563,66346,7004604,212,134151,0
1771565093210341597,Attack_LowVolt,55.844,1.1563,28922,5431688,47,48229,0
1771565093314963683,Attack_LowVolt,56.382,1.1563,29462,5425199,49,47404,0
1771565093418456571,Attack_LowVolt,56.382,1.1563,28223,5417055,49,46497,0
1771565093522342493,Attack_LowVolt,55.844,1.1563,29142,5428945,50,47362,0
1771565093626383024,Attack_LowVolt,56.382,1.1563,28137,5407079,49,45794,0
1771565093730396728,Attack_LowVolt,56.382,1.1563,28624,5416681,47,47032,0
1771565093834502269,Attack_LowVolt,55.844,1.1563,28179,5407149,47,45779,0
1771565093938717048,Attack_LowVolt,56.382,1.1563,28312,5410369,49,46083,0
1771565094042735304,Attack_LowVolt,56.382,1.1563,52132,5981494,123,78066,0
1771565094146521923,Attack_LowVolt,55.844,1.1563,57057,6656694,178,104402,0
1771565094250488569,Attack_LowVolt,56.382,1.1563,28622,5409333,51,46531,0
1771565094354343740,Attack_LowVolt,55.844,1.1563,28601,5411039,47,46572,0
1771565094458372895,Attack_LowVolt,56.382,1.1563,28301,5417519,49,46583,0
1771565094562344124,Attack_LowVolt,55.844,1.1563,28781,5420224,47,46673,0
1771565094666559816,Attack_LowVolt,55.844,1.1563,27966,5400304,48,45163,0
1771565094770584856,Attack_LowVolt,55.844,1.1563,28698,5419002,50,47195,0
1771565094874628596,Attack_LowVolt,55.844,1.1563,27865,5409051,48,45998,0
1771565094978726719,Attack_LowVolt,55.844,1.1563,45892,6158406,85,80907,0
1771565095082607282,Attack_LowVolt,56.382,1.1563,58428,6040428,125,86785,0
1771565095186418065,Attack_LowVolt,56.382,1.1563,30926,5463239,50,53794,0
1771565095290352040,Attack_LowVolt,55.844,1.1563,28238,5404019,49,46272,0
1771565095394502396,Attack_LowVolt,55.844,1.1563,28553,5416623,48,46538,0
1771565095498454238,Attack_LowVolt,56.382,1.1563,28114,5410030,49,45736,0
1771565095602360866,Attack_LowVolt,55.844,1.1563,28768,5421316,47,46719,0
1771565095706345785,Attack_LowVolt,55.844,1.1563,27857,5399825,50,45616,0
1771565095810443531,Attack_LowVolt,55.306,1.1563,28400,5420408,47,47081,0
1771565095914611858,Attack_LowVolt,55.844,1.1563,27151,5402103,48,45364,0
1771565096018757181,Attack_LowVolt,55.844,1.1563,50540,5916416,116,73149,0
1771565096122614863,Attack_LowVolt,56.382,1.1563,33093,5491661,47,54440,0
1771565096226527655,Attack_LowVolt,56.382,1.1563,28091,5407887,50,45665,0
1771565096330384660,Attack_LowVolt,55.844,1.1563,30955,5471788,47,54318,0
1771565096434496589,Attack_LowVolt,56.382,1.1563,29325,5442750,51,47469,0
1771565096538467044,Attack_LowVolt,55.844,1.1563,28741,5419894,47,46647,0
1771565096642369471,Attack_LowVolt,56.382,1.1563,28156,5407677,48,45547,0
1771565096746481504,Attack_LowVolt,56.382,1.1563,27349,5406519,49,45263,0
1771565096850478525,Attack_LowVolt,55.844,1.1563,28771,5409413,48,46306,0
1771565096954395432,Attack_LowVolt,55.844,1.1563,29712,5447629,51,48011,0
1771565097058717451,Attack_LowVolt,55.844,1.1563,51483,5854842,116,75296,0
1771565097163468153,Attack_LowVolt,56.382,1.1563,57581,6144458,55,106436,0
1771565097265630961,Attack_LowVolt,55.844,1.1563,46198,6201065,94,82746,0
1771565097364684068,Attack_LowVolt,55.844,1.1563,52075,5857763,84,94652,0
1771565097465631567,Attack_LowVolt,55.844,1.1563,36670,5553235,93,62575,0
1771565097566509407,Attack_LowVolt,55.844,1.1563,31148,5327214,48,50094,0
1771565097670335955,Attack_LowVolt,55.844,1.1563,30210,5329919,53,48984,0
1771565097774475605,Attack_LowVolt,55.844,1.1563,29009,5435741,50,47636,0
1771565097878364888,Attack_LowVolt,56.382,1.1563,28761,5438037,47,47915,0
1771565097982513545,Attack_LowVolt,55.844,1.1563,30255,5470022,48,51386,0
1771565098086364032,Attack_LowVolt,55.844,1.1563,58514,6070269,117,89736,0
1771565098190326915,Attack_LowVolt,56.382,1.1563,28250,5449814,48,46893,0
1771565098294298898,Attack_LowVolt,56.382,1.1563,27988,5475733,48,47496,0
1771565098398380375,Attack_LowVolt,55.844,1.1563,29201,5473655,48,48420,0
1771565098502591820,Attack_LowVolt,55.844,1.1563,29550,5490164,48,49384,0
1771565098606308210,Attack_LowVolt,55.844,1.1563,29746,5499670,48,48776,0
1771565098710368233,Attack_LowVolt,56.92,1.1563,28209,5464451,49,46999,0
1771565098814521828,Attack_LowVolt,55.844,1.1563,27987,5452486,48,46377,0
1771565098919021021,Attack_LowVolt,56.382,1.1563,29962,5529960,52,50969,0
1771565099022807760,Attack_LowVolt,56.92,1.1563,85330,7529748,120,128895,0
1771565099126408671,Attack_LowVolt,56.382,1.1563,49937,5950582,47,89032,0
1771565099230679802,Attack_LowVolt,56.92,1.1563,30778,5427855,47,51437,0
1771565099334865402,Attack_LowVolt,56.92,1.1563,36522,5485373,47,60300,0
1771565099439386500,Attack_LowVolt,55.844,1.1563,34854,5437174,50,56717,0
1771565099542880925,Attack_LowVolt,55.844,1.1563,35653,5490285,47,58316,0
1771565099646935980,Attack_LowVolt,56.382,1.1563,43505,6454747,52,71395,0
1771565099750382854,Attack_LowVolt,55.844,1.1563,33516,5624821,48,56385,0
1771565099854725078,Attack_LowVolt,56.382,1.1563,29320,5480634,49,48542,0
1771565099959094830,Attack_LowVolt,56.382,1.1563,42407,5872930,71,78424,0
1771565100062452767,Attack_LowVolt,56.382,1.1563,59564,6118986,115,92598,0
1771565100166260959,Attack_LowVolt,55.844,1.1563,29153,5493789,51,49160,0
1771565100270312475,Attack_LowVolt,55.844,1.1563,28192,5453178,50,46803,0
1771565100374416808,Attack_LowVolt,56.382,1.1563,28860,5468439,47,48359,0
1771565100478545167,Attack_LowVolt,56.92,1.1563,28437,5469635,49,47936,0
1771565100582384636,Attack_LowVolt,55.844,1.1563,29062,5470794,48,48184,8
1771565100686377431,Attack_LowVolt,55.844,1.1563,28338,5457991,49,47276,0
1771565100790633950,Attack_LowVolt,56.382,1.1563,27567,5450210,48,46242,0
1771565100898138947,Attack_LowVolt,56.382,1.1563,28740,5461482,49,48203,8
1771565100998583551,Attack_LowVolt,56.92,1.1563,30383,5490226,48,50531,0
1771565101102537009,Attack_LowVolt,56.382,1.1563,81759,7065534,173,136750,0
1771565101206440622,Attack_LowVolt,56.382,1.1563,29969,5515405,48,54123,0
1771565101310352006,Attack_LowVolt,56.382,1.1563,27853,5449157,47,46954,0
1771565101414273288,Attack_LowVolt,56.382,1.1563,28602,5455941,47,47564,0
1771565101518315146,Attack_LowVolt,56.382,1.1563,27817,5447143,47,46548,0
1771565101622364569,Attack_LowVolt,55.844,1.1563,29370,5465437,47,47752,0
1771565101726317148,Attack_LowVolt,56.382,1.1563,27860,5451604,48,46330,0
1771565101830432637,Attack_LowVolt,56.92,1.1563,27896,5450023,47,46595,0
1771565101934525949,Attack_LowVolt,55.844,1.1563,28365,5459846,47,47679,0
1771565102038524797,Attack_LowVolt,56.382,1.1563,49796,5960632,119,74093,0
1771565102142436267,Attack_LowVolt,55.844,1.1563,57429,6414802,107,104508,0
1771565102246330731,Attack_LowVolt,56.382,1.1563,28208,5450048,47,47364,0
1771565102350499670,Attack_LowVolt,56.382,1.1563,27655,5442722,48,46367,0
1771565102454710242,Attack_LowVolt,55.844,1.1563,28939,5461716,48,48075,0
1771565102558504436,Attack_LowVolt,56.382,1.1563,37122,5679710,55,66189,0
1771565102662303555,Attack_LowVolt,56.382,1.1563,28613,5463324,48,48470,8
1771565102766360972,Attack_LowVolt,56.382,1.1563,28602,5452859,48,47243,0
1771565102870546761,Attack_LowVolt,56.382,1.1563,27802,5447529,47,46631,8
1771565102974546318,Attack_LowVolt,56.92,1.1563,29188,5469208,48,49249,0
1771565103078370123,Attack_LowVolt,56.382,1.1563,86772,6881124,121,153891,0
