Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771566254852286939,Benign_LowVolt,53.692,1.1563,595933,3373607,0,45777,0
1771566254954070459,Benign_LowVolt,53.692,1.1563,586681,3104666,1,16037,0
1771566255054003209,Benign_LowVolt,53.692,1.1563,624245,4384987,118,113181,0
1771566255154620131,Benign_LowVolt,54.23,1.1563,602514,3896087,47,80202,0
1771566255255311331,Benign_LowVolt,54.23,1.1563,587912,3482833,48,48507,0
1771566255359599852,Benign_LowVolt,54.23,1.1563,588264,3489312,49,48360,0
1771566255463579390,Benign_LowVolt,54.23,1.1563,609030,3599123,49,48674,0
1771566255567564813,Benign_LowVolt,53.692,1.1563,606022,3599786,48,49047,0
1771566255671571801,Benign_LowVolt,54.23,1.1563,605518,3566418,47,47161,0
1771566255775700934,Benign_LowVolt,54.23,1.1563,605209,3582500,47,47693,0
1771566255879557493,Benign_LowVolt,54.23,1.1563,613603,3733468,48,64779,0
1771566255983667458,Benign_LowVolt,53.692,1.1563,606025,3584044,47,49038,0
1771566256087536732,Benign_LowVolt,53.692,1.1563,625665,4092567,115,74393,0
1771566256191601492,Benign_LowVolt,54.23,1.1563,605634,3563193,49,46895,0
1771566256295584891,Benign_LowVolt,53.692,1.1563,605996,3587648,48,48343,0
1771566256399548862,Benign_LowVolt,53.692,1.1563,606415,3578337,47,48344,0
1771566256503537678,Benign_LowVolt,54.23,1.1563,604959,3573679,48,47110,0
1771566256607737553,Benign_LowVolt,53.692,1.1563,605123,3578007,47,46557,0
1771566256711579795,Benign_LowVolt,54.23,1.1563,604193,3569557,47,46599,0
1771566256815718676,Benign_LowVolt,53.692,1.1563,615712,3756332,49,65273,0
1771566256919686136,Benign_LowVolt,54.23,1.1563,611526,3693470,48,61149,0
1771566257023573904,Benign_LowVolt,53.692,1.1563,626273,4111997,117,75605,0
1771566257127556581,Benign_LowVolt,54.23,1.1563,605878,3580146,48,48793,0
1771566257231567072,Benign_LowVolt,53.692,1.1563,605162,3568439,47,47035,0
1771566257335533758,Benign_LowVolt,54.23,1.1563,606632,3595710,48,48673,0
1771566257439557688,Benign_LowVolt,54.23,1.1563,605665,3568638,47,47329,0
1771566257543533281,Benign_LowVolt,54.768,1.1563,605178,3573444,47,47615,0
1771566257647548200,Benign_LowVolt,54.23,1.1563,605328,3579259,48,47900,0
1771566257751685889,Benign_LowVolt,54.768,1.1563,605345,3576453,48,47181,0
1771566257855588143,Benign_LowVolt,54.768,1.1563,616143,3818708,48,73158,0
1771566257959620980,Benign_LowVolt,54.768,1.1563,606006,3589280,48,48540,0
1771566258063602098,Benign_LowVolt,54.23,1.1563,626003,4112372,116,75494,0
1771566258167554206,Benign_LowVolt,54.768,1.1563,604985,3577531,47,48023,0
1771566258271569080,Benign_LowVolt,54.768,1.1563,605764,3563085,49,46571,0
1771566258375485352,Benign_LowVolt,54.768,1.1563,607231,3603120,49,49234,0
1771566258479542989,Benign_LowVolt,54.23,1.1563,606197,3580197,47,47293,0
1771566258583489212,Benign_LowVolt,54.23,1.1563,605452,3574167,47,47100,0
1771566258687583623,Benign_LowVolt,54.23,1.1563,605436,3566708,48,46603,0
1771566258791732570,Benign_LowVolt,54.23,1.1563,606019,3591600,46,48597,0
1771566258895653426,Benign_LowVolt,53.692,1.1563,611478,3705390,47,62698,0
1771566258999603398,Benign_LowVolt,54.23,1.1563,625141,4070944,116,73433,0
1771566259103561555,Benign_LowVolt,54.23,1.1563,607933,3621836,48,53429,0
1771566259207548621,Benign_LowVolt,54.768,1.1563,605907,3561732,48,47375,0
1771566259311554386,Benign_LowVolt,54.23,1.1563,606431,3590422,47,48371,0
