Timestamp_ns,Label,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771568052107060331,Idle_Hot_LowVolt,79.516,1.1563,5529,156022,0,11329,0
1771568052207643270,Idle_Hot_LowVolt,79.516,1.1563,14809,351271,1,32449,0
1771568052308310273,Idle_Hot_LowVolt,78.44,1.1563,27997,656921,47,45618,0
1771568052409016079,Idle_Hot_LowVolt,78.978,1.1563,27533,630751,47,44134,0
1771568052509642300,Idle_Hot_LowVolt,78.978,1.1563,28667,653744,46,45797,0
1771568052610312271,Idle_Hot_LowVolt,77.902,1.1563,27946,639172,49,44426,0
1771568052710927971,Idle_Hot_LowVolt,78.44,1.1563,28283,655450,48,45893,0
1771568052811708517,Idle_Hot_LowVolt,78.44,1.1563,27200,626838,48,43168,0
1771568052912521772,Idle_Hot_LowVolt,77.902,1.1563,27773,633061,48,44302,0
1771568053013127316,Idle_Hot_LowVolt,77.902,1.1563,50117,1183876,115,72389,0
1771568053113838755,Idle_Hot_LowVolt,77.902,1.1563,35245,814584,47,61696,0
1771568053214432588,Idle_Hot_LowVolt,77.364,1.1563,35136,846333,48,66136,0
1771568053315099598,Idle_Hot_LowVolt,77.364,1.1563,27457,649267,48,44831,0
1771568053415818329,Idle_Hot_LowVolt,77.364,1.1563,27933,648954,49,44428,0
1771568053516535132,Idle_Hot_LowVolt,77.364,1.1563,28744,648098,49,45201,0
1771568053617175267,Idle_Hot_LowVolt,77.902,1.1563,26903,641216,48,44433,0
1771568053717807382,Idle_Hot_LowVolt,77.902,1.1563,28993,668858,48,47239,0
1771568053818469966,Idle_Hot_LowVolt,77.364,1.1563,27818,642821,48,44503,0
1771568053919259009,Idle_Hot_LowVolt,77.364,1.1563,26708,637638,48,44003,0
1771568054020020814,Idle_Hot_LowVolt,77.364,1.1563,50464,1188599,116,72695,0
1771568054120619759,Idle_Hot_LowVolt,77.364,1.1563,37411,818054,50,63243,0
1771568054221326101,Idle_Hot_LowVolt,77.364,1.1563,27519,635436,47,44880,0
1771568054321941713,Idle_Hot_LowVolt,76.826,1.1563,27649,631179,47,44370,0
1771568054422677743,Idle_Hot_LowVolt,76.826,1.1563,27414,636008,47,44719,0
1771568054523300230,Idle_Hot_LowVolt,76.826,1.1563,27936,633195,48,44071,0
1771568054624056156,Idle_Hot_LowVolt,77.364,1.1563,27200,620335,48,43403,0
1771568054724775415,Idle_Hot_LowVolt,77.364,1.1563,25884,607956,48,42085,0
1771568054825431027,Idle_Hot_LowVolt,76.288,1.1563,26760,626963,47,43528,0
1771568054926200183,Idle_Hot_LowVolt,77.364,1.1563,27453,636673,47,44532,0
1771568055027163873,Idle_Hot_LowVolt,76.288,1.1563,49306,1175878,115,71527,0
1771568055127867046,Idle_Hot_LowVolt,76.826,1.1563,47822,1174621,49,98870,0
1771568055228202402,Idle_Hot_LowVolt,76.826,1.1563,35062,825950,49,64147,0
1771568055328926512,Idle_Hot_LowVolt,76.826,1.1563,27961,652733,49,45260,0
1771568055429585935,Idle_Hot_LowVolt,76.826,1.1563,27754,671664,46,45976,0
