Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771664651627522118,1365.067175,359.745367,Benign_CRC32,CRC32,1,52.616,1.1063,88935,42906670,343,110777,0
1771664651734912572,1472.457629,467.135821,Benign_CRC32,CRC32,1,51.54,1.1063,45691,48128129,1,31084,0
1771664651838830872,1576.375929,571.054121,Benign_CRC32,CRC32,1,52.078,1.1063,72686,50424752,50,71889,0
1771664651942900434,1680.445491,675.123683,Benign_CRC32,CRC32,1,52.078,1.1063,69159,48551319,48,66456,0
1771664652046850033,1784.39509,779.073282,Benign_CRC32,CRC32,1,52.616,1.1063,66248,48515035,48,63874,0
1771664652150916525,1888.461582,883.139774,Benign_CRC32,CRC32,1,52.078,1.1063,64765,48556766,48,61448,0
1771664652254958571,1992.503628,987.18182,Benign_CRC32,CRC32,1,52.078,1.1063,66027,48590340,49,63115,0
1771664652359285574,2096.830631,1091.508823,Benign_CRC32,CRC32,1,52.078,1.1063,65869,48543837,47,62403,0
1771664652462899273,2200.44433,1195.122522,Benign_CRC32,CRC32,1,52.078,1.1063,114412,49529761,119,150045,0
1771664652566910619,2304.455676,1299.133868,Benign_CRC32,CRC32,1,52.078,1.1063,104242,45680506,386,127364,0
1771664652670909559,2408.454616,1403.132808,Benign_CRC32,CRC32,1,52.616,1.1063,64459,48535493,47,61441,0
1771664652774959945,2512.505002,1507.183194,Benign_CRC32,CRC32,1,52.078,1.1063,63906,48550474,47,60802,0
1771664652878997821,2616.542878,1611.22107,Benign_CRC32,CRC32,1,52.616,1.1063,63511,48510315,48,62061,0
1771664652982970231,2720.515288,1715.19348,Benign_CRC32,CRC32,1,52.078,1.1063,67259,48471005,48,65153,0
1771664653086998347,2824.543404,1819.221596,Benign_CRC32,CRC32,1,52.078,1.1063,66798,48522929,46,63373,0
1771664653191019369,2928.564426,1923.242618,Benign_CRC32,CRC32,1,52.616,1.1063,65332,48547674,48,60453,0
1771664653295075886,3032.620943,2027.299135,Benign_CRC32,CRC32,1,52.616,1.1063,66657,48525613,47,62713,0
1771664653399009915,3136.554972,2131.233164,Benign_CRC32,CRC32,1,52.078,1.1063,129465,46226948,460,153882,0
1771664653503027235,3240.572292,2235.250484,Benign_CRC32,CRC32,1,52.078,1.1063,72407,48490138,48,66515,0
1771664653607029232,3344.574289,2339.252481,Benign_CRC32,CRC32,1,52.078,1.1063,71955,48490893,47,62211,0
1771664653711025965,3448.571022,2443.249214,Benign_CRC32,CRC32,1,52.616,1.1063,71858,48494344,48,62003,0
1771664653815023270,3552.568327,2547.246519,Benign_CRC32,CRC32,1,52.078,1.1063,71178,48506047,49,61552,0
1771664653919097092,3656.642149,2651.320341,Benign_CRC32,CRC32,1,52.078,1.1063,72792,48502815,47,63674,0
1771664654022998331,3760.543388,2755.22158,Benign_CRC32,CRC32,1,52.616,1.1063,71662,48513007,47,62982,0
1771664654127032339,3864.577396,2859.255588,Benign_CRC32,CRC32,1,52.616,1.1063,71369,48493097,47,62529,0
1771664654230947143,3968.4922,2963.170392,Benign_CRC32,CRC32,1,52.078,1.1063,74681,48577581,47,68281,0
1771664654334877218,4072.422275,3067.100467,Benign_CRC32,CRC32,1,52.616,1.1063,108564,45822363,397,131565,0
1771664654438901218,4176.446275,3171.124467,Benign_CRC32,CRC32,1,52.078,1.1063,89475,48934631,115,92519,0
1771664654543043901,4280.588958,3275.26715,Benign_CRC32,CRC32,1,52.078,1.1063,66433,48526085,49,63095,0
1771664654646950990,4384.496047,3379.174239,Benign_CRC32,CRC32,1,52.078,1.1063,65715,48567004,47,62032,0
1771664654750924119,4488.469176,3483.147368,Benign_CRC32,CRC32,1,52.078,1.1063,64960,48573518,47,60766,0
1771664654854930345,4592.475402,3587.153594,Benign_CRC32,CRC32,1,52.078,1.1063,65904,48574882,48,60744,0
1771664654959013869,4696.558926,3691.237118,Benign_CRC32,CRC32,1,52.078,1.1063,66364,48533725,47,63222,0
1771664655063913990,4801.459047,3796.137239,Benign_CRC32,CRC32,1,52.078,1.1063,67195,48549894,47,64863,0
1771664655171445195,4908.990252,3903.668444,Benign_CRC32,CRC32,1,52.616,1.1063,72838,48418222,69,71730,0
1771664655274578206,5012.123263,4006.801455,Benign_CRC32,CRC32,1,52.078,1.1063,92896,38697384,373,118561,0
