Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771653284825526902,235648.837269,2756.548866,Attack_FFT,FFT,1,80.054,1.2563,119171,29865616,872,438220,48534
1771653284837436340,235660.746707,2768.458304,Attack_FFT,FFT,1,80.592,1.2563,162624,27873521,973,475747,48534
1771653284849906784,235673.217151,2780.928748,Attack_FFT,FFT,1,80.592,1.2563,182135,28080990,1089,509926,48534
1771653284955567872,235778.878239,2886.589836,Attack_FFT,FFT,1,80.592,1.2563,264605,35220702,1334,672793,48534
1771653285064180510,235887.490877,2995.202474,Attack_FFT,FFT,1,80.054,1.2563,187134,32358861,1016,577149,48534
1771653285163943286,235987.253653,3094.96525,Attack_FFT,FFT,1,80.592,1.2563,240220,37628865,1226,695743,48534
1771653285271556204,236094.866571,3202.578168,Attack_FFT,FFT,1,80.592,1.2563,197422,30863730,1084,569100,48534
1771653285379677628,236202.987995,3310.699592,Attack_FFT,FFT,1,80.054,1.2563,159807,30679241,964,502159,48534
1771653285487536076,236310.846443,3418.55804,Attack_FFT,FFT,1,80.054,1.2563,145721,30315268,930,478345,48534
1771653285593308363,236416.61873,3524.330327,Attack_FFT,FFT,1,80.054,1.2563,142801,30878738,916,486949,48534
1771653285696113058,236519.423425,3627.135022,Attack_FFT,FFT,1,80.592,1.2563,143297,31792833,930,483801,48534
1771653285799903773,236623.21414,3730.925737,Attack_FFT,FFT,1,80.592,1.2563,140897,30442715,915,487203,48534
1771653285905134689,236728.445056,3836.156653,Attack_FFT,FFT,1,79.516,1.2563,178578,31244025,1030,524370,48534
1771653286008392523,236831.70289,3939.414487,Attack_FFT,FFT,1,80.054,1.2563,135891,29965301,921,475952,48534
1771653286111181590,236934.491957,4042.203554,Attack_FFT,FFT,1,80.054,1.2563,141879,30014294,918,473532,48534
1771653286221190729,237044.501096,4152.212693,Attack_FFT,FFT,1,80.054,1.2563,138442,29844757,912,487136,48534
