Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771649486379440337,207078.680131,556.98113,Attack_qsort_large,qsort_large,1,80.592,1.2563,438662,61837716,11357,668719,37168
1771649486462734542,207161.974336,640.275335,Attack_qsort_large,qsort_large,1,80.592,1.2563,475249,62150348,12004,1165315,37168
1771649486854157623,207553.397417,1031.698416,Attack_qsort_large,qsort_large,1,80.592,1.2563,742655,49776013,7381,857672,37168
1771649486889421086,207588.66088,1066.961879,Attack_qsort_large,qsort_large,1,81.13,1.2563,1368854,56532203,3199,1284601,37168
1771649486932088730,207631.328524,1109.629523,Attack_qsort_large,qsort_large,1,81.668,1.2563,2993623,103994048,145,2666491,37168
1771649486980674052,207679.913846,1158.214845,Attack_qsort_large,qsort_large,1,81.668,1.2563,2059223,85379091,771,1755865,37168
1771649486993528569,207692.768363,1171.069362,Attack_qsort_large,qsort_large,1,81.13,1.2563,1341459,65971488,2941,1151902,37168
1771649487150884266,207850.12406,1328.425059,Attack_qsort_large,qsort_large,1,80.592,1.2563,831548,53436265,5693,859206,37168
1771649487189873388,207889.113182,1367.414181,Attack_qsort_large,qsort_large,1,81.13,1.2563,619389,75410130,521,1148936,37168
1771649487292869887,207992.109681,1470.41068,Attack_qsort_large,qsort_large,1,81.13,1.2563,425595,67443564,930,1199406,37168
1771649487397192421,208096.432215,1574.733214,Attack_qsort_large,qsort_large,1,81.668,1.2563,279946,58272086,14065,1230704,37168
1771649487501672715,208200.912509,1679.213508,Attack_qsort_large,qsort_large,1,81.668,1.2563,205536,36082271,20031,625746,37168
1771649487607170920,208306.410714,1784.711713,Attack_qsort_large,qsort_large,1,81.668,1.2563,117595,13455719,331,238840,37168
1771649487721306111,208420.545905,1898.846904,Attack_qsort_large,qsort_large,1,80.592,1.2563,113433,35564910,317,338355,37168
1771649487843671937,208542.911731,2021.21273,Attack_qsort_large,qsort_large,1,81.13,1.2563,137526,33574609,392,555037,37168
1771649487943878139,208643.117933,2121.418932,Attack_qsort_large,qsort_large,1,80.592,1.2563,353397,41956979,594,934086,37168
1771649488024149182,208723.388976,2201.689975,Attack_qsort_large,qsort_large,1,80.592,1.2563,392708,41768559,689,559505,37168
1771649488127810262,208827.050056,2305.351055,Attack_qsort_large,qsort_large,1,80.592,1.2563,287521,51416385,320,394655,37168
1771649488232166234,208931.406028,2409.707027,Attack_qsort_large,qsort_large,1,80.592,1.2563,124167,36908028,532,876799,37168
1771649488336093666,209035.33346,2513.634459,Attack_qsort_large,qsort_large,1,80.592,1.2563,97497,32468762,508,405813,37168
1771649488446831688,209146.071482,2624.372481,Attack_qsort_large,qsort_large,1,81.13,1.2563,73401,41791485,321,297898,37168
1771649488543493324,209242.733118,2721.034117,Attack_qsort_large,qsort_large,1,80.592,1.2563,121791,35954000,518,863703,37168
