Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771647966365001217,1362.854456,359.580506,Benign_CRC32,CRC32,1,55.844,1.2563,44945,48133174,0,27412,0
1771647966468502765,1466.356004,463.082054,Benign_CRC32,CRC32,1,55.306,1.2563,48194,48183168,1,29759,0
1771647966572401170,1570.254409,566.980459,Benign_CRC32,CRC32,1,55.844,1.2563,72915,48628663,51,70604,0
1771647966676452590,1674.305829,671.031879,Benign_CRC32,CRC32,1,55.844,1.2563,68348,48644534,47,61947,0
1771647966780443180,1778.296419,775.022469,Benign_CRC32,CRC32,1,55.844,1.2563,67471,48654294,47,61228,0
1771647966884259089,1882.112328,878.838378,Benign_CRC32,CRC32,1,55.844,1.2563,89111,47487161,117,88670,0
1771647966988240356,1986.093595,982.819645,Benign_CRC32,CRC32,1,55.844,1.2563,109412,45977914,390,134867,0
1771647967092284804,2090.138043,1086.864093,Benign_CRC32,CRC32,1,55.844,1.2563,66899,48562365,47,63421,0
1771647967196239830,2194.093069,1190.819119,Benign_CRC32,CRC32,1,55.844,1.2563,64555,48660691,47,61225,0
1771647967300282977,2298.136216,1294.862266,Benign_CRC32,CRC32,1,55.844,1.2563,67174,48513752,48,68289,0
1771647967402525837,2400.379076,1397.105126,Benign_CRC32,CRC32,1,55.844,1.2563,65067,48660990,47,61985,0
1771647967503217513,2501.070752,1497.796802,Benign_CRC32,CRC32,1,55.844,1.2563,65269,47746120,47,62848,0
1771647967603964500,2601.817739,1598.543789,Benign_CRC32,CRC32,1,55.844,1.2563,63969,47160531,48,63287,0
1771647967708271073,2706.124312,1702.850362,Benign_CRC32,CRC32,1,55.844,1.2563,63252,47088282,48,61708,0
1771647967812437496,2810.290735,1807.016785,Benign_CRC32,CRC32,1,55.844,1.2563,63566,48834445,47,62291,0
1771647967916433510,2914.286749,1911.012799,Benign_CRC32,CRC32,1,55.306,1.2563,131378,45802728,461,156494,0
1771647968020398797,3018.252036,2014.978086,Benign_CRC32,CRC32,1,55.844,1.2563,70557,48636209,47,64210,0
