Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771662368031548579,3906.433914,2899.704388,Attack_dijkstra,dijkstra,1,56.92,1.1063,279778,37224871,937,430265,58409
1771662368040097740,3914.983075,2908.253549,Attack_dijkstra,dijkstra,1,56.92,1.1063,287297,36375958,930,441944,58409
1771662368046840885,3921.72622,2914.996694,Attack_dijkstra,dijkstra,1,56.382,1.1063,335676,37795734,1096,488040,58409
1771662368085336124,3960.221459,2953.491933,Attack_dijkstra,dijkstra,1,56.382,1.1063,348028,42729565,1355,541686,58409
1771662368194002961,4068.888296,3062.15877,Attack_dijkstra,dijkstra,1,56.92,1.1063,371116,45142782,1394,559082,58409
1771662368296185369,4171.070704,3164.341178,Attack_dijkstra,dijkstra,1,55.844,1.1063,241659,37417181,744,342028,58409
1771662368398576229,4273.461564,3266.732038,Attack_dijkstra,dijkstra,1,56.382,1.1063,280549,53673574,1283,378606,58409
1771662368505256151,4380.141486,3373.41196,Attack_dijkstra,dijkstra,1,56.92,1.1063,236922,37760138,770,329324,58409
1771662368609804356,4484.689691,3477.960165,Attack_dijkstra,dijkstra,1,56.92,1.1063,235350,34038466,711,323829,58409
1771662368709899216,4584.784551,3578.055025,Attack_dijkstra,dijkstra,1,56.382,1.1063,241604,35289513,765,342839,58409
1771662368814309651,4689.194986,3682.46546,Attack_dijkstra,dijkstra,1,56.382,1.1063,221866,31929046,768,323518,58409
1771662368921990947,4796.876282,3790.146756,Attack_dijkstra,dijkstra,1,56.92,1.1063,231382,34222723,763,334299,58409
1771662369021900258,4896.785593,3890.056067,Attack_dijkstra,dijkstra,1,56.382,1.1063,252420,35400253,764,343530,58409
1771662369125882345,5000.76768,3994.038154,Attack_dijkstra,dijkstra,1,56.382,1.1063,238911,32382979,781,312276,58409
1771662369228127381,5103.012716,4096.28319,Attack_dijkstra,dijkstra,1,56.92,1.1063,248107,41273187,940,343071,58409
1771662369338355280,5213.240615,4206.511089,Attack_dijkstra,dijkstra,1,56.92,1.1063,256502,39065103,792,360482,58409
1771662369442211213,5317.096548,4310.367022,Attack_dijkstra,dijkstra,1,56.382,1.1063,267207,35593842,822,367118,58409
1771662369541991124,5416.876459,4410.146933,Attack_dijkstra,dijkstra,1,56.92,1.1063,234269,32816716,770,344591,58409
1771662369646127597,5521.012932,4514.283406,Attack_dijkstra,dijkstra,1,56.92,1.1063,247828,43884717,1110,355501,58409
1771662369749948632,5624.833967,4618.104441,Attack_dijkstra,dijkstra,1,56.382,1.1063,240187,34097194,768,358321,58409
1771662369853913322,5728.798657,4722.069131,Attack_dijkstra,dijkstra,1,56.92,1.1063,260634,34017432,760,333578,58409
1771662369956077883,5830.963218,4824.233692,Attack_dijkstra,dijkstra,1,56.382,1.1063,244336,34070436,756,338270,58409
1771662370057542141,5932.427476,4925.69795,Attack_dijkstra,dijkstra,1,56.382,1.1063,232243,35873066,631,330126,58409
1771662370162263674,6037.149009,5030.419483,Attack_dijkstra,dijkstra,1,55.844,1.1063,232618,36240918,818,330064,58409
1771662370270743181,6145.628516,5138.89899,Attack_dijkstra,dijkstra,1,56.382,1.1063,258568,41634391,843,353499,58409
1771662370374005965,6248.8913,5242.161774,Attack_dijkstra,dijkstra,1,56.92,1.1063,246553,35536184,769,349075,58409
1771662370473852100,6348.737435,5342.007909,Attack_dijkstra,dijkstra,1,56.382,1.1063,256061,31527449,898,354976,58409
1771662370577910774,6452.796109,5446.066583,Attack_dijkstra,dijkstra,1,56.382,1.1063,227001,32924438,926,325747,58409
1771662370682239258,6557.124593,5550.395067,Attack_dijkstra,dijkstra,1,56.92,1.1063,275752,37690417,858,343743,58409
1771662370786181621,6661.066956,5654.33743,Attack_dijkstra,dijkstra,1,56.92,1.1063,242337,35402799,648,330404,58409
1771662370888316513,6763.201848,5756.472322,Attack_dijkstra,dijkstra,1,56.382,1.1063,231004,35763517,669,323389,58409
1771662370989314397,6864.199732,5857.470206,Attack_dijkstra,dijkstra,1,56.92,1.1063,236374,36037148,657,337520,58409
1771662371090423935,6965.30927,5958.579744,Attack_dijkstra,dijkstra,1,56.92,1.1063,223034,34275522,747,325527,58409
1771662371201893198,7076.778533,6070.049007,Attack_dijkstra,dijkstra,1,56.92,1.1063,237023,32919201,767,332566,58409
1771662371301996874,7176.882209,6170.152683,Attack_dijkstra,dijkstra,1,57.458,1.1063,255269,34742974,821,359198,58409
1771662371409973080,7284.858415,6278.128889,Attack_dijkstra,dijkstra,1,56.92,1.1063,256001,33654517,970,350324,58409
1771662371509872419,7384.757754,6378.028228,Attack_dijkstra,dijkstra,1,56.92,1.1063,289054,45187784,1153,371404,58409
1771662371612746549,7487.631884,6480.902358,Attack_dijkstra,dijkstra,1,56.92,1.1063,226321,33529496,674,302107,58409
1771662371720863338,7595.748673,6589.019147,Attack_dijkstra,dijkstra,1,56.382,1.1063,255914,37101364,783,337824,58409
1771662371822107459,7696.992794,6690.263268,Attack_dijkstra,dijkstra,1,56.92,1.1063,240772,35498651,874,336497,58409
1771662371925803157,7800.688492,6793.958966,Attack_dijkstra,dijkstra,1,56.382,1.1063,233636,31736141,874,328264,58409
1771662372034035710,7908.921045,6902.191519,Attack_dijkstra,dijkstra,1,56.382,1.1063,250249,36777431,948,359005,58409
1771662372133771153,8008.656488,7001.926962,Attack_dijkstra,dijkstra,1,56.92,1.1063,275099,45425341,1098,372147,58409
1771662372238089050,8112.974385,7106.244859,Attack_dijkstra,dijkstra,1,56.92,1.1063,229803,31489866,760,336688,58409
1771662372343939657,8218.824992,7212.095466,Attack_dijkstra,dijkstra,1,56.92,1.1063,254786,33938357,773,351520,58409
