Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771662664322021039,3629.773262,2615.629596,Attack_sha,sha,1,54.768,1.1063,229154,19904021,1677,449939,38630
1771662664334997867,3642.75009,2628.606424,Attack_sha,sha,1,54.768,1.1063,256446,19367213,1712,487850,38630
1771662664343028354,3650.780577,2636.636911,Attack_sha,sha,1,54.768,1.1063,259757,20400858,1655,504949,38630
1771662664431620163,3739.372386,2725.22872,Attack_sha,sha,1,54.768,1.1063,401102,28980818,2330,759715,38630
1771662664534543039,3842.295262,2828.151596,Attack_sha,sha,1,54.23,1.1063,262348,19130690,1605,486713,38630
1771662664637480498,3945.232721,2931.089055,Attack_sha,sha,1,54.768,1.1063,248505,19827775,1696,476021,38630
1771662664747413572,4055.165795,3041.022129,Attack_sha,sha,1,54.768,1.1063,239238,20856061,1710,469320,38630
1771662664844229405,4151.981628,3137.837962,Attack_sha,sha,1,54.23,1.1063,242530,18879114,1711,455676,38630
1771662664953745979,4261.498202,3247.354536,Attack_sha,sha,1,54.768,1.1063,251973,25324245,1899,481929,38630
1771662665055656323,4363.408546,3349.26488,Attack_sha,sha,1,54.23,1.1063,282120,35594764,2278,527467,38630
1771662665158236178,4465.988401,3451.844735,Attack_sha,sha,1,54.768,1.1063,260342,26302727,1933,499921,38630
1771662665271715409,4579.467632,3565.323966,Attack_sha,sha,1,54.768,1.1063,286103,36311606,2298,538142,38630
1771662665368050985,4675.803208,3661.659542,Attack_sha,sha,1,54.768,1.1063,255355,18697590,1838,468072,38630
1771662665469892993,4777.645216,3763.50155,Attack_sha,sha,1,54.768,1.1063,272009,22857249,1749,494180,38630
1771662665574072132,4881.824355,3867.680689,Attack_sha,sha,1,54.768,1.1063,235798,19751295,1603,460574,38630
1771662665678024038,4985.776261,3971.632595,Attack_sha,sha,1,54.768,1.1063,249296,19922039,1778,459077,38630
1771662665781638295,5089.390518,4075.246852,Attack_sha,sha,1,54.768,1.1063,240210,19869428,1694,465912,38630
1771662665885341560,5193.093783,4178.950117,Attack_sha,sha,1,54.768,1.1063,274215,28790291,2105,518643,38630
1771662665993922418,5301.674641,4287.530975,Attack_sha,sha,1,54.768,1.1063,246350,18511265,1722,455915,38630
1771662666096535911,5404.288134,4390.144468,Attack_sha,sha,1,54.768,1.1063,256503,25633000,1987,491031,38630
1771662666207214054,5514.966277,4500.822611,Attack_sha,sha,1,55.306,1.1063,262719,24840466,1905,494022,38630
1771662666310057748,5617.809971,4603.666305,Attack_sha,sha,1,54.768,1.1063,256204,23282337,1830,484116,38630
1771662666419602793,5727.355016,4713.21135,Attack_sha,sha,1,54.768,1.1063,269304,19495135,1788,493830,38630
1771662666516774748,5824.526971,4810.383305,Attack_sha,sha,1,55.306,1.1063,286416,20157567,1777,556450,38630
1771662666621938491,5929.690714,4915.547048,Attack_sha,sha,1,55.306,1.1063,307619,27305655,2174,597118,38630
1771662666726360793,6034.113016,5019.96935,Attack_sha,sha,1,54.768,1.1063,283316,22951980,1831,534022,38630
1771662666827629317,6135.38154,5121.237874,Attack_sha,sha,1,55.306,1.1063,252327,19656722,1777,478569,38630
1771662666932185262,6239.937485,5225.793819,Attack_sha,sha,1,54.768,1.1063,256186,20915344,1840,477923,38630
1771662667041532288,6349.284511,5335.140845,Attack_sha,sha,1,54.768,1.1063,268042,25983423,2014,510187,38630
1771662667142028322,6449.780545,5435.636879,Attack_sha,sha,1,54.768,1.1063,230543,19423305,1658,454007,38630
1771662667246060990,6553.813213,5539.669547,Attack_sha,sha,1,54.768,1.1063,254321,19061439,1839,473508,38630
1771662667350063346,6657.815569,5643.671903,Attack_sha,sha,1,55.306,1.1063,272475,27761457,2093,518706,38630
1771662667455666393,6763.418616,5749.27495,Attack_sha,sha,1,54.768,1.1063,254529,23387672,1766,484568,38630
1771662667558266960,6866.019183,5851.875517,Attack_sha,sha,1,54.768,1.1063,271322,27675673,2082,501662,38630
1771662667660282280,6968.034503,5953.890837,Attack_sha,sha,1,54.768,1.1063,250041,19889642,1753,472424,38630
1771662667769915127,7077.66735,6063.523684,Attack_sha,sha,1,54.768,1.1063,248528,21624322,1757,477811,38630
1771662667867795077,7175.5473,6161.403634,Attack_sha,sha,1,54.768,1.1063,248218,18842515,1823,458086,38630
1771662667977114546,7284.866769,6270.723103,Attack_sha,sha,1,54.768,1.1063,240426,20912981,1652,465406,38630
1771662668079319127,7387.07135,6372.927684,Attack_sha,sha,1,54.768,1.1063,253814,18849801,1855,465500,38630
1771662668185658711,7493.410934,6479.267268,Attack_sha,sha,1,54.768,1.1063,246744,20140993,1747,478148,38630
1771662668289661683,7597.413906,6583.27024,Attack_sha,sha,1,54.768,1.1063,242412,20453095,1733,462704,38630
1771662668394177665,7701.929888,6687.786222,Attack_sha,sha,1,54.768,1.1063,267528,19814200,1769,487702,38630
1771662668495836736,7803.588959,6789.445293,Attack_sha,sha,1,55.306,1.1063,268615,27068956,2069,509932,38630
1771662668602439282,7910.191505,6896.047839,Attack_sha,sha,1,54.768,1.1063,247359,20795089,1788,472065,38630
1771662668706500899,8014.253122,7000.109456,Attack_sha,sha,1,55.844,1.1063,278717,29382833,2149,522515,38630
1771662668810005082,8117.757305,7103.613639,Attack_sha,sha,1,54.768,1.1063,247167,19118595,1720,462888,38630
1771662668914010242,8221.762465,7207.618799,Attack_sha,sha,1,54.768,1.1063,240602,19534559,1714,462802,38630
1771662669023588965,8331.341188,7317.197522,Attack_sha,sha,1,54.768,1.1063,250708,19044222,1768,467738,38630
1771662669120535850,8428.288073,7414.144407,Attack_sha,sha,1,55.844,1.1063,243723,19991170,1771,472929,38630
1771662669224721935,8532.474158,7518.330492,Attack_sha,sha,1,54.23,1.1063,246099,18346005,1722,453415,38630
1771662669328433553,8636.185776,7622.04211,Attack_sha,sha,1,54.768,1.1063,248128,20020304,1720,474226,38630
1771662669432447298,8740.199521,7726.055855,Attack_sha,sha,1,55.306,1.1063,276043,21122625,1877,504934,38630
1771662669535798508,8843.550731,7829.407065,Attack_sha,sha,1,54.768,1.1063,247216,19321720,1723,469472,38630
1771662669640908685,8948.660908,7934.517242,Attack_sha,sha,1,54.768,1.1063,246942,19910926,1712,475296,38630
1771662669746971340,9054.723563,8040.579897,Attack_sha,sha,1,55.306,1.1063,250641,18659376,1829,460728,38630
1771662669854881294,9162.633517,8148.489851,Attack_sha,sha,1,55.306,1.1063,242673,19854642,1698,471092,38630
1771662669955794333,9263.546556,8249.40289,Attack_sha,sha,1,54.768,1.1063,255364,18735983,1750,468172,38630
1771662670060596441,9368.348664,8354.204998,Attack_sha,sha,1,54.768,1.1063,233788,19488480,1577,449794,38630
1771662670162952979,9470.705202,8456.561536,Attack_sha,sha,1,54.768,1.1063,255128,18740650,1835,467220,38630
1771662670271797068,9579.549291,8565.405625,Attack_sha,sha,1,54.768,1.1063,240400,19755176,1679,462413,38630
1771662670373569349,9681.321572,8667.177906,Attack_sha,sha,1,54.768,1.1063,257118,21169123,1794,479600,38630
1771662670478140834,9785.893057,8771.749391,Attack_sha,sha,1,54.768,1.1063,285025,20292658,1794,514775,38630
1771662670582282120,9890.034343,8875.890677,Attack_sha,sha,1,54.768,1.1063,231357,19448354,1554,452455,38630
1771662670685370516,9993.122739,8978.979073,Attack_sha,sha,1,54.768,1.1063,258254,19071495,1725,476748,38630
1771662670786201830,10093.954053,9079.810387,Attack_sha,sha,1,55.306,1.1063,240244,19871931,1599,469124,38630
1771662670889591989,10197.344212,9183.200546,Attack_sha,sha,1,55.306,1.1063,243054,18297472,1607,451295,38630
1771662670998954087,10306.70631,9292.562644,Attack_sha,sha,1,55.306,1.1063,234054,19668809,1504,460939,38630
1771662671102485641,10410.237864,9396.094198,Attack_sha,sha,1,54.768,1.1063,247363,18564407,1706,457358,38630
1771662671199427094,10507.179317,9493.035651,Attack_sha,sha,1,54.768,1.1063,231492,19537435,1476,454452,38630
1771662671306200183,10613.952406,9599.80874,Attack_sha,sha,1,55.306,1.1063,249684,18551798,1656,464317,38630
1771662671412580209,10720.332432,9706.188766,Attack_sha,sha,1,55.306,1.1063,254124,20297337,1700,481624,38630
1771662671515971193,10823.723416,9809.57975,Attack_sha,sha,1,54.768,1.1063,268302,20434707,1903,494940,38630
1771662671620845110,10928.597333,9914.453667,Attack_sha,sha,1,54.768,1.1063,240203,19546791,1700,461958,38630
1771662671723392313,11031.144536,10017.00087,Attack_sha,sha,1,54.768,1.1063,248702,19182462,1746,467946,38630
1771662671830743253,11138.495476,10124.35181,Attack_sha,sha,1,55.306,1.1063,242829,19305097,1693,461224,38630
1771662671933129782,11240.882005,10226.738339,Attack_sha,sha,1,55.306,1.1063,247428,20293747,1731,477654,38630
1771662672035121631,11342.873854,10328.730188,Attack_sha,sha,1,54.768,1.1063,251526,18617204,1841,462784,38630
1771662672139778774,11447.530997,10433.387331,Attack_sha,sha,1,54.768,1.1063,232314,19290802,1594,451370,38630
1771662672243426098,11551.178321,10537.034655,Attack_sha,sha,1,55.306,1.1063,254252,18963636,1738,466082,38630
1771662672348095377,11655.8476,10641.703934,Attack_sha,sha,1,54.768,1.1063,234873,18985766,1554,450726,38630
1771662672445930029,11753.682252,10739.538586,Attack_sha,sha,1,55.306,1.1063,256374,19055784,1518,487848,38630
1771662672550287336,11858.039559,10843.895893,Attack_sha,sha,1,55.844,1.1063,258979,18716438,1620,478214,38630
1771662672650975305,11958.727528,10944.583862,Attack_sha,sha,1,55.844,1.1063,244025,19978143,1597,473771,38630
1771662672760755396,12068.507619,11054.363953,Attack_sha,sha,1,55.306,1.1063,248014,18435217,1652,460734,38630
1771662672865770864,12173.523087,11159.379421,Attack_sha,sha,1,55.306,1.1063,237647,19847328,1554,459246,38630
1771662672964314562,12272.066785,11257.923119,Attack_sha,sha,1,55.844,1.1063,263800,19279828,1769,482742,38630
1771662673073464768,12381.216991,11367.073325,Attack_sha,sha,1,54.768,1.1063,228600,19089879,1452,442506,38630
1771662673175525717,12483.27794,11469.134274,Attack_sha,sha,1,55.306,1.1063,245256,18640387,1707,453939,38630
1771662673283558759,12591.310982,11577.167316,Attack_sha,sha,1,55.306,1.1063,249946,20192017,1660,485669,38630
1771662673385931679,12693.683902,11679.540236,Attack_sha,sha,1,54.768,1.1063,255565,19181835,1665,468938,38630
1771662673490423766,12798.175989,11784.032323,Attack_sha,sha,1,55.844,1.1063,253402,19852423,1613,479700,38630
1771662673593613541,12901.365764,11887.222098,Attack_sha,sha,1,55.306,1.1063,233110,19091687,1598,451656,38630
1771662673704563492,13012.315715,11998.172049,Attack_sha,sha,1,55.306,1.1063,240877,18921776,1587,454662,38630
1771662673810334297,13118.08652,12103.942854,Attack_sha,sha,1,55.844,1.1063,246992,20345020,1634,479334,38630
