Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771648559859422222,245138.095505,482.33221,Attack_susan,susan,1,80.592,1.2563,414198,57233294,12062,749916,38706
1771648559913343984,245192.017267,536.253972,Attack_susan,susan,1,80.592,1.2563,434025,57715730,13144,887638,38706
1771648560069239885,245347.913168,692.149873,Attack_susan,susan,1,80.592,1.2563,670611,36230514,11765,753401,38706
1771648560335177927,245613.85121,958.087915,Attack_susan,susan,1,80.054,1.2563,1651509,79462052,5337,1849894,38706
1771648560375368134,245654.041417,998.278122,Attack_susan,susan,1,80.592,1.2563,2124145,82700138,2199,1801093,38706
1771648560463286608,245741.959891,1086.196596,Attack_susan,susan,1,80.592,1.2563,3083871,108292174,128,2738569,38706
1771648560480248999,245758.922282,1103.158987,Attack_susan,susan,1,80.592,1.2563,1621758,76067503,3039,1233633,38706
1771648560559002459,245837.675742,1181.912447,Attack_susan,susan,1,80.592,1.2563,1227684,62688200,3461,1068905,38706
1771648560657580037,245936.25332,1280.490025,Attack_susan,susan,1,80.054,1.2563,899173,68658454,4672,1209535,38706
1771648560812297730,246090.971013,1435.207718,Attack_susan,susan,1,80.592,1.2563,751642,81240368,1586,1530645,38706
1771648560876249442,246154.922725,1499.15943,Attack_susan,susan,1,81.13,1.2563,491833,69804246,13643,1275135,38706
1771648560983298085,246261.971368,1606.208073,Attack_susan,susan,1,81.13,1.2563,293274,54148160,20928,772255,38706
1771648561084010111,246362.683394,1706.920099,Attack_susan,susan,1,81.668,1.2563,172143,35954675,708,679329,38706
1771648561184865365,246463.538648,1807.775353,Attack_susan,susan,1,80.592,1.2563,206602,30070489,1206,573670,38706
1771648561287205126,246565.878409,1910.115114,Attack_susan,susan,1,81.13,1.2563,168146,35157835,674,533840,38706
1771648561413022283,246691.695566,2035.932271,Attack_susan,susan,1,80.592,1.2563,168784,29281618,717,641008,38706
1771648561509315003,246787.988286,2132.224991,Attack_susan,susan,1,80.592,1.2563,314614,34091258,934,579447,38706
1771648561608891682,246887.564965,2231.80167,Attack_susan,susan,1,80.592,1.2563,371029,38143673,895,580776,38706
