Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771655889633469407,239193.76431,367.019208,Benign_qsort_large,qsort_large,1,78.978,1.2563,84652,35421307,496,364192,0
1771655889736565267,239296.86017,470.115068,Benign_qsort_large,qsort_large,1,79.516,1.2563,84668,36419907,290,744460,0
1771655889840623963,239400.918866,574.173764,Benign_qsort_large,qsort_large,1,79.516,1.2563,129463,30655766,612,651588,0
1771655889944239993,239504.534896,677.789794,Benign_qsort_large,qsort_large,1,78.978,1.2563,67900,38578960,250,310686,0
1771655890048260095,239608.554998,781.809896,Benign_qsort_large,qsort_large,1,78.978,1.2563,115918,34126643,425,911594,0
1771655890152285509,239712.580412,885.83531,Benign_qsort_large,qsort_large,1,78.978,1.2563,97871,33047382,455,491655,0
1771655890256245505,239816.540408,989.795306,Benign_qsort_large,qsort_large,1,79.516,1.2563,64730,38891561,252,306070,0
1771655890360278681,239920.573584,1093.828482,Benign_qsort_large,qsort_large,1,78.44,1.2563,107956,32196557,366,984024,0
1771655890465296152,240025.591055,1198.845953,Benign_qsort_large,qsort_large,1,78.978,1.2563,104439,34890806,517,423488,0
1771655890568839940,240129.134843,1302.389741,Benign_qsort_large,qsort_large,1,78.978,1.2563,89799,37392849,322,571131,0
1771655890672690402,240232.985305,1406.240203,Benign_qsort_large,qsort_large,1,78.44,1.2563,77069,31429903,235,777121,0
1771655890776593522,240336.888425,1510.143323,Benign_qsort_large,qsort_large,1,78.978,1.2563,105876,37082246,575,357123,0
1771655890880631280,240440.926183,1614.181081,Benign_qsort_large,qsort_large,1,78.44,1.2563,133442,35590023,517,901316,0
1771655890984688883,240544.983786,1718.238684,Benign_qsort_large,qsort_large,1,78.978,1.2563,97373,32271938,435,505964,0
1771655891088574971,240648.869874,1822.124772,Benign_qsort_large,qsort_large,1,79.516,1.2563,63762,38423037,249,307853,0
1771655891196206832,240756.501735,1929.756633,Benign_qsort_large,qsort_large,1,78.44,1.2563,107934,33046006,390,938012,0
1771655891300890389,240861.185292,2034.44019,Benign_qsort_large,qsort_large,1,78.978,1.2563,101001,35909454,499,439054,0
1771655891404521627,240964.81653,2138.071428,Benign_qsort_large,qsort_large,1,79.516,1.2563,81552,38216783,304,476954,0
1771655891512216822,241072.511725,2245.766623,Benign_qsort_large,qsort_large,1,78.44,1.2563,94348,31438311,267,863091,0
1771655891616201923,241176.496826,2349.751724,Benign_qsort_large,qsort_large,1,78.978,1.2563,104826,38217127,573,374870,0
1771655891720627140,241280.922043,2454.176941,Benign_qsort_large,qsort_large,1,78.44,1.2563,115145,35096932,453,879575,0
1771655891824712816,241385.007719,2558.262617,Benign_qsort_large,qsort_large,1,78.44,1.2563,94524,32296559,426,469453,0
1771655891928605311,241488.900214,2662.155112,Benign_qsort_large,qsort_large,1,78.44,1.2563,88442,39539479,321,336414,0
1771655892032627288,241592.922191,2766.177089,Benign_qsort_large,qsort_large,1,78.44,1.2563,111443,33145708,391,961362,0
1771655892137342564,241697.637467,2870.892365,Benign_qsort_large,qsort_large,1,78.978,1.2563,98803,34313154,491,428551,0
1771655892240595042,241800.889945,2974.144843,Benign_qsort_large,qsort_large,1,78.44,1.2563,74226,38510854,276,414306,0
1771655892344711865,241905.006768,3078.261666,Benign_qsort_large,qsort_large,1,78.44,1.2563,94565,31217204,303,942191,0
1771655892450003927,242010.29883,3183.553728,Benign_qsort_large,qsort_large,1,78.44,1.2563,106654,35933085,550,372138,0
1771655892552558106,242112.853009,3286.107907,Benign_qsort_large,qsort_large,1,78.44,1.2563,111673,36373479,328,826072,0
1771655892656560239,242216.855142,3390.11004,Benign_qsort_large,qsort_large,1,78.44,1.2563,100492,30561787,553,561265,0
1771655892760532944,242320.827847,3494.082745,Benign_qsort_large,qsort_large,1,78.44,1.2563,64078,38566547,251,308650,0
1771655892864560077,242424.85498,3598.109878,Benign_qsort_large,qsort_large,1,78.44,1.2563,135091,34320635,483,944043,0
1771655892968543303,242528.838206,3702.093104,Benign_qsort_large,qsort_large,1,77.902,1.2563,99903,33376075,464,483960,0
1771655893072473299,242632.768202,3806.0231,Benign_qsort_large,qsort_large,1,78.44,1.2563,68539,39068673,254,307398,0
1771655893176536943,242736.831846,3910.086744,Benign_qsort_large,qsort_large,1,78.44,1.2563,112933,31923087,354,987612,0
1771655893281127164,242841.422067,4014.676965,Benign_qsort_large,qsort_large,1,77.902,1.2563,102365,35419082,529,395561,0
1771655893384765798,242945.060701,4118.315599,Benign_qsort_large,qsort_large,1,77.902,1.2563,97266,37194820,351,657014,0
1771655893492130777,243052.42568,4225.680578,Benign_qsort_large,qsort_large,1,77.902,1.2563,103722,30572201,380,741061,0
1771655893596211193,243156.506096,4329.760994,Benign_qsort_large,qsort_large,1,78.44,1.2563,85606,39597163,406,342836,0
1771655893700559480,243260.854383,4434.109281,Benign_qsort_large,qsort_large,1,78.44,1.2563,118715,34233549,431,904994,0
1771655893804530571,243364.825474,4538.080372,Benign_qsort_large,qsort_large,1,77.902,1.2563,96284,32937537,450,474889,0
1771655893908489681,243468.784584,4642.039482,Benign_qsort_large,qsort_large,1,77.902,1.2563,85346,39343779,321,340695,0
1771655894012643224,243572.938127,4746.193025,Benign_qsort_large,qsort_large,1,78.44,1.2563,107497,32461985,368,955330,0
1771655894117806168,243678.101071,4851.355969,Benign_qsort_large,qsort_large,1,77.902,1.2563,99205,34678007,514,408506,0
1771655894220606707,243780.90161,4954.156508,Benign_qsort_large,qsort_large,1,77.902,1.2563,84675,37604391,293,541285,0
1771655894324657956,243884.952859,5058.207757,Benign_qsort_large,qsort_large,1,78.44,1.2563,84394,31226817,267,823803,0
1771655894428639151,243988.934054,5162.188952,Benign_qsort_large,qsort_large,1,78.44,1.2563,105942,36804355,570,354056,0
1771655894532677691,244092.972594,5266.227492,Benign_qsort_large,qsort_large,1,77.902,1.2563,120490,35148924,454,871497,0
1771655894636650396,244196.945299,5370.200197,Benign_qsort_large,qsort_large,1,77.902,1.2563,92485,32113223,420,496902,0
1771655894740656122,244300.951025,5474.205923,Benign_qsort_large,qsort_large,1,77.902,1.2563,63327,38799820,251,308805,0
1771655894848233919,244408.528822,5581.78372,Benign_qsort_large,qsort_large,1,78.44,1.2563,133109,33632247,460,983605,0
1771655894952824400,244513.119303,5686.374201,Benign_qsort_large,qsort_large,1,78.44,1.2563,156190,36821784,566,541669,0
1771655895056160266,244616.455169,5789.710067,Benign_qsort_large,qsort_large,1,78.44,1.2563,77488,38419087,287,441328,0
1771655895160225942,244720.520845,5893.775743,Benign_qsort_large,qsort_large,1,78.44,1.2563,94766,31303258,291,901229,0
1771655895265513628,244825.808531,5999.063429,Benign_qsort_large,qsort_large,1,78.978,1.2563,102643,36365369,556,374961,0
1771655895368216770,244928.511673,6101.766571,Benign_qsort_large,qsort_large,1,78.44,1.2563,108817,36113819,324,858564,0
1771655895472224788,245032.519691,6205.774589,Benign_qsort_large,qsort_large,1,78.44,1.2563,99114,30937979,559,512640,0
1771655895576192909,245136.487812,6309.74271,Benign_qsort_large,qsort_large,1,77.902,1.2563,67643,38433198,250,307220,0
1771655895680216657,245240.51156,6413.766458,Benign_qsort_large,qsort_large,1,78.44,1.2563,115745,33606309,410,925249,0
1771655895784226030,245344.520933,6517.775831,Benign_qsort_large,qsort_large,1,78.44,1.2563,99681,33392733,469,466438,0
1771655895888168630,245448.463533,6621.718431,Benign_qsort_large,qsort_large,1,77.902,1.2563,90857,39408772,319,343533,0
1771655895992235868,245552.530771,6725.785669,Benign_qsort_large,qsort_large,1,77.902,1.2563,105398,31810495,353,983011,0
1771655896097021875,245657.316778,6830.571676,Benign_qsort_large,qsort_large,1,78.44,1.2563,104551,35597433,530,379691,0
1771655896199204847,245759.49975,6932.754648,Benign_qsort_large,qsort_large,1,77.902,1.2563,98877,37182081,351,678625,0
1771655896299693348,245859.988251,7033.243149,Benign_qsort_large,qsort_large,1,77.364,1.2563,96004,30128203,380,702495,0
1771655896400476805,245960.771708,7134.026606,Benign_qsort_large,qsort_large,1,77.902,1.2563,79146,37113750,404,318417,0
1771655896504453885,246064.748788,7238.003686,Benign_qsort_large,qsort_large,1,77.902,1.2563,120048,33835708,442,867977,0
1771655896608594042,246168.888945,7342.143843,Benign_qsort_large,qsort_large,1,77.902,1.2563,94727,32370865,431,512968,0
1771655896712499558,246272.794461,7446.049359,Benign_qsort_large,qsort_large,1,77.902,1.2563,64596,38935071,253,309446,0
1771655896816461325,246376.756228,7550.011126,Benign_qsort_large,qsort_large,1,77.364,1.2563,111191,33039517,387,951611,0
1771655896921100297,246481.3952,7654.650098,Benign_qsort_large,qsort_large,1,77.902,1.2563,123896,34867494,566,482465,0
1771655897024409027,246584.70393,7757.958828,Benign_qsort_large,qsort_large,1,77.902,1.2563,79613,38514100,310,442290,0
1771655897128661009,246688.955912,7862.21081,Benign_qsort_large,qsort_large,1,77.364,1.2563,92143,31479829,266,859860,0
1771655897233778535,246794.073438,7967.328336,Benign_qsort_large,qsort_large,1,77.902,1.2563,104285,36312281,556,366105,0
1771655897336519959,246896.814862,8070.06976,Benign_qsort_large,qsort_large,1,77.364,1.2563,112328,35938517,371,863689,0
1771655897440563655,247000.858558,8174.113456,Benign_qsort_large,qsort_large,1,77.902,1.2563,97795,31268670,510,497614,0
1771655897544531203,247104.826106,8278.081004,Benign_qsort_large,qsort_large,1,77.902,1.2563,63849,39218872,255,312269,0
1771655897648675840,247208.970743,8382.225641,Benign_qsort_large,qsort_large,1,77.364,1.2563,110593,33692422,403,915087,0
1771655897752675004,247312.969907,8486.224805,Benign_qsort_large,qsort_large,1,77.364,1.2563,100366,33809560,473,460486,0
1771655897856581509,247416.876412,8590.13131,Benign_qsort_large,qsort_large,1,77.364,1.2563,87100,38250410,314,328302,0
1771655897960532130,247520.827033,8694.081931,Benign_qsort_large,qsort_large,1,77.364,1.2563,109971,31644507,348,1015709,0
1771655898065066828,247625.361731,8798.616629,Benign_qsort_large,qsort_large,1,77.364,1.2563,101176,35523950,531,387307,0
1771655898165590331,247725.885234,8899.140132,Benign_qsort_large,qsort_large,1,77.364,1.2563,99106,37000902,347,693401,0
1771655898268469049,247828.763952,9002.01885,Benign_qsort_large,qsort_large,1,77.902,1.2563,91401,29720832,376,685392,0
1771655898372443525,247932.738428,9105.993326,Benign_qsort_large,qsort_large,1,77.902,1.2563,82876,37862653,400,327270,0
1771655898476549671,248036.844574,9210.099472,Benign_qsort_large,qsort_large,1,77.364,1.2563,115483,34620122,439,886571,0
1771655898580531386,248140.826289,9314.081187,Benign_qsort_large,qsort_large,1,77.364,1.2563,95395,32628161,439,449946,0
1771655898688162778,248248.457681,9421.712579,Benign_qsort_large,qsort_large,1,77.364,1.2563,61866,38933368,252,309085,0
1771655898792806802,248353.101705,9526.356603,Benign_qsort_large,qsort_large,1,77.364,1.2563,112202,33823797,377,985486,0
1771655898897937453,248458.232356,9631.487254,Benign_qsort_large,qsort_large,1,77.364,1.2563,125943,34991855,576,454965,0
1771655899000708096,248561.002999,9734.257897,Benign_qsort_large,qsort_large,1,77.364,1.2563,87560,37913443,297,535121,0
1771655899108214433,248668.509336,9841.764234,Benign_qsort_large,qsort_large,1,77.364,1.2563,86678,31315928,267,794785,0
1771655899212161669,248772.456572,9945.71147,Benign_qsort_large,qsort_large,1,77.364,1.2563,103375,38398747,577,367738,0
1771655899316232188,248876.527091,10049.781989,Benign_qsort_large,qsort_large,1,77.902,1.2563,116196,34896216,446,878954,0
1771655899420191195,248980.486098,10153.740996,Benign_qsort_large,qsort_large,1,77.364,1.2563,94709,32320849,436,486671,0
1771655899524136347,249084.43125,10257.686148,Benign_qsort_large,qsort_large,1,77.364,1.2563,69376,38781539,251,309960,0
1771655899628257025,249188.551928,10361.806826,Benign_qsort_large,qsort_large,1,77.364,1.2563,111621,32901769,385,960971,0
1771655899732875475,249293.170378,10466.425276,Benign_qsort_large,qsort_large,1,77.364,1.2563,100291,34338063,491,463063,0
1771655899836154985,249396.449888,10569.704786,Benign_qsort_large,qsort_large,1,77.364,1.2563,93905,38716991,364,455146,0
1771655899940560045,249500.854948,10674.109846,Benign_qsort_large,qsort_large,1,77.364,1.2563,97607,31328834,282,915730,0
1771655900045769917,249606.06482,10779.319718,Benign_qsort_large,qsort_large,1,77.364,1.2563,104617,36416897,554,375001,0
1771655900145510691,249705.805594,10879.060492,Benign_qsort_large,qsort_large,1,77.364,1.2563,113431,36132278,339,864847,0
1771655900248660458,249808.955361,10982.210259,Benign_qsort_large,qsort_large,1,76.826,1.2563,94600,30115582,537,477500,0
1771655900352631496,249912.926399,11086.181297,Benign_qsort_large,qsort_large,1,77.364,1.2563,63017,38810002,251,312883,0
1771655900456614878,250016.909781,11190.164679,Benign_qsort_large,qsort_large,1,76.826,1.2563,113267,33962480,412,921123,0
1771655900561775738,250122.070641,11295.325539,Benign_qsort_large,qsort_large,1,77.364,1.2563,98846,33635983,467,438284,0
1771655900664642842,250224.937745,11398.192643,Benign_qsort_large,qsort_large,1,77.364,1.2563,63741,34494384,228,282004,0
1771655900768630339,250328.925242,11502.18014,Benign_qsort_large,qsort_large,1,77.364,1.2563,105936,27067435,374,882272,0
1771655900872681119,250432.976022,11606.23092,Benign_qsort_large,qsort_large,1,77.364,1.2563,117030,33774627,538,479782,0
1771655900976603875,250536.898778,11710.153676,Benign_qsort_large,qsort_large,1,77.364,1.2563,111572,39152921,314,389846,0
1771655901080692103,250640.987006,11814.241904,Benign_qsort_large,qsort_large,1,77.364,1.2563,113260,31914242,355,1001890,0
1771655901185233208,250745.528111,11918.783009,Benign_qsort_large,qsort_large,1,76.826,1.2563,102506,35087626,527,391784,0
1771655901286184950,250846.479853,12019.734751,Benign_qsort_large,qsort_large,1,76.288,1.2563,93352,36976895,354,626436,0
1771655901392241667,250952.53657,12125.791468,Benign_qsort_large,qsort_large,1,77.364,1.2563,83594,30497557,213,742610,0
1771655901496175725,251056.470628,12229.725526,Benign_qsort_large,qsort_large,1,77.364,1.2563,101527,37859791,563,349994,0
1771655901600252547,251160.54745,12333.802348,Benign_qsort_large,qsort_large,1,76.288,1.2563,118078,34595972,444,880919,0
1771655901704186397,251264.4813,12437.736198,Benign_qsort_large,qsort_large,1,77.364,1.2563,94133,32398680,439,462492,0
1771655901808163372,251368.458275,12541.713173,Benign_qsort_large,qsort_large,1,76.826,1.2563,65029,38437889,252,306899,0
1771655901912192277,251472.48718,12645.742078,Benign_qsort_large,qsort_large,1,77.364,1.2563,133208,33208844,453,979262,0
1771655902016835676,251577.130579,12750.385477,Benign_qsort_large,qsort_large,1,77.364,1.2563,100173,34261927,492,449069,0
1771655902120157635,251680.452538,12853.707436,Benign_qsort_large,qsort_large,1,77.364,1.2563,75502,38294047,274,435181,0
1771655902224209456,251784.504359,12957.759257,Benign_qsort_large,qsort_large,1,76.288,1.2563,94754,31270541,303,904815,0
1771655902329650844,251889.945747,13063.200645,Benign_qsort_large,qsort_large,1,77.364,1.2563,103129,35912165,552,368762,0
1771655902432212680,251992.507583,13165.762481,Benign_qsort_large,qsort_large,1,77.364,1.2563,113547,36081975,326,828039,0
1771655902536202833,252096.497736,13269.752634,Benign_qsort_large,qsort_large,1,77.364,1.2563,102414,30631863,552,575230,0
1771655902640187205,252200.482108,13373.737006,Benign_qsort_large,qsort_large,1,77.364,1.2563,69429,38838113,251,312252,0
1771655902744236422,252304.531325,13477.786223,Benign_qsort_large,qsort_large,1,77.364,1.2563,120932,33732066,414,928626,0
1771655902848212981,252408.507884,13581.762782,Benign_qsort_large,qsort_large,1,76.288,1.2563,120932,33771881,535,502080,0
1771655902952287355,252512.582258,13685.837156,Benign_qsort_large,qsort_large,1,77.364,1.2563,67300,39069219,253,313505,0
1771655903060240214,252620.535117,13793.790015,Benign_qsort_large,qsort_large,1,77.364,1.2563,117603,31732361,353,1012661,0
1771655903164840539,252725.135442,13898.39034,Benign_qsort_large,qsort_large,1,76.826,1.2563,103730,36646868,533,405527,0
1771655903266734336,252827.029239,14000.284137,Benign_qsort_large,qsort_large,1,77.364,1.2563,97885,36740212,345,689554,0
1771655903367260755,252927.555658,14100.810556,Benign_qsort_large,qsort_large,1,77.364,1.2563,94904,29905575,384,700860,0
1771655903467959575,253028.254478,14201.509376,Benign_qsort_large,qsort_large,1,76.826,1.2563,80587,36828507,403,318033,0
1771655903568790897,253129.0858,14302.340698,Benign_qsort_large,qsort_large,1,77.364,1.2563,114175,33814263,445,875908,0
1771655903672695319,253232.990222,14406.24512,Benign_qsort_large,qsort_large,1,76.288,1.2563,91277,31073998,424,488382,0
1771655903776596199,253336.891102,14510.146,Benign_qsort_large,qsort_large,1,76.288,1.2563,64687,38843932,253,317734,0
1771655903880642187,253440.93709,14614.191988,Benign_qsort_large,qsort_large,1,76.826,1.2563,131686,33738618,464,953269,0
1771655903985058862,253545.353765,14718.608663,Benign_qsort_large,qsort_large,1,76.288,1.2563,99906,33942359,483,456195,0
1771655904088621764,253648.916667,14822.171565,Benign_qsort_large,qsort_large,1,76.288,1.2563,68467,38352653,265,351453,0
1771655904192668950,253752.963853,14926.218751,Benign_qsort_large,qsort_large,1,76.288,1.2563,106929,31459873,321,943727,0
1771655904297749548,253858.044451,15031.299349,Benign_qsort_large,qsort_large,1,76.288,1.2563,101621,35897345,544,384736,0
1771655904400678007,253960.97291,15134.227808,Benign_qsort_large,qsort_large,1,76.826,1.2563,106906,36696694,335,784281,0
1771655904504668629,254064.963532,15238.21843,Benign_qsort_large,qsort_large,1,76.826,1.2563,104862,30306225,546,635019,0
1771655904608668783,254168.963686,15342.218584,Benign_qsort_large,qsort_large,1,76.288,1.2563,69143,38841847,254,312900,0
1771655904712641956,254272.936859,15446.191757,Benign_qsort_large,qsort_large,1,76.288,1.2563,113912,34139214,421,903811,0
1771655904816686955,254376.981858,15550.236756,Benign_qsort_large,qsort_large,1,76.288,1.2563,96298,33072720,456,525298,0
1771655904920639295,254480.934198,15654.189096,Benign_qsort_large,qsort_large,1,76.288,1.2563,85082,39492677,321,335663,0
1771655905024679709,254584.974612,15758.22951,Benign_qsort_large,qsort_large,1,76.826,1.2563,108928,32147905,360,974028,0
1771655905129238315,254689.533218,15862.788116,Benign_qsort_large,qsort_large,1,76.826,1.2563,101687,34935990,523,421728,0
1771655905231301075,254791.595978,15964.850876,Benign_qsort_large,qsort_large,1,76.288,1.2563,90415,37146362,358,594862,0
1771655905331608999,254891.903902,16065.1588,Benign_qsort_large,qsort_large,1,76.288,1.2563,79552,31039014,194,726552,0
1771655905436215730,254996.510633,16169.765531,Benign_qsort_large,qsort_large,1,76.288,1.2563,100721,35861701,569,340271,0
1771655905540219738,255100.514641,16273.769539,Benign_qsort_large,qsort_large,1,76.826,1.2563,119387,35197513,454,876477,0
1771655905644200464,255204.495367,16377.750265,Benign_qsort_large,qsort_large,1,76.826,1.2563,93927,31975672,426,548511,0
1771655905748206346,255308.501249,16481.756147,Benign_qsort_large,qsort_large,1,76.288,1.2563,66382,38821592,253,310299,0
1771655905852226136,255412.521039,16585.775937,Benign_qsort_large,qsort_large,1,76.826,1.2563,133978,33697611,462,948189,0
1771655905957052300,255517.347203,16690.602101,Benign_qsort_large,qsort_large,1,76.826,1.2563,98086,34038447,488,434976,0
1771655906060198421,255620.493324,16793.748222,Benign_qsort_large,qsort_large,1,76.826,1.2563,71128,38546707,280,380559,0
1771655906164216492,255724.511395,16897.766293,Benign_qsort_large,qsort_large,1,76.288,1.2563,101654,31291118,304,926210,0
1771655906269511105,255829.806008,17003.060906,Benign_qsort_large,qsort_large,1,76.288,1.2563,102187,36048287,549,389895,0
1771655906372212996,255932.507899,17105.762797,Benign_qsort_large,qsort_large,1,77.364,1.2563,104025,36641313,331,810996,0
1771655906476228984,256036.523887,17209.778785,Benign_qsort_large,qsort_large,1,77.364,1.2563,100362,30346910,549,584107,0
