Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771664320581628176,1375.698973,372.193906,Benign_sha,sha,1,53.154,1.1063,323698,20709060,2422,620056,0
1771664320681899728,1475.970525,472.465458,Benign_sha,sha,1,52.616,1.1063,313537,20490791,2260,604120,0
1771664320782647822,1576.718619,573.213552,Benign_sha,sha,1,52.616,1.1063,328478,20957462,2290,632132,0
1771664320885885450,1679.956247,676.45118,Benign_sha,sha,1,52.616,1.1063,336868,20722370,2424,635080,0
1771664320986552194,1780.622991,777.117924,Benign_sha,sha,1,52.616,1.1063,325771,21341750,2213,631960,0
1771664321090436357,1884.507154,881.002087,Benign_sha,sha,1,52.616,1.1063,339414,20460283,2431,636906,0
1771664321193619612,1987.690409,984.185342,Benign_sha,sha,1,53.154,1.1063,331194,21476073,2310,642873,0
1771664321294902893,2088.97369,1085.468623,Benign_sha,sha,1,52.616,1.1063,330654,21493315,2283,641195,0
1771664321397282587,2191.353384,1187.848317,Benign_sha,sha,1,52.616,1.1063,357726,20743712,2482,654084,0
1771664321497964330,2292.035127,1288.53006,Benign_sha,sha,1,52.616,1.1063,314088,21045271,2182,617527,0
1771664321600449593,2394.52039,1391.015323,Benign_sha,sha,1,52.616,1.1063,335112,20276855,2429,628613,0
1771664321702946418,2497.017215,1493.512148,Benign_sha,sha,1,52.616,1.1063,321846,21325117,2274,627431,0
1771664321804218814,2598.289611,1594.784544,Benign_sha,sha,1,52.616,1.1063,334735,21061644,2346,639183,0
1771664321907184213,2701.25501,1697.749943,Benign_sha,sha,1,52.616,1.1063,332821,20784985,2316,632165,0
1771664322015675374,2809.746171,1806.241104,Benign_sha,sha,1,52.616,1.1063,326044,21398827,2288,629462,0
1771664322115818546,2909.889343,1906.384276,Benign_sha,sha,1,52.616,1.1063,353143,22179805,2463,667878,0
1771664322218595724,3012.666521,2009.161454,Benign_sha,sha,1,52.616,1.1063,343743,20358777,2423,636424,0
1771664322322779563,3116.85036,2113.345293,Benign_sha,sha,1,52.616,1.1063,333732,21445532,2292,637117,0
1771664322426933298,3221.004095,2217.499028,Benign_sha,sha,1,52.616,1.1063,360992,21711994,2416,669679,0
1771664322530097179,3324.167976,2320.662909,Benign_sha,sha,1,52.616,1.1063,360578,21310626,2303,691430,0
1771664322630836628,3424.907425,2421.402358,Benign_sha,sha,1,52.616,1.1063,329159,21443311,2286,637325,0
1771664322732298287,3526.369084,2522.864017,Benign_sha,sha,1,52.616,1.1063,342781,20347646,2431,637654,0
1771664322838959784,3633.030581,2629.525514,Benign_sha,sha,1,52.616,1.1063,319405,21127301,2193,622547,0
1771664322939778866,3733.849663,2730.344596,Benign_sha,sha,1,52.616,1.1063,343138,21924593,2415,654945,0
1771664323042374020,3836.444817,2832.93975,Benign_sha,sha,1,53.154,1.1063,339428,20330558,2318,623620,0
1771664323146697280,3940.768077,2937.26301,Benign_sha,sha,1,52.616,1.1063,324357,21387221,2288,630309,0
1771664323249853974,4043.924771,3040.419704,Benign_sha,sha,1,52.616,1.1063,346054,21407399,2465,654493,0
1771664323350908879,4144.979676,3141.474609,Benign_sha,sha,1,52.616,1.1063,332091,20672623,2314,631730,0
1771664323451680931,4245.751728,3242.246661,Benign_sha,sha,1,52.616,1.1063,342931,21456338,2350,652008,0
1771664323553149048,4347.219845,3343.714778,Benign_sha,sha,1,53.154,1.1063,342662,20671456,2422,639962,0
1771664323658973340,4453.044137,3449.53907,Benign_sha,sha,1,53.154,1.1063,318460,21126199,2174,621310,0
1771664323759591544,4553.662341,3550.157274,Benign_sha,sha,1,52.616,1.1063,344544,21579887,2458,658278,0
1771664323862181699,4656.252496,3652.747429,Benign_sha,sha,1,52.616,1.1063,336151,20687842,2395,631916,0
1771664323962857505,4756.928302,3753.423235,Benign_sha,sha,1,53.154,1.1063,322792,21288519,2221,627723,0
1771664324066029875,4860.100672,3856.595605,Benign_sha,sha,1,52.616,1.1063,342871,20637021,2448,638624,0
1771664324167768449,4961.839246,3958.334179,Benign_sha,sha,1,53.154,1.1063,332155,21353280,2311,638981,0
1771664324271658811,5065.729608,4062.224541,Benign_sha,sha,1,52.616,1.1063,274755,16514702,1901,515439,0
1771664324375033777,5169.104574,4165.599507,Benign_sha,sha,1,52.616,1.1063,313798,20942488,2151,619353,0
1771664324478452022,5272.522819,4269.017752,Benign_sha,sha,1,53.692,1.1063,363791,21565848,2541,670820,0
1771664324580151380,5374.222177,4370.71711,Benign_sha,sha,1,52.078,1.1063,336838,21157117,2345,642391,0
1771664324680687452,5474.758249,4471.253182,Benign_sha,sha,1,53.154,1.1063,318827,21216771,2249,621378,0
1771664324785369239,5579.440036,4575.934969,Benign_sha,sha,1,53.692,1.1063,338342,20440520,2465,638231,0
1771664324885898228,5679.969025,4676.463958,Benign_sha,sha,1,52.616,1.1063,337151,21657518,2305,648630,0
1771664324987851534,5781.922331,4778.417264,Benign_sha,sha,1,52.616,1.1063,317667,20629899,2286,616986,0
1771664325089433501,5883.504298,4879.999231,Benign_sha,sha,1,53.154,1.1063,336715,20899375,2423,634248,0
1771664325190035351,5984.106148,4980.601081,Benign_sha,sha,1,52.616,1.1063,315717,21151713,2171,621346,0
1771664325295187432,6089.258229,5085.753162,Benign_sha,sha,1,52.616,1.1063,342825,20501278,2466,638066,0
1771664325399917758,6193.988555,5190.483488,Benign_sha,sha,1,52.616,1.1063,361689,22176861,2381,677891,0
1771664325503038568,6297.109365,5293.604298,Benign_sha,sha,1,52.616,1.1063,332941,21577486,2327,637154,0
1771664325604047538,6398.118335,5394.613268,Benign_sha,sha,1,52.616,1.1063,339206,20997175,2426,641087,0
1771664325707300634,6501.371431,5497.866364,Benign_sha,sha,1,52.616,1.1063,325964,20735435,2302,624242,0
1771664325807709003,6601.7798,5598.274733,Benign_sha,sha,1,52.616,1.1063,327698,21245469,2283,633557,0
1771664325909263158,6703.333955,5699.828888,Benign_sha,sha,1,53.154,1.1063,337012,20470409,2426,630945,0
1771664326009936777,6804.007574,5800.502507,Benign_sha,sha,1,53.154,1.1063,316788,21087277,2170,620930,0
1771664326114886313,6908.95711,5905.452043,Benign_sha,sha,1,53.692,1.1063,338051,20338930,2451,632544,0
1771664326218515800,7012.586597,6009.08153,Benign_sha,sha,1,52.616,1.1063,341326,21751900,2322,652840,0
1771664326318981615,7113.052412,6109.547345,Benign_sha,sha,1,52.616,1.1063,328042,21455012,2287,636790,0
1771664326420745970,7214.816767,6211.3117,Benign_sha,sha,1,52.616,1.1063,359779,20737123,2502,653479,0
1771664326521483388,7315.554185,6312.049118,Benign_sha,sha,1,52.616,1.1063,322146,21149238,2171,627334,0
1771664326622734952,7416.805749,6413.300682,Benign_sha,sha,1,52.616,1.1063,339531,20478016,2439,635133,0
1771664326727122689,7521.193486,6517.688419,Benign_sha,sha,1,53.154,1.1063,321816,21070116,2243,620575,0
1771664326827680948,7621.751745,6618.246678,Benign_sha,sha,1,53.692,1.1063,332781,21691057,2351,647233,0
1771664326929166252,7723.237049,6719.731982,Benign_sha,sha,1,53.154,1.1063,339815,20365238,2423,631379,0
1771664327035193921,7829.264718,6825.759651,Benign_sha,sha,1,53.692,1.1063,322214,21164906,2189,628568,0
1771664327135632341,7929.703138,6926.198071,Benign_sha,sha,1,53.154,1.1063,341123,21809364,2444,649877,0
1771664327237037128,8031.107925,7027.602858,Benign_sha,sha,1,53.692,1.1063,340455,20429118,2418,636922,0
1771664327337346543,8131.41734,7127.912273,Benign_sha,sha,1,53.154,1.1063,316488,21050446,2174,619037,0
1771664327443054226,8237.125023,7233.619956,Benign_sha,sha,1,53.154,1.1063,361909,20799365,2498,658897,0
1771664327546097122,8340.167919,7336.662852,Benign_sha,sha,1,53.692,1.1063,335982,21720187,2346,646296,0
1771664327646452004,8440.522801,7437.017734,Benign_sha,sha,1,53.692,1.1063,328158,21421666,2284,632725,0
1771664327748666653,8542.73745,7539.232383,Benign_sha,sha,1,53.154,1.1063,343991,20432839,2462,639243,0
1771664327854704114,8648.774911,7645.269844,Benign_sha,sha,1,53.154,1.1063,321950,21214021,2243,625932,0
1771664327958953367,8753.024164,7749.519097,Benign_sha,sha,1,53.154,1.1063,339657,21882934,2348,656583,0
1771664328060150401,8854.221198,7850.716131,Benign_sha,sha,1,53.692,1.1063,347107,21342920,2465,654098,0
1771664328163029815,8957.100612,7953.595545,Benign_sha,sha,1,53.692,1.1063,333483,20724616,2310,627944,0
1771664328267511246,9061.582043,8058.076976,Benign_sha,sha,1,53.154,1.1063,326720,21424816,2285,630783,0
1771664328369740790,9163.811587,8160.30652,Benign_sha,sha,1,53.154,1.1063,347452,21275415,2468,655113,0
1771664328470558726,9264.629523,8261.124456,Benign_sha,sha,1,53.692,1.1063,382744,22069252,2378,718061,0
1771664328575029897,9369.100694,8365.595627,Benign_sha,sha,1,53.154,1.1063,326752,20993938,2279,629554,0
1771664328677740880,9471.811677,8468.30661,Benign_sha,sha,1,53.692,1.1063,349998,21269970,2470,656564,0
1771664328778543348,9572.614145,8569.109078,Benign_sha,sha,1,53.154,1.1063,334892,21258716,2309,637617,0
1771664328882833120,9676.903917,8673.39885,Benign_sha,sha,1,52.616,1.1063,321532,21005703,2272,623078,0
1771664328985932785,9780.003582,8776.498515,Benign_sha,sha,1,53.692,1.1063,350265,21246281,2468,654318,0
1771664329086930088,9881.000885,8877.495818,Benign_sha,sha,1,53.154,1.1063,333775,21226189,2305,641027,0
1771664329189613260,9983.684057,8980.17899,Benign_sha,sha,1,53.154,1.1063,321976,20949237,2281,624096,0
1771664329290462861,10084.533658,9081.028591,Benign_sha,sha,1,53.154,1.1063,338272,20534437,2348,637405,0
1771664329395875764,10189.946561,9186.441494,Benign_sha,sha,1,53.154,1.1063,274604,16208377,1764,505594,0
1771664329499194743,10293.26554,9289.760473,Benign_sha,sha,1,53.154,1.1063,292271,18722121,1999,565886,0
1771664329600330635,10394.401432,9390.896365,Benign_sha,sha,1,53.692,1.1063,343539,21117810,2449,650788,0
1771664329703887937,10497.958734,9494.453667,Benign_sha,sha,1,53.692,1.1063,331596,20893446,2311,632227,0
1771664329807012080,10601.082877,9597.57781,Benign_sha,sha,1,52.616,1.1063,327655,21487186,2296,635793,0
1771664329909485052,10703.555849,9700.050782,Benign_sha,sha,1,53.154,1.1063,345285,21146733,2445,648425,0
1771664330010444857,10804.515654,9801.010587,Benign_sha,sha,1,53.154,1.1063,337408,21044772,2348,641162,0
1771664330111045823,10905.11662,9901.611553,Benign_sha,sha,1,53.154,1.1063,316185,21074217,2243,620541,0
1771664330213002514,11007.073311,10003.568244,Benign_sha,sha,1,53.692,1.1063,338160,20414430,2435,635228,0
1771664330313644155,11107.714952,10104.209885,Benign_sha,sha,1,53.154,1.1063,322172,21302335,2269,627110,0
1771664330414864575,11208.935372,10205.430305,Benign_sha,sha,1,52.616,1.1063,356354,21018565,2416,659941,0
1771664330519044664,11313.115461,10309.610394,Benign_sha,sha,1,53.154,1.1063,323784,20974854,2265,622989,0
1771664330623185484,11417.256281,10413.751214,Benign_sha,sha,1,52.616,1.1063,333567,21666896,2330,646878,0
1771664330725034627,11519.105424,10515.600357,Benign_sha,sha,1,53.692,1.1063,341163,21181513,2464,649530,0
1771664330825920790,11619.991587,10616.48652,Benign_sha,sha,1,53.692,1.1063,330591,20906161,2313,630006,0
1771664330931010060,11725.080857,10721.57579,Benign_sha,sha,1,53.154,1.1063,323232,20920965,2279,625566,0
1771664331033148827,11827.219624,10823.714557,Benign_sha,sha,1,52.616,1.1063,348970,21579069,2466,659934,0
1771664331133991085,11928.061882,10924.556815,Benign_sha,sha,1,53.692,1.1063,330135,21022802,2304,634771,0
1771664331235130414,12029.201211,11025.696144,Benign_sha,sha,1,53.154,1.1063,322466,20886801,2281,622695,0
1771664331338958331,12133.029128,11129.524061,Benign_sha,sha,1,53.154,1.1063,335983,20442334,2305,628343,0
1771664331443164408,12237.235205,11233.730138,Benign_sha,sha,1,53.692,1.1063,348941,21894965,2365,656006,0
1771664331545290103,12339.3609,11335.855833,Benign_sha,sha,1,53.154,1.1063,346869,21139179,2460,652946,0
1771664331646017366,12440.088163,11436.583096,Benign_sha,sha,1,52.616,1.1063,330558,20958052,2314,629355,0
1771664331746910194,12540.980991,11537.475924,Benign_sha,sha,1,53.692,1.1063,318583,20703515,2278,618749,0
1771664331850196623,12644.26742,11640.762353,Benign_sha,sha,1,53.154,1.1063,331549,20515886,2312,623789,0
1771664331950616606,12744.687403,11741.182336,Benign_sha,sha,1,53.692,1.1063,325226,21417145,2288,632035,0
1771664332055214751,12849.285548,11845.780481,Benign_sha,sha,1,53.154,1.1063,339947,20330983,2445,635031,0
1771664332159690714,12953.761511,11950.256444,Benign_sha,sha,1,53.154,1.1063,331022,21588218,2321,639549,0
1771664332260017108,13054.087905,12050.582838,Benign_sha,sha,1,53.692,1.1063,323248,21401427,2291,628472,0
1771664332362613564,13156.684361,12153.179294,Benign_sha,sha,1,53.692,1.1063,336752,20305320,2417,629559,0
1771664332470101330,13264.172127,12260.66706,Benign_sha,sha,1,53.154,1.1063,342418,21685044,2258,648989,0
1771664332570736149,13364.806946,12361.301879,Benign_sha,sha,1,53.692,1.1063,344633,22067474,2456,659410,0
1771664332672832678,13466.903475,12463.398408,Benign_sha,sha,1,53.692,1.1063,333856,20184664,2419,623336,0
1771664332773318128,13567.388925,12563.883858,Benign_sha,sha,1,53.692,1.1063,316466,21031983,2169,615654,0
1771664332875579285,13669.650082,12666.145015,Benign_sha,sha,1,52.616,1.1063,336089,20281670,2441,629815,0
1771664332979118360,13773.189157,12769.68409,Benign_sha,sha,1,53.154,1.1063,318143,21201712,2265,619107,0
1771664333080364976,13874.435773,12870.930706,Benign_sha,sha,1,53.154,1.1063,335885,21136832,2352,637361,0
1771664333183139915,13977.210712,12973.705645,Benign_sha,sha,1,53.154,1.1063,328980,20633019,2314,626403,0
1771664333284223725,14078.294522,13074.789455,Benign_sha,sha,1,53.154,1.1063,321862,21297388,2281,626719,0
1771664333385943031,14180.013828,13176.508761,Benign_sha,sha,1,52.616,1.1063,358215,20690181,2484,652001,0
1771664333486605973,14280.67677,13277.171703,Benign_sha,sha,1,53.154,1.1063,316009,21068219,2171,615775,0
1771664333587789571,14381.860368,13378.355301,Benign_sha,sha,1,53.154,1.1063,344913,20334030,2429,636588,0
1771664333688207680,14482.278477,13478.77341,Benign_sha,sha,1,53.692,1.1063,314427,20998630,2159,616143,0
1771664333789903497,14583.974294,13580.469227,Benign_sha,sha,1,53.692,1.1063,336987,20315398,2443,630873,0
1771664333893456476,14687.527273,13684.022206,Benign_sha,sha,1,53.692,1.1063,315184,21037602,2155,617030,0
1771664333995964135,14790.034932,13786.529865,Benign_sha,sha,1,53.154,1.1063,335292,21045954,2446,635955,0
1771664334098933545,14893.004342,13889.499275,Benign_sha,sha,1,53.154,1.1063,332905,20833567,2310,634018,0
1771664334199622528,14993.693325,13990.188258,Benign_sha,sha,1,53.692,1.1063,324318,21362881,2288,626758,0
1771664334302494286,15096.565083,14093.060016,Benign_sha,sha,1,53.692,1.1063,339352,20306834,2430,630709,0
1771664334409286195,15203.356992,14199.851925,Benign_sha,sha,1,53.154,1.1063,340464,21608202,2251,644778,0
1771664334511292884,15305.363681,14301.858614,Benign_sha,sha,1,53.154,1.1063,359649,20691104,2329,683302,0
1771664334615893165,15409.963962,14406.458895,Benign_sha,sha,1,53.154,1.1063,265745,16219651,1844,501146,0
1771664334717235402,15511.306199,14507.801132,Benign_sha,sha,1,53.154,1.1063,276589,18083214,1824,538134,0
1771664334819237300,15613.308097,14609.80303,Benign_sha,sha,1,52.616,1.1063,276977,16641824,1923,519521,0
1771664334923618162,15717.688959,14714.183892,Benign_sha,sha,1,53.154,1.1063,265495,16257868,1811,501944,0
1771664335024552656,15818.623453,14815.118386,Benign_sha,sha,1,53.154,1.1063,282348,18192795,1938,543988,0
1771664335127854761,15921.925558,14918.420491,Benign_sha,sha,1,53.154,1.1063,288310,17031071,1965,535650,0
1771664335231288267,16025.359064,15021.853997,Benign_sha,sha,1,53.154,1.1063,280422,17773450,1932,534859,0
1771664335332009748,16126.080545,15122.575478,Benign_sha,sha,1,53.154,1.1063,306384,19413594,2126,585601,0
1771664335435377580,16229.448377,15225.94331,Benign_sha,sha,1,53.692,1.1063,352129,20754162,2378,651531,0
1771664335538731818,16332.802615,15329.297548,Benign_sha,sha,1,53.154,1.1063,324158,21344731,2280,630819,0
1771664335639913906,16433.984703,15430.479636,Benign_sha,sha,1,53.692,1.1063,347439,20899971,2454,645073,0
1771664335745327694,16539.398491,15535.893424,Benign_sha,sha,1,53.154,1.1063,320697,20760721,2241,612407,0
1771664335845991835,16640.062632,15636.557565,Benign_sha,sha,1,53.692,1.1063,334027,21789740,2352,651239,0
1771664335950627895,16744.698692,15741.193625,Benign_sha,sha,1,53.692,1.1063,339918,20362409,2441,636411,0
1771664336053487154,16847.557951,15844.052884,Benign_sha,sha,1,53.154,1.1063,333741,21666511,2327,642339,0
1771664336154006925,16948.077722,15944.572655,Benign_sha,sha,1,53.154,1.1063,323992,21402159,2286,631390,0
1771664336258676630,17052.747427,16049.24236,Benign_sha,sha,1,53.692,1.1063,343229,20415131,2451,636505,0
1771664336362909686,17156.980483,16153.475416,Benign_sha,sha,1,53.692,1.1063,331975,21656645,2315,643113,0
1771664336467120191,17261.190988,16257.685921,Benign_sha,sha,1,53.692,1.1063,351569,21966827,2351,662014,0
1771664336568721637,17362.792434,16359.287367,Benign_sha,sha,1,53.692,1.1063,345217,21285248,2462,653849,0
1771664336669474003,17463.5448,16460.039733,Benign_sha,sha,1,53.692,1.1063,333777,20844756,2315,633006,0
1771664336770852905,17564.923702,16561.418635,Benign_sha,sha,1,52.616,1.1063,322992,20988238,2286,624397,0
