Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771643974519210415,2628.511666,1622.098671,Attack_bitcount,bitcount,1,57.996,1.2563,2452937,88250165,0,2281807,36152
1771643974531915396,2641.216647,1634.803652,Attack_bitcount,bitcount,1,58.534,1.2563,4945799,207330472,4751,4302705,36152
1771643974543479882,2652.781133,1646.368138,Attack_bitcount,bitcount,1,58.534,1.2563,637616,42251283,6363,608452,36152
1771643974553462066,2662.763317,1656.350322,Attack_bitcount,bitcount,1,59.072,1.2563,479807,55700146,530,1060856,36152
1771643974567325227,2676.626478,1670.213483,Attack_bitcount,bitcount,1,58.534,1.2563,820419,59045822,4149,1257348,36152
1771643974579821346,2689.122597,1682.709602,Attack_bitcount,bitcount,1,58.534,1.2563,272457,43179181,28904,621150,36152
1771643974629468782,2738.770033,1732.357038,Attack_bitcount,bitcount,1,58.534,1.2563,222748,18701296,2271,569704,36152
1771643974741244947,2850.546198,1844.133203,Attack_bitcount,bitcount,1,59.072,1.2563,367681,22836952,1352,766066,36152
1771643974835698649,2944.9999,1938.586905,Attack_bitcount,bitcount,1,59.072,1.2563,395408,26916546,980,595711,36152
1771643974933470209,3042.77146,2036.358465,Attack_bitcount,bitcount,1,58.534,1.2563,408127,29985633,1284,619337,36152
1771643975039446983,3148.748234,2142.335239,Attack_bitcount,bitcount,1,59.072,1.2563,282110,25121875,1250,526384,36152
1771643975139207398,3248.508649,2242.095654,Attack_bitcount,bitcount,1,58.534,1.2563,143615,16054466,1004,488483,36152
1771643975245161080,3354.462331,2348.049336,Attack_bitcount,bitcount,1,57.996,1.2563,151953,17275633,1058,502819,36152
1771643975350816987,3460.118238,2453.705243,Attack_bitcount,bitcount,1,58.534,1.2563,163646,17270095,1154,510856,36152
1771643975454824059,3564.12531,2557.712315,Attack_bitcount,bitcount,1,57.996,1.2563,162373,17159382,1144,485210,36152
1771643975552975019,3662.27627,2655.863275,Attack_bitcount,bitcount,1,59.072,1.2563,165472,17422316,1159,481951,36152
1771643975657035257,3766.336508,2759.923513,Attack_bitcount,bitcount,1,59.072,1.2563,161315,16247375,1162,505245,36152
1771643975756896752,3866.198003,2859.785008,Attack_bitcount,bitcount,1,57.996,1.2563,158871,14374987,1116,513460,36152
1771643975858894996,3968.196247,2961.783252,Attack_bitcount,bitcount,1,58.534,1.2563,146606,16672763,902,468919,36152
1771643975967235236,4076.536487,3070.123492,Attack_bitcount,bitcount,1,58.534,1.2563,165192,17542329,1170,487873,36152
1771643976067672481,4176.973732,3170.560737,Attack_bitcount,bitcount,1,58.534,1.2563,161658,16754500,1145,474678,36152
1771643976171835668,4281.136919,3274.723924,Attack_bitcount,bitcount,1,59.072,1.2563,159500,15247625,1154,513378,36152
1771643976274501775,4383.803026,3377.390031,Attack_bitcount,bitcount,1,58.534,1.2563,160599,15879213,1156,516040,36152
1771643976378937149,4488.2384,3481.825405,Attack_bitcount,bitcount,1,58.534,1.2563,162721,17201579,1150,516353,36152
1771643976483485466,4592.786717,3586.373722,Attack_bitcount,bitcount,1,58.534,1.2563,147806,16149535,1002,498318,36152
1771643976584196373,4693.497624,3687.084629,Attack_bitcount,bitcount,1,59.072,1.2563,160171,16384731,1134,514737,36152
1771643976690561663,4799.862914,3793.449919,Attack_bitcount,bitcount,1,59.072,1.2563,158326,16158298,1138,511383,36152
1771643976793666692,4902.967943,3896.554948,Attack_bitcount,bitcount,1,58.534,1.2563,145459,16711902,1094,493477,36152
1771643976894976962,5004.278213,3997.865218,Attack_bitcount,bitcount,1,59.072,1.2563,177338,18316112,1125,534609,36152
1771643976998502132,5107.803383,4101.390388,Attack_bitcount,bitcount,1,58.534,1.2563,158125,16298590,1140,511952,36152
1771643977103353029,5212.65428,4206.241285,Attack_bitcount,bitcount,1,59.072,1.2563,160160,16993641,1136,514206,36152
1771643977207733216,5317.034467,4310.621472,Attack_bitcount,bitcount,1,59.072,1.2563,159702,17058586,1149,479845,36152
1771643977312601086,5421.902337,4415.489342,Attack_bitcount,bitcount,1,58.534,1.2563,162249,17301324,1159,547113,36152
1771643977416098565,5525.399816,4518.986821,Attack_bitcount,bitcount,1,58.534,1.2563,166554,17896095,1165,515039,36152
1771643977518812494,5628.113745,4621.70075,Attack_bitcount,bitcount,1,58.534,1.2563,160317,16261938,1135,492072,36152
1771643977623318062,5732.619313,4726.206318,Attack_bitcount,bitcount,1,58.534,1.2563,160608,15037743,1174,463448,36152
