Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771935417318983111,273362.061387,365.44816,Benign_dijkstra,dijkstra,1,79.516,1.1563,243307,34959169,710,331874,0
1771935417423068459,273466.146735,469.533508,Benign_dijkstra,dijkstra,1,79.516,1.1563,241660,34917219,719,332957,0
1771935417526985736,273570.064012,573.450785,Benign_dijkstra,dijkstra,1,79.516,1.1563,302864,34287861,937,383051,0
1771935417630593486,273673.671762,677.058535,Benign_dijkstra,dijkstra,1,78.978,1.1563,253708,34538214,936,385856,0
1771935417734654772,273777.733048,781.119821,Benign_dijkstra,dijkstra,1,79.516,1.1563,277006,34252967,832,383928,0
1771935417838607726,273881.686002,885.072775,Benign_dijkstra,dijkstra,1,79.516,1.1563,262989,35342243,760,361974,0
1771935417941099863,273984.178139,987.564912,Benign_dijkstra,dijkstra,1,79.516,1.1563,268651,35337866,758,362901,0
1771935418041640980,274084.719256,1088.106029,Benign_dijkstra,dijkstra,1,79.516,1.1563,264308,33499387,944,384405,0
1771935418142391470,274185.469746,1188.856519,Benign_dijkstra,dijkstra,1,79.516,1.1563,273426,33457261,931,373000,0
1771935418246995979,274290.074255,1293.461028,Benign_dijkstra,dijkstra,1,78.978,1.1563,255442,34282456,767,360418,0
1771935418350944037,274394.022313,1397.409086,Benign_dijkstra,dijkstra,1,78.978,1.1563,265269,35624542,759,364722,0
1771935418454231582,274497.309858,1500.696631,Benign_dijkstra,dijkstra,1,78.978,1.1563,263822,35364056,754,363178,0
1771935418554987593,274598.065869,1601.452642,Benign_dijkstra,dijkstra,1,78.978,1.1563,293870,33690960,984,394103,0
1771935418658726435,274701.804711,1705.191484,Benign_dijkstra,dijkstra,1,78.978,1.1563,293883,33970045,951,392852,0
1771935418762857095,274805.935371,1809.322144,Benign_dijkstra,dijkstra,1,78.978,1.1563,279603,35327582,768,363614,0
1771935418867171660,274910.249936,1913.636709,Benign_dijkstra,dijkstra,1,78.978,1.1563,257017,35343558,758,364320,0
1771935418968668131,275011.746407,2015.13318,Benign_dijkstra,dijkstra,1,78.978,1.1563,262740,35427855,761,364781,0
1771935419069307632,275112.385908,2115.772681,Benign_dijkstra,dijkstra,1,78.44,1.1563,275085,32889641,1053,393006,0
1771935419170058330,275213.136606,2216.523379,Benign_dijkstra,dijkstra,1,78.44,1.1563,270018,33803987,814,366047,0
1771935419270758195,275313.836471,2317.223244,Benign_dijkstra,dijkstra,1,78.44,1.1563,260133,34238003,767,362269,0
1771935419374741670,275417.819946,2421.206719,Benign_dijkstra,dijkstra,1,78.44,1.1563,255872,34201250,762,355890,0
1771935419476838082,275519.916358,2523.303131,Benign_dijkstra,dijkstra,1,78.44,1.1563,267070,35481466,766,363676,0
1771935419577345502,275620.423778,2623.810551,Benign_dijkstra,dijkstra,1,78.44,1.1563,267507,33885931,873,370795,0
1771935419678157189,275721.235465,2724.622238,Benign_dijkstra,dijkstra,1,78.978,1.1563,294161,33158083,1057,416880,0
1771935419778878721,275821.956997,2825.34377,Benign_dijkstra,dijkstra,1,78.44,1.1563,263206,34404139,773,359271,0
1771935419882984537,275926.062813,2929.449586,Benign_dijkstra,dijkstra,1,78.978,1.1563,272933,34196684,766,361089,0
1771935419987297123,276030.375399,3033.762172,Benign_dijkstra,dijkstra,1,78.44,1.1563,306781,35191861,758,361409,0
1771935420088276673,276131.354949,3134.741722,Benign_dijkstra,dijkstra,1,79.516,1.1563,283449,35265431,764,361883,0
1771935420190964953,276234.043229,3237.430002,Benign_dijkstra,dijkstra,1,78.44,1.1563,280988,32800947,1024,389355,0
1771935420295027750,276338.106026,3341.492799,Benign_dijkstra,dijkstra,1,78.44,1.1563,253950,34636482,853,373091,0
