Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771933220579088012,263459.863599,524.121545,Benign_susan,susan,1,79.516,1.1563,160043,40264379,1336,683391,0
1771933220683016748,263563.792335,628.050281,Benign_susan,susan,1,79.516,1.1563,172875,42857800,1113,712171,0
1771933220787151366,263667.926953,732.184899,Benign_susan,susan,1,78.978,1.1563,174763,40768001,1087,737896,0
1771933220888615755,263769.391342,833.649288,Benign_susan,susan,1,79.516,1.1563,172611,38376188,1089,804000,0
1771933220991301692,263872.077279,936.335225,Benign_susan,susan,1,79.516,1.1563,181469,37552805,1111,738697,0
1771933221095212928,263975.988515,1040.246461,Benign_susan,susan,1,79.516,1.1563,202123,37833576,1408,742883,0
1771933221199137080,264079.912667,1144.170613,Benign_susan,susan,1,78.978,1.1563,172129,43034859,1269,704025,0
1771933221303158002,264183.933589,1248.191535,Benign_susan,susan,1,79.516,1.1563,172359,41519121,1091,727303,0
1771933221409287807,264290.063394,1354.32134,Benign_susan,susan,1,79.516,1.1563,172438,40004630,1088,749894,0
1771933221510281576,264391.057163,1455.315109,Benign_susan,susan,1,79.516,1.1563,175309,38397999,1094,813395,0
1771933221610938577,264491.714164,1555.97211,Benign_susan,susan,1,78.978,1.1563,189976,37446291,1275,722151,0
1771933221715041582,264595.817169,1660.075115,Benign_susan,susan,1,79.516,1.1563,210715,38130422,1494,743987,0
1771933221819191825,264699.967412,1764.225358,Benign_susan,susan,1,78.44,1.1563,173452,44299428,1086,703451,0
1771933221923161915,264803.937502,1868.195448,Benign_susan,susan,1,78.978,1.1563,176047,40911001,1086,740626,0
1771933222027504135,264908.279722,1972.537668,Benign_susan,susan,1,77.902,1.1563,175173,39430985,1094,770929,0
1771933222129238468,265010.014055,2074.272001,Benign_susan,susan,1,78.44,1.1563,173783,38050959,1091,783232,0
1771933222229683441,265110.459028,2174.716974,Benign_susan,susan,1,78.978,1.1563,195001,37618429,1309,727481,0
1771933222330375182,265211.150769,2275.408715,Benign_susan,susan,1,78.978,1.1563,183794,38410350,1389,714406,0
1771933222435061565,265315.837152,2380.095098,Benign_susan,susan,1,78.44,1.1563,170837,41158255,1094,699389,0
1771933222539091081,265419.866668,2484.124614,Benign_susan,susan,1,78.978,1.1563,172552,42172155,1088,728088,0
1771933222643492936,265524.268523,2588.526469,Benign_susan,susan,1,78.44,1.1563,174467,40038893,1089,759222,0
1771933222745843721,265626.619308,2690.877254,Benign_susan,susan,1,78.44,1.1563,191954,38556866,1157,816994,0
1771933222846441556,265727.217143,2791.475089,Benign_susan,susan,1,78.978,1.1563,197562,37788844,1276,741196,0
1771933222951466634,265832.242221,2896.500167,Benign_susan,susan,1,78.44,1.1563,190296,37567662,1424,719551,0
1771933223055208341,265935.983928,3000.241874,Benign_susan,susan,1,78.978,1.1563,169994,44679317,1086,706794,0
1771933223159093587,266039.869174,3104.12712,Benign_susan,susan,1,78.44,1.1563,173843,40881389,1093,738259,0
1771933223263318465,266144.094052,3208.351998,Benign_susan,susan,1,78.44,1.1563,173963,39154984,1088,775872,0
1771933223364174840,266244.950427,3309.208373,Benign_susan,susan,1,78.44,1.1563,178972,38071564,1096,780019,0
1771933223467132076,266347.907663,3412.165609,Benign_susan,susan,1,78.44,1.1563,199773,37603735,1307,733371,0
1771933223570872480,266451.648067,3515.906013,Benign_susan,susan,1,78.44,1.1563,182628,40603482,1383,717031,0
1771933223675071994,266555.847581,3620.105527,Benign_susan,susan,1,78.44,1.1563,192394,42828481,1163,729980,0
1771933223777137990,266657.913577,3722.171523,Benign_susan,susan,1,78.44,1.1563,170372,39783988,1086,722876,0
1771933223878215664,266758.991251,3823.249197,Benign_susan,susan,1,77.902,1.1563,176834,39101222,1086,750921,0
1771933223980043017,266860.818604,3925.07655,Benign_susan,susan,1,78.44,1.1563,170561,37632583,1083,765004,0
1771933224080202003,266960.97759,4025.235536,Benign_susan,susan,1,78.44,1.1563,186085,37689107,1213,741641,0
1771933224181071346,267061.846933,4126.104879,Benign_susan,susan,1,78.44,1.1563,154682,36103382,972,667906,0
1771933224282229852,267163.005439,4227.263385,Benign_susan,susan,1,78.44,1.1563,165319,35379729,1088,592065,0
1771933224383383619,267264.159206,4328.417152,Benign_susan,susan,1,78.44,1.1563,169659,37596891,1087,761209,0
1771933224487192824,267367.968411,4432.226357,Benign_susan,susan,1,78.44,1.1563,189740,37645725,1211,742245,0
1771933224591200361,267471.975948,4536.233894,Benign_susan,susan,1,78.44,1.1563,203031,38629959,1492,744227,0
1771933224692039132,267572.814719,4637.072665,Benign_susan,susan,1,78.44,1.1563,193275,44365747,1159,730076,0
1771933224795080169,267675.855756,4740.113702,Benign_susan,susan,1,77.902,1.1563,173141,39353194,1088,722424,0
1771933224899179267,267779.954854,4844.2128,Benign_susan,susan,1,78.44,1.1563,174063,40188605,1088,735771,0
1771933225000003558,267880.779145,4945.037091,Benign_susan,susan,1,78.44,1.1563,174848,38165991,1093,805653,0
1771933225101193314,267981.968901,5046.226847,Benign_susan,susan,1,78.44,1.1563,181147,37487210,1137,733295,0
1771933225201775890,268082.551477,5146.809423,Benign_susan,susan,1,78.44,1.1563,192116,37541851,1337,725085,0
1771933225302536744,268183.312331,5247.570277,Benign_susan,susan,1,77.902,1.1563,175372,39320866,1311,705716,0
1771933225406972974,268287.748561,5352.006507,Benign_susan,susan,1,77.902,1.1563,167040,41574181,1092,694076,0
1771933225510713587,268391.489174,5455.74712,Benign_susan,susan,1,78.44,1.1563,178520,41183638,1088,741364,0
1771933225615271170,268496.046757,5560.304703,Benign_susan,susan,1,77.364,1.1563,173506,39664395,1089,764607,0
1771933225716937170,268597.712757,5661.970703,Benign_susan,susan,1,78.44,1.1563,198191,38669919,1158,819811,0
1771933225817565161,268698.340748,5762.598694,Benign_susan,susan,1,78.44,1.1563,199078,37660717,1313,732630,0
1771933225918329349,268799.104936,5863.362882,Benign_susan,susan,1,77.902,1.1563,184056,38658015,1377,714097,0
1771933226022725736,268903.501323,5967.759269,Benign_susan,susan,1,78.44,1.1563,170067,41798341,1096,699055,0
1771933226126671190,269007.446777,6071.704723,Benign_susan,susan,1,77.902,1.1563,174475,41510616,1084,732378,0
1771933226231314501,269112.090088,6176.348034,Benign_susan,susan,1,78.44,1.1563,174110,39834234,1087,758086,0
1771933226334014292,269214.789879,6279.047825,Benign_susan,susan,1,77.902,1.1563,175514,38167662,1096,800302,0
1771933226434611034,269315.386621,6379.644567,Benign_susan,susan,1,78.44,1.1563,202004,37766902,1310,735804,0
1771933226539159763,269419.93535,6484.193296,Benign_susan,susan,1,78.44,1.1563,186073,38425610,1381,715627,0
1771933226642747721,269523.523308,6587.781254,Benign_susan,susan,1,78.44,1.1563,175151,44214072,1089,712355,0
1771933226746686040,269627.461627,6691.719573,Benign_susan,susan,1,78.44,1.1563,192943,41239321,1159,759402,0
1771933226851246852,269732.022439,6796.280385,Benign_susan,susan,1,77.902,1.1563,174910,38962464,1094,783937,0
1771933226954694343,269835.46993,6899.727876,Benign_susan,susan,1,77.902,1.1563,167069,35289902,1084,603522,0
1771933227057981680,269938.757267,7003.015213,Benign_susan,susan,1,78.44,1.1563,171083,37843397,1092,759648,0
1771933227158982479,270039.758066,7104.016012,Benign_susan,susan,1,77.364,1.1563,175136,37937695,1097,775388,0
1771933227262922673,270143.69826,7207.956206,Benign_susan,susan,1,78.44,1.1563,193207,37442353,1262,724860,0
1771933227366868805,270247.644392,7311.902338,Benign_susan,susan,1,77.902,1.1563,191901,40569866,1434,729516,0
1771933227470906758,270351.682345,7415.940291,Benign_susan,susan,1,77.902,1.1563,174096,42946963,1087,715506,0
1771933227575087782,270455.863369,7520.121315,Benign_susan,susan,1,77.364,1.1563,174180,40697887,1093,738083,0
1771933227676587483,270557.36307,7621.621016,Benign_susan,susan,1,77.902,1.1563,193515,39119496,1160,816693,0
1771933227778219005,270658.994592,7723.252538,Benign_susan,susan,1,77.902,1.1563,179231,37639820,1094,745720,0
1771933227878023880,270758.799467,7823.057413,Benign_susan,susan,1,77.902,1.1563,195183,37568557,1341,725275,0
1771933227978631194,270859.406781,7923.664727,Benign_susan,susan,1,78.44,1.1563,185126,38335504,1346,711175,0
1771933228082697897,270963.473484,8027.73143,Benign_susan,susan,1,77.902,1.1563,170286,41394569,1092,698352,0
1771933228186921526,271067.697113,8131.955059,Benign_susan,susan,1,77.902,1.1563,174047,41414778,1090,725337,0
1771933228294135381,271174.910968,8239.168914,Benign_susan,susan,1,77.902,1.1563,174871,40321353,1088,745985,0
1771933228395034567,271275.810154,8340.0681,Benign_susan,susan,1,77.902,1.1563,174890,38550922,1093,826359,0
1771933228499081374,271379.856961,8444.114907,Benign_susan,susan,1,78.44,1.1563,191749,37442526,1271,723014,0
1771933228603157348,271483.932935,8548.190881,Benign_susan,susan,1,77.364,1.1563,192460,39988530,1426,728975,0
1771933228707114469,271587.890056,8652.148002,Benign_susan,susan,1,77.364,1.1563,193312,43602396,1156,732584,0
1771933228811164141,271691.939728,8756.197674,Benign_susan,susan,1,77.902,1.1563,171493,40890379,1090,737651,0
1771933228912744517,271793.520104,8857.77805,Benign_susan,susan,1,77.902,1.1563,171931,38660390,1088,790752,0
1771933229014358748,271895.134335,8959.392281,Benign_susan,susan,1,77.364,1.1563,177146,37691415,1097,749714,0
1771933229114580962,271995.356549,9059.614495,Benign_susan,susan,1,77.364,1.1563,194546,37633310,1381,730236,0
1771933229219333230,272100.108817,9164.366763,Benign_susan,susan,1,77.902,1.1563,137145,35570768,795,644377,0
1771933229321162042,272201.937629,9266.195575,Benign_susan,susan,1,77.364,1.1563,163948,36072330,1088,651587,0
1771933229422166539,272302.942126,9367.200072,Benign_susan,susan,1,77.902,1.1563,187787,37679141,1212,742385,0
1771933229523218119,272403.993706,9468.251652,Benign_susan,susan,1,77.364,1.1563,195530,37525055,1280,728483,0
