Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771652331945851696,240625.857111,3630.833573,Attack_sha,sha,1,80.054,1.2563,213489,17583326,1617,408170,88742
1771652331956276532,240636.281947,3641.258409,Attack_sha,sha,1,80.054,1.2563,256369,19356765,1629,484071,88742
1771652331973531546,240653.536961,3658.513423,Attack_sha,sha,1,79.516,1.2563,265102,20325106,1685,502619,88742
1771652332078103672,240758.109087,3763.085549,Attack_sha,sha,1,80.592,1.2563,332020,24052153,1925,622670,88742
1771652332180140268,240860.145683,3865.122145,Attack_sha,sha,1,80.054,1.2563,320312,42582729,2641,602751,88742
1771652332286043571,240966.048986,3971.025448,Attack_sha,sha,1,80.054,1.2563,235868,18134906,1637,436797,88742
1771652332387646181,241067.651596,4072.628058,Attack_sha,sha,1,80.054,1.2563,237127,19832893,1602,467102,88742
1771652332494157751,241174.163166,4179.139628,Attack_sha,sha,1,80.054,1.2563,252688,18773162,1834,467715,88742
1771652332599498518,241279.503933,4284.480395,Attack_sha,sha,1,80.054,1.2563,239455,19883573,1596,466870,88742
1771652332699236112,241379.241527,4384.217989,Attack_sha,sha,1,80.054,1.2563,249567,18666513,1807,459126,88742
1771652332804890961,241484.896376,4489.872838,Attack_sha,sha,1,80.054,1.2563,233215,19686358,1595,456520,88742
1771652332908000543,241588.005958,4592.98242,Attack_sha,sha,1,80.054,1.2563,250816,18356571,1649,457773,88742
1771652333012152430,241692.157845,4697.134307,Attack_sha,sha,1,79.516,1.2563,242766,18542036,1683,450471,88742
1771652333114980371,241794.985786,4799.962248,Attack_sha,sha,1,80.592,1.2563,239618,19700882,1681,464832,88742
1771652333219761198,241899.766613,4904.743075,Attack_sha,sha,1,80.592,1.2563,288168,33663192,2248,544573,88742
1771652333322245680,242002.251095,5007.227557,Attack_sha,sha,1,80.592,1.2563,266157,23691450,1961,508774,88742
1771652333428727136,242108.732551,5113.709013,Attack_sha,sha,1,80.054,1.2563,258661,21626384,1897,489075,88742
1771652333531016033,242211.021448,5215.99791,Attack_sha,sha,1,79.516,1.2563,277969,28048694,2085,532637,88742
1771652333637930798,242317.936213,5322.912675,Attack_sha,sha,1,80.054,1.2563,270365,24218455,2063,517764,88742
1771652333744946195,242424.95161,5429.928072,Attack_sha,sha,1,80.054,1.2563,263613,22707752,1813,499264,88742
1771652333843607515,242523.61293,5528.589392,Attack_sha,sha,1,80.054,1.2563,287633,22527954,2009,516123,88742
1771652333953149272,242633.154687,5638.131149,Attack_sha,sha,1,80.054,1.2563,247059,20424182,1715,470812,88742
1771652334049890205,242729.89562,5734.872082,Attack_sha,sha,1,80.054,1.2563,246056,19157259,1726,465398,88742
1771652334154000981,242834.006396,5838.982858,Attack_sha,sha,1,80.054,1.2563,233856,19531400,1593,445158,88742
1771652334260912874,242940.918289,5945.894751,Attack_sha,sha,1,79.516,1.2563,351005,53303956,3051,642932,88742
1771652334368291255,243048.29667,6053.273132,Attack_sha,sha,1,80.054,1.2563,305043,31449672,2279,580671,88742
1771652334462972209,243142.977624,6147.954086,Attack_sha,sha,1,80.592,1.2563,256688,20282349,1794,480276,88742
1771652334566585765,243246.59118,6251.567642,Attack_sha,sha,1,80.054,1.2563,252422,21492780,1758,476419,88742
1771652334669771795,243349.77721,6354.753672,Attack_sha,sha,1,80.592,1.2563,277463,24183904,2035,521167,88742
