Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771646137748484895,5254.530956,4246.907731,Attack_CRC32,CRC32,1,59.072,1.2563,75461,31290404,229,116154,46895
1771646137757027274,5263.073335,4255.45011,Attack_CRC32,CRC32,1,59.072,1.2563,115760,28429049,336,170771,46895
1771646137765040181,5271.086242,4263.463017,Attack_CRC32,CRC32,1,59.072,1.2563,64773,25219034,181,90909,46895
1771646137772634656,5278.680717,4271.057492,Attack_CRC32,CRC32,1,59.072,1.2563,83781,31985072,179,130172,46895
1771646137779990437,5286.036498,4278.413273,Attack_CRC32,CRC32,1,59.072,1.2563,79842,31087995,187,114714,46895
1771646137788159227,5294.205288,4286.582063,Attack_CRC32,CRC32,1,58.534,1.2563,137266,32743476,478,230048,46895
1771646137816052060,5322.098121,4314.474896,Attack_CRC32,CRC32,1,59.072,1.2563,128404,34233196,372,207576,46895
1771646137919671368,5425.717429,4418.094204,Attack_CRC32,CRC32,1,59.072,1.2563,254914,44989557,731,373158,46895
1771646138021200867,5527.246928,4519.623703,Attack_CRC32,CRC32,1,59.072,1.2563,77612,53509716,174,74448,46895
1771646138127589175,5633.635236,4626.012011,Attack_CRC32,CRC32,1,57.996,1.2563,89248,60976805,413,92128,46895
1771646138232023030,5738.069091,4730.445866,Attack_CRC32,CRC32,1,59.072,1.2563,75846,53320596,205,71052,46895
1771646138336112203,5842.158264,4834.535039,Attack_CRC32,CRC32,1,59.072,1.2563,110557,46114280,511,138758,46895
1771646138439756747,5945.802808,4938.179583,Attack_CRC32,CRC32,1,58.534,1.2563,76734,57001844,302,81456,46895
1771646138543533685,6049.579746,5041.956521,Attack_CRC32,CRC32,1,59.61,1.2563,76444,56024723,280,82132,46895
1771646138647611191,6153.657252,5146.034027,Attack_CRC32,CRC32,1,59.072,1.2563,70796,51896420,167,71427,46895
1771646138751892497,6257.938558,5250.315333,Attack_CRC32,CRC32,1,59.61,1.2563,70447,51814337,170,70658,46895
1771646138857496232,6363.542293,5355.919068,Attack_CRC32,CRC32,1,59.61,1.2563,91342,52226570,237,96027,46895
1771646138964416303,6470.462364,5462.839139,Attack_CRC32,CRC32,1,59.61,1.2563,101170,52971183,294,136821,46895
1771646139068456795,6574.502856,5566.879631,Attack_CRC32,CRC32,1,59.61,1.2563,143282,54388485,403,236443,46895
1771646139175483038,6681.529099,5673.905874,Attack_CRC32,CRC32,1,59.61,1.2563,198373,57706495,613,353003,46895
1771646139275611772,6781.657833,5774.034608,Attack_CRC32,CRC32,1,59.61,1.2563,148491,52972983,708,217160,46895
1771646139379478735,6885.524796,5877.901571,Attack_CRC32,CRC32,1,59.61,1.2563,69267,49911267,162,72510,46895
1771646139483707934,6989.753995,5982.13077,Attack_CRC32,CRC32,1,59.61,1.2563,70841,51786436,170,79460,46895
1771646139587665260,7093.711321,6086.088096,Attack_CRC32,CRC32,1,60.148,1.2563,70359,51596950,169,73722,46895
1771646139691673628,7197.719689,6190.096464,Attack_CRC32,CRC32,1,59.61,1.2563,67441,51889811,165,70340,46895
1771646139795559237,7301.605298,6293.982073,Attack_CRC32,CRC32,1,60.148,1.2563,80836,59922216,390,90386,46895
1771646139899726509,7405.77257,6398.149345,Attack_CRC32,CRC32,1,60.148,1.2563,92552,50751395,228,102682,46895
1771646140003661649,7509.70771,6502.084485,Attack_CRC32,CRC32,1,60.148,1.2563,69347,51833661,170,71234,46895
1771646140108102486,7614.148547,6606.525322,Attack_CRC32,CRC32,1,59.072,1.2563,69050,51804346,172,70861,46895
1771646140211608544,7717.654605,6710.03138,Attack_CRC32,CRC32,1,59.61,1.2563,106152,46029787,514,135833,46895
1771646140315681469,7821.72753,6814.104305,Attack_CRC32,CRC32,1,60.148,1.2563,67763,51873059,176,71371,46895
1771646140419730020,7925.776081,6918.152856,Attack_CRC32,CRC32,1,60.148,1.2563,67572,51878820,159,71215,46895
1771646140523535970,8029.582031,7021.958806,Attack_CRC32,CRC32,1,60.148,1.2563,70145,51974018,155,78402,46895
1771646140627545979,8133.59204,7125.968815,Attack_CRC32,CRC32,1,60.148,1.2563,74417,51962998,163,82330,46895
1771646140736241968,8242.288029,7234.664804,Attack_CRC32,CRC32,1,59.61,1.2563,66470,51855417,170,68876,46895
1771646140835695632,8341.741693,7334.118468,Attack_CRC32,CRC32,1,59.61,1.2563,69136,52182156,179,72695,46895
1771646140939663663,8445.709724,7438.086499,Attack_CRC32,CRC32,1,60.148,1.2563,92881,52281551,237,98792,46895
1771646141047632120,8553.678181,7546.054956,Attack_CRC32,CRC32,1,59.61,1.2563,68436,51861752,155,70880,46895
1771646141152214389,8658.26045,7650.637225,Attack_CRC32,CRC32,1,60.148,1.2563,106370,44493411,501,137519,46895
1771646141251573340,8757.619401,7749.996176,Attack_CRC32,CRC32,1,60.148,1.2563,73481,49696647,171,71387,46895
1771646141355405254,8861.451315,7853.82809,Attack_CRC32,CRC32,1,60.148,1.2563,80744,54799788,316,83080,46895
1771646141459572528,8965.618589,7957.995364,Attack_CRC32,CRC32,1,60.148,1.2563,72858,51837961,157,69323,46895
1771646141563394546,9069.440607,8061.817382,Attack_CRC32,CRC32,1,60.148,1.2563,73497,51980975,165,71673,46895
1771646141667634840,9173.680901,8166.057676,Attack_CRC32,CRC32,1,60.148,1.2563,74853,51795458,166,71779,46895
1771646141771602898,9277.648959,8270.025734,Attack_CRC32,CRC32,1,60.148,1.2563,73615,51732040,169,71160,46895
1771646141875450906,9381.496967,8373.873742,Attack_CRC32,CRC32,1,60.148,1.2563,95869,52212148,239,97902,46895
1771646141979483702,9485.529763,8477.906538,Attack_CRC32,CRC32,1,60.148,1.2563,75025,51794129,170,71354,46895
1771646142083489124,9589.535185,8581.91196,Attack_CRC32,CRC32,1,60.148,1.2563,88230,49350696,296,93700,46895
1771646142187526166,9693.572227,8685.949002,Attack_CRC32,CRC32,1,59.61,1.2563,88321,48635549,364,109396,46895
