Timestamp_ns,RelativeTime_ms,CycleTime_ms,Label,Benchmark,Cycle,Temp,CoreVolt,CacheMiss,CacheRef,PageFault,BranchMiss,FlipCount
1771647371797157463,1365.568074,362.334548,Benign_dijkstra,dijkstra,1,55.306,1.2563,246005,34807805,714,336067,0
1771647371900010776,1468.421387,465.187861,Benign_dijkstra,dijkstra,1,55.306,1.2563,284790,35394523,779,359440,0
1771647372004302802,1572.713413,569.479887,Benign_dijkstra,dijkstra,1,55.306,1.2563,267954,35032858,759,375344,0
1771647372108577563,1676.988174,673.754648,Benign_dijkstra,dijkstra,1,54.768,1.2563,285115,34107311,1106,410797,0
1771647372212365948,1780.776559,777.543033,Benign_dijkstra,dijkstra,1,55.306,1.2563,251166,35598982,763,370545,0
1771647372316664510,1885.075121,881.841595,Benign_dijkstra,dijkstra,1,55.306,1.2563,258678,35481512,756,364275,0
1771647372417234502,1985.645113,982.411587,Benign_dijkstra,dijkstra,1,54.768,1.2563,281091,35369386,762,367872,0
1771647372520429695,2088.840306,1085.60678,Benign_dijkstra,dijkstra,1,55.306,1.2563,273225,32726844,1017,390828,0
1771647372624443118,2192.853729,1189.620203,Benign_dijkstra,dijkstra,1,55.306,1.2563,281336,34576181,846,375989,0
1771647372728654290,2297.064901,1293.831375,Benign_dijkstra,dijkstra,1,55.306,1.2563,265582,35352133,761,371012,0
1771647372831501952,2399.912563,1396.679037,Benign_dijkstra,dijkstra,1,55.306,1.2563,270167,35312183,760,364632,0
1771647372936296941,2504.707552,1501.474026,Benign_dijkstra,dijkstra,1,55.306,1.2563,304756,35212709,827,387623,0
1771647373040370162,2608.780773,1605.547247,Benign_dijkstra,dijkstra,1,54.768,1.2563,283507,34053885,1105,410577,0
1771647373144427931,2712.838542,1709.605016,Benign_dijkstra,dijkstra,1,55.306,1.2563,257971,35451392,766,371306,0
1771647373248447839,2816.85845,1813.624924,Benign_dijkstra,dijkstra,1,55.306,1.2563,292166,35280855,758,364611,0
1771647373349425018,2917.835629,1914.602103,Benign_dijkstra,dijkstra,1,55.306,1.2563,322770,35184442,756,364016,0
1771647373452585343,3020.995954,2017.762428,Benign_dijkstra,dijkstra,1,55.844,1.2563,271539,33123854,943,382952,0
1771647373556606761,3125.017372,2121.783846,Benign_dijkstra,dijkstra,1,55.306,1.2563,259656,34697021,921,384646,0
1771647373660533497,3228.944108,2225.710582,Benign_dijkstra,dijkstra,1,55.306,1.2563,267337,35332205,759,369039,0
1771647373763585444,3331.996055,2328.762529,Benign_dijkstra,dijkstra,1,55.306,1.2563,257355,35452526,757,366730,0
1771647373863977763,3432.388374,2429.154848,Benign_dijkstra,dijkstra,1,55.306,1.2563,316559,35171257,827,387049,0
1771647373968232240,3536.642851,2533.409325,Benign_dijkstra,dijkstra,1,55.844,1.2563,291495,32609828,1075,396960,0
1771647374072253622,3640.664233,2637.430707,Benign_dijkstra,dijkstra,1,55.844,1.2563,317597,35478627,795,370543,0
1771647374180647869,3749.05848,2745.824954,Benign_dijkstra,dijkstra,1,55.306,1.2563,263366,35414171,758,367555,0
1771647374282058172,3850.468783,2847.235257,Benign_dijkstra,dijkstra,1,55.844,1.2563,283282,36879833,754,373716,0
1771647374382691492,3951.102103,2947.868577,Benign_dijkstra,dijkstra,1,55.306,1.2563,300035,32945435,1052,391996,0
1771647374483440950,4051.851561,3048.618035,Benign_dijkstra,dijkstra,1,55.306,1.2563,258942,33963240,814,369719,0
1771647374588095792,4156.506403,3153.272877,Benign_dijkstra,dijkstra,1,55.844,1.2563,251617,34191483,766,359224,0
1771647374692386074,4260.796685,3257.563159,Benign_dijkstra,dijkstra,1,54.768,1.2563,271596,35744675,753,365406,0
1771647374794605962,4363.016573,3359.783047,Benign_dijkstra,dijkstra,1,55.844,1.2563,269979,35218336,757,364167,0
1771647374894418655,4462.829266,3459.59574,Benign_dijkstra,dijkstra,1,55.844,1.2563,290305,33632086,1011,431572,0
1771647374995316646,4563.727257,3560.493731,Benign_dijkstra,dijkstra,1,55.844,1.2563,296305,34423912,989,441641,0
1771647375095984570,4664.395181,3661.161655,Benign_dijkstra,dijkstra,1,55.844,1.2563,244949,34263261,770,361124,0
1771647375200735422,4769.146033,3765.912507,Benign_dijkstra,dijkstra,1,55.844,1.2563,260388,34092388,752,358828,0
1771647375305741258,4874.151869,3870.918343,Benign_dijkstra,dijkstra,1,55.844,1.2563,260020,35531612,760,375953,0
1771647375408603112,4977.013723,3973.780197,Benign_dijkstra,dijkstra,1,55.844,1.2563,240837,31130819,760,347548,0
1771647375516305605,5084.716216,4081.48269,Benign_dijkstra,dijkstra,1,55.844,1.2563,219789,28618277,759,330275,0
1771647375618115232,5186.525843,4183.292317,Benign_dijkstra,dijkstra,1,55.844,1.2563,282544,36793363,758,373042,0
1771647375724969236,5293.379847,4290.146321,Benign_dijkstra,dijkstra,1,55.844,1.2563,300294,32982610,1018,392922,0
1771647375828514225,5396.924836,4393.69131,Benign_dijkstra,dijkstra,1,55.844,1.2563,296399,35698703,849,387068,0
1771647375932609284,5501.019895,4497.786369,Benign_dijkstra,dijkstra,1,55.306,1.2563,319791,35772968,827,402460,0
1771647376034639061,5603.049672,4599.816146,Benign_dijkstra,dijkstra,1,55.844,1.2563,272703,35452865,753,373635,0
1771647376135211080,5703.621691,4700.388165,Benign_dijkstra,dijkstra,1,55.844,1.2563,280612,34045579,873,374711,0
1771647376235939653,5804.350264,4801.116738,Benign_dijkstra,dijkstra,1,55.844,1.2563,351559,32454172,980,390875,0
1771647376340605744,5909.016355,4905.782829,Benign_dijkstra,dijkstra,1,55.844,1.2563,245488,34353953,770,362369,0
1771647376444479020,6012.889631,5009.656105,Benign_dijkstra,dijkstra,1,55.306,1.2563,266629,35576065,760,368180,0
1771647376546247320,6114.657931,5111.424405,Benign_dijkstra,dijkstra,1,55.306,1.2563,262454,35353889,758,364425,0
1771647376646730543,6215.141154,5211.907628,Benign_dijkstra,dijkstra,1,55.306,1.2563,266801,34359192,760,360232,0
1771647376747539162,6315.949773,5312.716247,Benign_dijkstra,dijkstra,1,55.844,1.2563,283760,32543333,1059,393477,0
1771647376848148836,6416.559447,5413.325921,Benign_dijkstra,dijkstra,1,55.844,1.2563,268985,34593636,871,388650,0
1771647376952267461,6520.678072,5517.444546,Benign_dijkstra,dijkstra,1,55.306,1.2563,245120,34256762,763,363356,0
1771647377057531602,6625.942213,5622.708687,Benign_dijkstra,dijkstra,1,55.844,1.2563,282464,35459957,755,362484,0
1771647377157293748,6725.704359,5722.470833,Benign_dijkstra,dijkstra,1,55.844,1.2563,285446,35127844,757,366523,0
1771647377264113276,6832.523887,5829.290361,Benign_dijkstra,dijkstra,1,55.844,1.2563,273487,32934580,947,383000,0
1771647377368256040,6936.666651,5933.433125,Benign_dijkstra,dijkstra,1,55.844,1.2563,273759,36017203,921,393212,0
1771647377472247043,7040.657654,6037.424128,Benign_dijkstra,dijkstra,1,55.844,1.2563,285131,35289327,759,366279,0
1771647377574274415,7142.685026,6139.4515,Benign_dijkstra,dijkstra,1,55.844,1.2563,282945,35214635,757,362000,0
1771647377675007074,7243.417685,6240.184159,Benign_dijkstra,dijkstra,1,55.844,1.2563,270993,33965556,873,370616,0
1771647377775894933,7344.305544,6341.072018,Benign_dijkstra,dijkstra,1,55.844,1.2563,269492,32845891,985,388961,0
1771647377876748418,7445.159029,6441.925503,Benign_dijkstra,dijkstra,1,55.844,1.2563,266701,34957912,838,386036,0
1771647377980739108,7549.149719,6545.916193,Benign_dijkstra,dijkstra,1,55.844,1.2563,306606,34020789,761,360262,0
